,DelDios_flow_cfs,Felicita_flow_cfs,KitCarson_flow_cfs,SanDieguito_flow_cfs,Moonsong_flow_cfs,GreenValley_flow_cfs,Cloverdale_flow_cfs,Guejito_flow_cfs,Sycamore_flow_cfs,ElKu_flow_cfs,ViaRancho_flow_cfs,Tazon_flow_cfs,Oceans11_flow_cfs,Lomica_flow_cfs
22.6,40.15,112.435,64.563,22.608,87.7,90.853,7.682,116.0,19.788,,88.347,34.908,,
22.7,40.65,113.472,65.089,22.62,89.0,91.628,7.791,117.429,19.981,,89.073,35.085,,
22.8,41.15,114.508,65.675,22.633,90.1,92.403,7.901,118.857,20.167,,89.802,35.26,,
22.9,41.65,115.544,66.3,22.645,91.3,93.178,8.002,120.143,20.352,,90.532,35.434,,
23.0,42.15,116.58,66.925,22.657,93.6,93.953,8.113,121.571,20.553,,91.265,35.606,,
23.1,42.65,117.617,67.567,22.669,94.7,94.729,8.225,123.0,20.816,,91.999,35.776,,
23.2,43.15,118.653,68.233,22.681,97.5,95.504,8.337,124.429,21.054,,92.736,35.945,,
23.3,43.65,119.689,68.9,22.693,98.7,96.279,8.451,125.857,21.232,,93.474,36.112,,
23.4,44.15,120.753,69.55,22.705,100.5,97.054,8.564,127.286,21.411,,94.214,36.277,,
23.5,44.65,121.828,70.175,22.717,104.3,97.829,8.668,128.714,21.614,,94.956,36.44,,
23.6,45.163,122.903,70.833,22.729,102.692,98.605,8.784,130.143,21.841,,95.7,36.602,,
23.7,45.707,123.978,71.5,22.741,103.333,99.38,8.899,131.571,22.065,,96.446,36.761,,
23.8,46.25,125.054,72.167,22.753,103.974,100.161,9.015,133.0,22.283,,97.194,36.918,,
23.9,46.793,126.129,72.833,22.765,104.615,100.968,9.131,134.571,22.5,,97.943,37.074,,
24.0,47.337,127.204,73.5,22.777,105.3,101.774,9.249,136.0,22.738,,98.694,37.227,,
24.1,47.88,128.28,74.167,22.789,106.2,102.581,9.367,137.5,22.976,,99.447,37.378,,
24.2,48.424,129.355,74.833,22.801,107.0,103.387,9.489,139.0,23.214,,100.202,37.527,,
24.3,48.967,130.43,75.514,22.813,107.9,104.194,9.608,140.429,23.452,,100.959,37.674,,
24.4,49.511,131.505,76.229,22.825,108.617,105.0,9.727,141.857,23.7,,101.717,37.819,,
24.5,50.059,132.581,76.943,22.837,108.7,105.806,9.848,143.333,23.95,,102.477,37.961,,
24.6,50.647,133.656,77.633,22.849,109.4,106.613,9.979,144.857,24.444,,103.239,38.101,,
24.7,51.235,134.731,78.3,22.861,110.0,107.419,10.101,146.429,24.737,,104.002,38.238,,
24.8,51.824,135.806,79.014,22.873,112.18,108.226,10.223,147.857,25.0,,104.767,38.373,,
24.9,52.412,136.882,79.729,22.886,112.371,109.032,10.357,149.429,25.278,,105.534,38.506,,
25.0,53.0,137.957,80.454,22.898,116.733,109.839,10.48,151.0,25.559,,106.303,38.636,,
25.1,53.588,139.032,81.223,22.91,115.2,110.678,10.604,152.563,25.853,,107.073,38.763,,
25.2,54.176,140.112,81.943,22.922,124.15,111.525,10.739,154.125,26.147,,107.844,38.887,,
25.3,54.765,141.236,82.657,22.934,127.2,112.373,10.865,155.688,26.441,,108.618,39.009,,
