,Level_in,Flow_gpm
0,0.419259308241,0.0
1,0.446963140247,0.0604967597846
2,0.474623564892,0.132350751367
3,0.502240650188,0.216027757434
4,0.529814464041,0.311971112734
5,0.55734507425,0.420603822229
6,0.584832548509,0.542330362461
7,0.612276954403,0.677538228282
8,0.639678359415,0.826599272405
9,0.66703683092,0.989870874501
10,0.694352436187,1.16769696869
11,0.721625242381,1.36040895231
12,0.74885531656,1.56832649434
13,0.77604272568,1.7917582584
14,0.803187536588,2.03100255246
15,0.83028981603,2.28634791534
16,0.857349630645,2.55807364837
17,0.884367046969,2.8464502991
18,0.911342131433,3.15174010313
19,0.938274950364,3.47419738882
20,0.965165569985,3.81406894934
21,0.992014056415,4.17159438555
22,1.01882047567,4.54700642301
23,1.04558489366,4.94053120562
24,1.0723073762,5.35238856847
25,1.098987989,5.78279229188
26,1.12562679765,6.23195033832
27,1.15222386765,6.70006507404
28,1.17877926441,7.18733347656
29,1.20529305322,7.69394732947
30,1.23176529927,8.22009340549
31,1.25819606765,8.76595363888
32,1.28458542335,9.33170528802
33,1.31093343126,9.91752108893
34,1.33724015616,10.5235694005
35,1.36350566274,11.1500143422
36,1.38973001558,11.7970159243
37,1.41591327916,12.4647301717
38,1.44205551786,13.1533092419
39,1.46815679596,13.8629015372
40,1.49421717764,14.5936518107
41,1.52023672697,15.3457012691
42,1.54621550794,16.1191876694
43,1.57215358442,16.9142454116
44,1.59805102018,17.7310056283
45,1.62390787892,18.5695962689
46,1.64972422419,19.4301421818
47,1.67550011949,20.3127651924
48,1.70123562819,21.2175841779
49,1.72693081356,22.1447151396
50,1.7525857388,23.0942712721
51,1.77820046697,24.0663630302
52,1.80377506107,25.0610981926
53,1.82930958397,26.0785819238
54,1.85480409847,27.118916834
55,1.88025866724,28.1822030361
56,1.90567335287,29.2685382015
57,1.93104821786,30.3780176133
58,1.9563833246,31.5107342181
59,1.98167873539,32.6667786762
60,2.00693451241,33.8462394095
61,2.03215071778,35.0492026487
62,2.05732741348,36.2757524786
63,2.08246466143,37.5259708816
64,2.10756252344,38.7999377804
65,2.13262106122,40.0977310793
66,2.15764033637,41.4194267044
67,2.18262041043,42.7650986418
68,2.20756134481,44.1348189758
69,2.23246320083,45.5286579251
70,2.25732603973,46.9466838789
71,2.28214992264,48.3889634308
72,2.30693491059,49.8555614127
73,2.33168106454,51.3465409277
74,2.35638844531,52.8619633815
75,2.38105711368,54.4018885134
76,2.40568713029,55.9663744268
77,2.4302785557,57.5554776182
78,2.45483145039,59.1692530059
79,2.47934587471,60.8077539577
80,2.50382188895,62.4710323187
81,2.52825955329,64.1591384369
82,2.55265892782,65.8721211899
83,2.57702007253,67.6100280094
84,2.60134304733,69.3729049064
85,2.62562791201,71.1607964951
86,2.64987472629,72.973746016
87,2.67408354979,74.8117953595
88,2.69825444204,76.6749850877
89,2.72238746246,78.5633544566
90,2.74648267039,80.4769414375
91,2.77054012509,82.415782738
92,2.7945598857,84.3799138223
93,2.81854201129,86.3693689312
94,2.84248656082,88.3841811021
95,2.86639359316,90.4243821876
96,2.89026316711,92.4900028748
97,2.91409534135,94.5810727034
98,2.93789017448,96.6976200838
99,2.96164772502,98.8396723145
100,2.98536805136,101.0072556
101,3.00905121185,103.200395066
102,3.03269726471,105.41911478
103,3.05630626808,107.663437762
104,3.07987828001,109.933386005
105,3.10341335847,112.228980488
106,3.12691156132,114.550241193
107,3.15037294634,116.897187119
108,3.17379757122,119.269836296
109,3.19718549356,121.668205802
110,3.22053677085,124.092311775
111,3.24385146053,126.542169428
112,3.2671296199,129.017793063
113,3.29037130623,131.519196081
114,3.31357657664,134.046391001
115,3.33674548819,136.599389469
116,3.35987809787,139.178202271
117,3.38297446254,141.782839347
118,3.40603463899,144.413309801
119,3.42905868393,147.069621916
120,3.45204665397,149.751783163
121,3.47499860562,152.459800216
122,3.49791459534,155.19367896
123,3.52079467945,157.953424503
124,3.54363891423,160.73904119
125,3.56644735584,163.550532609
126,3.58922006036,166.387901607
127,3.61195708379,169.251150295
128,3.63465848203,172.140280065
129,3.65732431091,175.055291593
130,3.67995462615,177.996184854
131,3.70254948339,180.962959131
132,3.7251089382,183.955613023
133,3.74763304605,186.974144455
134,3.77012186231,190.018550689
135,3.79257544229,193.088828334
136,3.81499384118,196.184973349
137,3.83737711413,199.306981061
138,3.85972531616,202.454846166
139,3.88203850222,205.628562743
140,3.90431672717,208.828124259
141,3.92656004581,212.053523578
142,3.94876851281,215.304752974
143,3.97094218278,218.581804131
144,3.99308111025,221.884668159
145,4.01518534966,225.213335595
146,4.03725495534,228.567796418
147,4.05928998157,231.94804005
148,4.08129048253,235.354055367
149,4.10325651232,238.785830708
150,4.12518812494,242.243353879
151,4.14708537431,245.726612161
152,4.16894831429,249.235592318
153,4.19077699863,252.770280607
154,4.212571481,256.330662777
155,4.234331815,259.916724085
156,4.25605805411,263.528449297
157,4.27775025178,267.165822695
158,4.29940846133,270.828828087
159,4.32103273601,274.517448811
160,4.34262312901,278.23166774
161,4.3641796934,281.971467293
162,4.38570248219,285.736829435
163,4.40719154829,289.52773569
164,4.42864694456,293.34416714
165,4.47145693851,301.05352781
166,4.49281164145,304.946417058
167,4.55667520399,316.777671915
168,4.57789638388,320.772214499
169,4.59908431367,324.79211587
170,4.62023904545,328.837353426
171,4.68350457246,341.124851495
172,4.74647318507,353.639525504
173,4.76739698266,357.861452087
174,4.78828799609,362.108520725
175,4.82997187586,370.677980412
176,4.8507648447,375.000318744
177,4.87152523436,379.347693707
178,4.8922530959,383.720078125
