,Level_in,Flow_gpm
0,0.0,0.0
1,0.01,0.00127480392961
2,0.02,0.00572283651853
3,0.03,0.0137744577643
4,0.04,0.0256865335622
5,0.05,0.0416491975274
6,0.06,0.0618151380578
7,0.07,0.0863126873268
8,0.08,0.115252926575
9,0.09,0.148734011267
10,0.1,0.18684401457
11,0.11,0.229662903833
12,0.12,0.277263973888
13,0.13,0.329714921718
14,0.14,0.387078674275
15,0.15,0.449414040567
16,0.16,0.516776235027
17,0.17,0.589217304374
18,0.18,0.666786480594
19,0.19,0.749530476379
20,0.2,0.837493735034
21,0.21,0.930718643876
22,0.22,1.029245718
23,0.23,1.13311375971
24,0.24,1.2423599978
25,0.25,1.35702021001
26,0.26,1.47712883123
27,0.27,1.60271904968
28,0.28,1.7338228928
29,0.29,1.87047130424
30,0.3,2.01269421318
31,0.31,2.16052059703
32,0.32,2.31397853825
33,0.33,2.4730952761
34,0.34,2.6378972538
35,0.35,2.80841016181
36,0.36,2.98465897745
37,0.37,3.16666800143
38,0.38,3.35446089152
39,0.39,4.02489433657
40,0.4,4.83638457088
41,0.41,5.65721511243
42,0.42,6.48736707343
43,0.43,7.32682159649
44,0.44,8.1755598546
45,0.45,9.03356305108
46,0.46,9.90081241955
47,0.47,10.7772892239
48,0.48,11.6629747582
49,0.49,12.5578503466
50,0.5,13.4618973437
51,0.51,14.375097134
52,0.52,15.2974311319
53,0.53,16.2288807822
54,0.54,17.1694275593
55,0.55,18.1190529678
56,0.56,19.0777385422
57,0.57,20.0454658467
58,0.58,21.0222164756
59,0.59,22.0079720527
60,0.6,23.0027142317
61,0.61,24.006424696
62,0.62,25.0190851588
63,0.63,26.0406773627
64,0.64,27.0711830801
65,0.65,28.1105841129
66,0.66,29.1588622925
67,0.67,30.2159994798
68,0.68,31.2819775651
69,0.69,32.3567784683
70,0.7,33.4403841385
71,0.71,34.5327765541
72,0.72,35.6339377229
73,0.73,36.743849682
74,0.74,37.8624944976
75,0.75,38.9898542651
76,0.76,40.1259111092
77,0.77,41.2706471835
78,0.78,42.4240446708
79,0.79,43.5860857828
80,0.8,44.7567527603
81,0.81,45.9360278731
82,0.82,47.1238934199
83,0.83,48.3203317281
84,0.84,49.5253251542
85,0.85,50.7388560832
86,0.86,51.9609069292
87,0.87,53.1914601348
88,0.88,54.4304981714
89,0.89,55.678003539
90,0.9,56.9339587662
91,0.91,58.1983464103
92,0.92,59.4711490569
93,0.93,60.7523493203
94,0.94,62.0419298433
95,0.95,63.3398732969
96,0.96,64.6461623807
97,0.97,65.9607798226
98,0.98,67.2837083788
99,0.99,68.6149308337
100,1.0,69.95443
101,1.01,71.3021887187
102,1.02,72.6581898588
103,1.03,74.0224163175
104,1.04,75.3948510201
105,1.05,76.77547692
106,1.06,78.1642769984
107,1.07,79.5612342648
108,1.08,80.9663317564
109,1.09,82.3795525384
110,1.1,83.8008797038
111,1.11,85.2302963735
112,1.12,86.6677856962
113,1.13,88.1133308481
114,1.14,89.5669150336
115,1.15,91.0285214844
116,1.16,92.4981334598
117,1.17,93.9757342471
118,1.18,95.4613071608
119,1.19,96.9548355431
120,1.2,98.4563027635
121,1.21,99.9656922193
122,1.22,101.482987335
123,1.23,103.008171562
124,1.24,104.541228381
125,1.25,106.082141296
126,1.26,107.630893844
127,1.27,109.187469583
128,1.28,110.751852104
129,1.29,112.32402502
130,1.3,113.903971975
131,1.31,115.491676639
132,1.32,117.087122707
133,1.33,118.690293904
134,1.34,120.301173981
135,1.35,121.919746714
136,1.36,123.545995909
137,1.37,125.179905397
138,1.38,126.821459036
139,1.39,128.470640711
140,1.4,130.127434334
141,1.41,131.791823843
142,1.42,133.463793204
143,1.43,135.143326408
144,1.44,136.830407474
145,1.45,138.525020447
146,1.46,140.227149398
147,1.47,141.936778426
148,1.48,143.653891654
149,1.49,145.378473234
150,1.5,147.110507344
151,1.51,148.849978186
152,1.52,150.596869991
153,1.53,152.351167015
154,1.54,154.112853541
155,1.55,155.881913877
156,1.56,157.658332358
157,1.57,159.442093346
158,1.58,161.233181227
159,1.59,163.031580415
160,1.6,164.837275348
161,1.61,166.650250493
162,1.62,168.470490341
163,1.63,170.297979408
164,1.64,172.132702237
165,1.65,173.974643398
166,1.66,175.823787485
167,1.67,177.680119118
168,1.68,179.543622943
169,1.69,181.414283634
170,1.7,183.292085886
171,1.71,185.177014424
172,1.72,187.069053995
173,1.73,188.968189375
174,1.74,190.874405363
175,1.75,192.787686785
176,1.76,194.708018491
177,1.77,196.635385357
178,1.78,198.569772286
179,1.79,200.511164204
180,1.8,202.459546063
181,1.81,204.414902841
182,1.82,206.37721954
183,1.83,208.34648119
184,1.84,210.322672842
185,1.85,212.305779575
186,1.86,214.295786492
187,1.87,216.292678723
188,1.88,218.296441419
189,1.89,220.30705976
190,1.9,222.324518949
191,1.91,224.348804215
192,1.92,226.37990081
193,1.93,228.417794013
194,1.94,230.462469126
195,1.95,232.513911477
196,1.96,234.572106419
197,1.97,236.637039328
198,1.98,238.708695606
199,1.99,240.78706068
200,2.0,242.87212
201,2.01,244.963859042
202,2.02,247.062263307
203,2.03,249.167318318
204,2.04,251.279009625
205,2.05,253.3973228
206,2.06,255.522243443
207,2.07,257.653757175
208,2.08,259.791849642
209,2.09,261.936506516
210,2.1,264.087713491
211,2.11,266.245456286
212,2.12,268.409720646
213,2.13,270.580492336
214,2.14,272.75775715
215,2.15,274.941500903
216,2.16,277.131709435
217,2.17,279.328368609
218,2.18,281.531464313
219,2.19,283.740982458
220,2.2,285.956908981
221,2.21,288.179229841
222,2.22,290.40793102
223,2.23,292.642998527
224,2.24,294.884418391
225,2.25,297.132176667
226,2.26,299.386259434
227,2.27,301.646652794
228,2.28,303.913342871
229,2.29,306.186315814
230,2.3,308.465557798
231,2.31,310.751055016
232,2.32,313.04279369
233,2.33,315.340760062
234,2.34,317.644940399
235,2.35,319.95532099
236,2.36,322.271888149
237,2.37,324.594628211
238,2.38,326.923527538
239,2.39,329.258572511
240,2.4,331.599749537
241,2.41,333.947045046
242,2.42,336.300445489
