,Level_in,Flow_gpm
0,0.0,0.0
1,0.012,0.0764750164637
2,0.024,0.242846292085
3,0.036,0.477435297796
4,0.048,0.771339757323
5,0.06,1.11908916799
6,0.072,1.5168338678
7,0.084,1.96165599128
8,0.096,2.45123632915
9,0.108,2.98366935955
10,0.12,3.55735063184
11,0.132,4.17090349395
12,0.144,4.82312895632
13,0.156,5.51297000157
14,0.168,6.23948535147
15,0.18,7.00182966881
16,0.192,7.79923828021
17,0.204,8.63101516204
18,0.216,9.49652333681
19,0.228,10.3951770861
20,0.24,11.3264355566
21,0.252,12.2897974519
22,0.264,13.2847965803
23,0.276,14.3109980888
24,0.288,15.3679952501
25,0.3,16.4554067026
26,0.312,17.5728740623
27,0.324,18.7200598447
28,0.336,19.8966456465
29,0.348,21.102330545
30,0.36,22.3368296835
31,0.372,23.5998730155
32,0.384,24.8912041844
33,0.396,26.2105795208
34,0.408,27.5577671419
35,0.42,28.9325461394
36,0.432,30.3347058452
37,0.444,31.7640451654
38,0.456,33.2203719743
39,0.468,34.7035025619
40,0.48,36.2132611286
41,0.492,37.7494793221
42,0.504,39.3119958118
43,0.516,40.9006558975
44,0.528,42.5153111479
45,0.54,44.1558190664
46,0.552,45.8220427823
47,0.564,47.5138507638
48,0.576,49.231116551
49,0.588,50.9737185085
50,0.6,52.7415395933
51,0.612,54.5344671397
52,0.624,56.3523926567
53,0.636,58.1952116397
54,0.648,60.0628233925
55,0.66,61.955130862
56,0.672,63.8720404813
57,0.684,65.8134620227
58,0.696,67.7793084596
59,0.708,69.7694958358
60,0.72,71.7839431422
61,0.732,73.8225722005
62,0.744,75.8853075529
63,0.756,77.9720763582
64,0.768,80.0828082928
65,0.78,82.2174354571
66,0.792,84.3758922869
67,0.804,86.5581154685
68,0.816,88.7640438589
69,0.828,90.9936184091
70,0.84,93.2467820917
71,0.852,95.5234798315
72,0.864,97.8236584395
73,0.876,100.14726655
74,0.888,102.49425456
75,0.9,104.864574573
76,0.912,107.258180342
77,0.924,109.675027219
78,0.936,112.115072103
79,0.948,114.578273395
80,0.96,117.064590947
81,0.972,119.573986022
82,0.984,122.10642125
83,0.996,124.661860586
84,1.008,127.240269275
85,1.02,129.841613808
86,1.032,132.465861892
87,1.044,135.112982414
88,1.056,137.782945404
89,1.068,140.475722008
90,1.08,143.191284453
91,1.092,145.92960602
92,1.104,148.690661013
93,1.116,151.474424734
94,1.128,154.280873453
95,1.14,157.109984387
96,1.152,159.961735669
97,1.164,162.836106331
98,1.176,165.733076275
99,1.188,168.652626254
100,1.2,171.594737847
101,1.212,174.559393445
102,1.224,177.546576222
103,1.236,180.556270122
104,1.248,183.588459838
105,1.26,186.643130793
106,1.272,189.720269122
107,1.284,192.819861658
108,1.296,195.941895911
109,1.308,199.086360055
110,1.32,202.253242911
111,1.332,205.442533935
112,1.344,208.654223196
113,1.356,211.888301369
114,1.368,215.14475972
115,1.38,218.423590089
116,1.392,221.72478488
117,1.404,225.048337046
118,1.416,228.394240082
119,1.428,231.762488006
120,1.44,235.153075352
121,1.452,238.565997159
122,1.464,242.001248955
123,1.476,245.458826754
124,1.488,248.938727039
125,1.5,252.440946755
126,1.512,255.9654833
127,1.524,259.512334514
128,1.536,263.081498668
129,1.548,266.672974459
130,1.56,270.286760999
131,1.572,273.922857806
132,1.584,277.581264797
133,1.596,281.261982277
134,1.608,284.965010936
135,1.62,288.690351837
136,1.632,292.43800641
137,1.644,296.207976446
138,1.656,300.000264087
139,1.668,303.814871822
140,1.68,307.651802476
141,1.692,311.511059209
142,1.704,315.392645507
143,1.716,319.296565172
144,1.728,323.222822322
145,1.74,327.171421381
146,1.752,331.142367076
147,1.764,335.135664427
148,1.776,339.151318745
149,1.788,343.189335627
150,1.8,347.249720948
151,1.812,351.332480855
152,1.824,355.437621767
153,1.836,359.565150366
154,1.848,363.715073591
155,1.86,367.887398639
156,1.872,372.082132952
157,1.884,376.299284222
158,1.896,380.538860377
159,1.908,384.800869584
160,1.92,389.085320242
161,1.932,393.392220976
162,1.944,397.721580636
163,1.956,402.073408293
164,1.968,406.447713231
165,1.98,410.844504949
166,1.992,415.263793151
167,2.004,419.70558775
168,2.016,424.169898856
169,2.028,428.65673678
170,2.04,433.166112024
171,2.052,437.698035283
172,2.064,442.252517439
173,2.076,446.829569558
174,2.088,451.429202888
175,2.1,456.051428854
176,2.112,460.696259057
177,2.124,465.363705269
178,2.136,470.053779431
179,2.148,474.766493653
180,2.16,479.501860206
181,2.172,484.259891522
182,2.184,489.040600191
183,2.196,493.843998961
184,2.208,498.670100729
185,2.22,503.518918545
186,2.232,508.390465607
187,2.244,513.284755256
188,2.256,518.20180098
189,2.268,523.141616404
190,2.28,528.104215293
191,2.292,533.089611548
192,2.304,538.097819206
193,2.316,543.128852432
194,2.328,548.182725524
195,2.34,553.259452905
196,2.352,558.359049126
197,2.364,563.481528861
198,2.376,568.626906903
199,2.388,573.795198168
200,2.4,578.986417689
201,2.412,584.200580613
202,2.424,589.437702204
203,2.436,594.697797835
204,2.448,599.980882992
205,2.46,605.286973268
206,2.472,610.616084365
207,2.484,615.968232089
208,2.496,621.343432349
209,2.508,626.741701159
210,2.52,632.16305463
211,2.532,637.607508974
212,2.544,643.0750805
213,2.556,648.565785614
214,2.568,654.079640814
215,2.58,659.616662693
216,2.592,665.176867935
217,2.604,670.760273315
218,2.616,676.366895694
219,2.628,681.996752024
220,2.64,687.649859341
221,2.652,693.326234766
222,2.664,699.025895505
223,2.676,704.748858843
224,2.688,710.495142149
225,2.7,716.264762871
226,2.712,722.057738535
227,2.724,727.874086746
228,2.736,733.713825181
229,2.748,739.576971598
230,2.76,745.463543824
231,2.772,751.373559762
232,2.784,757.307037384
233,2.796,763.263994736
234,2.808,769.24444993
235,2.82,775.24842115
236,2.832,781.275926645
237,2.844,787.326984731
238,2.856,793.401613791
239,2.868,799.499832272
240,2.88,805.621658683
241,2.892,811.767111598
242,2.904,817.93620965
243,2.916,824.128971537
244,2.928,830.345416013
245,2.94,836.585561894
246,2.952,842.849428051
247,2.964,849.137033415
248,2.976,855.448396973
249,2.988,861.783537767
250,3.0,868.142474894
251,3.012,874.525227506
252,3.024,880.931814806
253,3.036,887.362256053
254,3.048,893.816570554
255,3.06,900.29477767
256,3.072,906.79689681
257,3.084,913.322947433
258,3.096,919.872949048
259,3.108,926.446921211
260,3.12,933.044883525
261,3.132,939.66685564
262,3.144,946.312857253
263,3.156,952.982908104
264,3.168,959.677027981
265,3.18,966.395236712
266,3.192,973.137554172
267,3.204,979.904000276
268,3.216,986.694594983
269,3.228,993.509358292
270,3.24,1000.34831024
271,3.252,1007.21147092
272,3.264,1014.09886044
273,3.276,1021.01049896
274,3.288,1027.94640669
275,3.3,1034.90660385
276,3.312,1041.89111073
277,3.324,1048.89994762
278,3.336,1055.93313489
279,3.348,1062.99069291
280,3.36,1070.0726421
281,3.372,1077.17900291
282,3.384,1084.30979583
283,3.396,1091.46504139
284,3.408,1098.64476012
285,3.42,1105.84897263
286,3.432,1113.07769954
287,3.444,1120.33096148
288,3.456,1127.60877915
289,3.468,1134.91117326
290,3.48,1142.23816454
291,3.492,1149.58977379
292,3.504,1156.9660218
293,3.516,1164.36692939
294,3.528,1171.79251745
295,3.54,1179.24280684
296,3.552,1186.7178185
297,3.564,1194.21757337
298,3.576,1201.74209241
299,3.588,1209.29139663
300,3.6,1216.86550705
301,3.612,1224.46444473
302,3.624,1232.08823074
303,3.636,1239.73688618
304,3.648,1247.41043218
305,3.66,1255.10888988
306,3.672,1262.83228048
307,3.684,1270.58062515
308,3.696,1278.35394513
309,3.708,1286.15226165
310,3.72,1293.975596
311,3.732,1301.82396945
312,3.744,1309.69740332
313,3.756,1317.59591893
314,3.768,1325.51953766
