Station Name,model and version,XL2 S/N
LakeHodges_CLOVERDALE,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911374
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/07/2020,00:30:00,Flow_cfs,37.63,,G
04/07/2020,00:30:00,Curr_pacing,100000.00,,G
04/07/2020,00:30:00,FlowVolume,34640.59,,G
04/07/2020,00:31:00,PT Level,15.94,in,G
04/07/2020,00:31:00,Flow_cfs,37.71,,G
04/07/2020,00:31:00,FlowVolume,36903.09,,G
04/07/2020,00:32:00,PT Level,15.92,in,G
04/07/2020,00:32:00,Flow_cfs,37.63,,G
04/07/2020,00:32:00,FlowVolume,39160.59,,G
04/07/2020,00:33:00,PT Level,15.93,in,G
04/07/2020,00:33:00,Flow_cfs,37.67,,G
04/07/2020,00:33:00,FlowVolume,41420.59,,G
04/07/2020,00:34:00,PT Level,15.95,in,G
04/07/2020,00:34:00,Flow_cfs,37.75,,G
04/07/2020,00:34:00,FlowVolume,43685.59,,G
04/07/2020,00:35:00,PT Level,15.97,in,G
04/07/2020,00:35:00,Aliquot_Num,2,ali,G
04/07/2020,00:35:00,Flow_cfs,37.83,,G
04/07/2020,00:35:00,Curr_pacing,100000.00,,G
04/07/2020,00:35:00,FlowVolume,45955.59,,G
04/07/2020,00:36:00,PT Level,15.96,in,G
04/07/2020,00:36:00,Flow_cfs,37.79,,G
04/07/2020,00:36:00,FlowVolume,48223.09,,G
04/07/2020,00:37:00,PT Level,15.97,in,G
04/07/2020,00:37:00,Flow_cfs,37.83,,G
04/07/2020,00:37:00,FlowVolume,50493.09,,G
04/07/2020,00:38:00,PT Level,15.98,in,G
04/07/2020,00:38:00,Flow_cfs,37.87,,G
04/07/2020,00:38:00,FlowVolume,52765.59,,G
04/07/2020,00:39:00,PT Level,16.00,in,G
04/07/2020,00:39:00,Flow_cfs,37.96,,G
04/07/2020,00:39:00,FlowVolume,55043.09,,G
04/07/2020,00:40:00,PT Level,16.00,in,G
04/07/2020,00:40:00,Aliquot_Num,2,ali,G
04/07/2020,00:40:00,Flow_cfs,37.96,,G
04/07/2020,00:40:00,Curr_pacing,100000.00,,G
04/07/2020,00:40:00,FlowVolume,57320.59,,G
04/07/2020,00:41:00,PT Level,16.04,in,G
04/07/2020,00:41:00,Flow_cfs,38.13,,G
04/07/2020,00:41:00,FlowVolume,59608.42,,G
04/07/2020,00:42:00,PT Level,16.05,in,G
04/07/2020,00:42:00,Flow_cfs,38.17,,G
04/07/2020,00:42:00,FlowVolume,61898.85,,G
04/07/2020,00:43:00,PT Level,16.06,in,G
04/07/2020,00:43:00,Flow_cfs,38.22,,G
04/07/2020,00:43:00,FlowVolume,64191.90,,G
04/07/2020,00:44:00,PT Level,16.08,in,G
04/07/2020,00:44:00,Flow_cfs,38.30,,G
04/07/2020,00:44:00,FlowVolume,66490.16,,G
04/07/2020,00:45:00,PT Level,16.08,in,G
04/07/2020,00:45:00,Aliquot_Num,2,ali,G
04/07/2020,00:45:00,Flow_cfs,38.30,,G
04/07/2020,00:45:00,Curr_pacing,100000.00,,G
04/07/2020,00:45:00,FlowVolume,68788.42,,G
04/07/2020,00:46:00,PT Level,16.10,in,G
04/07/2020,00:46:00,Flow_cfs,38.39,,G
04/07/2020,00:46:00,FlowVolume,71091.90,,G
04/07/2020,00:47:00,PT Level,16.10,in,G
04/07/2020,00:47:00,Flow_cfs,38.39,,G
04/07/2020,00:47:00,FlowVolume,73395.38,,G
04/07/2020,00:48:00,PT Level,16.12,in,G
04/07/2020,00:48:00,Flow_cfs,38.48,,G
04/07/2020,00:48:00,FlowVolume,75704.07,,G
04/07/2020,00:49:00,PT Level,16.13,in,G
04/07/2020,00:49:00,Flow_cfs,38.52,,G
04/07/2020,00:49:00,FlowVolume,78015.38,,G
04/07/2020,00:50:00,PT Level,16.14,in,G
04/07/2020,00:50:00,Aliquot_Num,2,ali,G
04/07/2020,00:50:00,Flow_cfs,38.57,,G
04/07/2020,00:50:00,Curr_pacing,100000.00,,G
04/07/2020,00:50:00,FlowVolume,80329.29,,G
04/07/2020,00:51:00,PT Level,16.16,in,G
04/07/2020,00:51:00,Flow_cfs,38.65,,G
04/07/2020,00:51:00,FlowVolume,82648.42,,G
04/07/2020,00:52:00,PT Level,16.17,in,G
04/07/2020,00:52:00,Flow_cfs,38.70,,G
04/07/2020,00:52:00,FlowVolume,84970.16,,G
04/07/2020,00:53:00,PT Level,16.19,in,G
04/07/2020,00:53:00,Flow_cfs,38.78,,G
04/07/2020,00:53:00,FlowVolume,87297.11,,G
04/07/2020,00:54:00,PT Level,16.19,in,G
04/07/2020,00:54:00,Flow_cfs,38.78,,G
04/07/2020,00:54:00,FlowVolume,89624.07,,G
04/07/2020,00:55:00,PT Level,16.22,in,G
