Station Name,model and version,XL2 S/N
LakeHodges_SYCAMORE,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911378
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/09/2020,00:00:00,PT Level,11.68,in,G
04/09/2020,00:00:00,Aliquot_Num,9,ali,G
04/09/2020,00:00:00,Flow_cfs,5.26,,G
04/09/2020,00:00:00,Curr_pacing,16000.00,,G
04/09/2020,00:00:00,FlowVolume,7310.02,,G
04/09/2020,00:01:00,PT Level,11.68,in,G
04/09/2020,00:01:00,Flow_cfs,5.26,,G
04/09/2020,00:01:00,FlowVolume,7625.67,,G
04/09/2020,00:02:00,PT Level,11.67,in,G
04/09/2020,00:02:00,Flow_cfs,5.25,,G
04/09/2020,00:02:00,FlowVolume,7940.67,,G
04/09/2020,00:03:00,PT Level,11.67,in,G
04/09/2020,00:03:00,Flow_cfs,5.25,,G
04/09/2020,00:03:00,FlowVolume,8255.67,,G
04/09/2020,00:04:00,PT Level,11.69,in,G
04/09/2020,00:04:00,Flow_cfs,5.27,,G
04/09/2020,00:04:00,FlowVolume,8571.98,,G
04/09/2020,00:05:00,PT Level,11.67,in,G
04/09/2020,00:05:00,Aliquot_Num,9,ali,G
04/09/2020,00:05:00,Flow_cfs,5.25,,G
04/09/2020,00:05:00,Curr_pacing,16000.00,,G
04/09/2020,00:05:00,FlowVolume,8886.98,,G
04/09/2020,00:06:00,PT Level,11.67,in,G
04/09/2020,00:06:00,Flow_cfs,5.25,,G
04/09/2020,00:06:00,FlowVolume,9201.98,,G
04/09/2020,00:07:00,PT Level,11.67,in,G
04/09/2020,00:07:00,Flow_cfs,5.25,,G
04/09/2020,00:07:00,FlowVolume,9516.98,,G
04/09/2020,00:08:00,PT Level,11.66,in,G
04/09/2020,00:08:00,Flow_cfs,5.24,,G
04/09/2020,00:08:00,FlowVolume,9831.33,,G
04/09/2020,00:09:00,PT Level,11.65,in,G
04/09/2020,00:09:00,Flow_cfs,5.23,,G
04/09/2020,00:09:00,FlowVolume,10145.02,,G
04/09/2020,00:10:00,PT Level,11.66,in,G
04/09/2020,00:10:00,Aliquot_Num,9,ali,G
04/09/2020,00:10:00,Flow_cfs,5.24,,G
04/09/2020,00:10:00,Curr_pacing,16000.00,,G
04/09/2020,00:10:00,FlowVolume,10459.37,,G
04/09/2020,00:11:00,PT Level,11.67,in,G
04/09/2020,00:11:00,Flow_cfs,5.25,,G
04/09/2020,00:11:00,FlowVolume,10774.37,,G
04/09/2020,00:12:00,PT Level,11.66,in,G
04/09/2020,00:12:00,Flow_cfs,5.24,,G
04/09/2020,00:12:00,FlowVolume,11088.72,,G
04/09/2020,00:13:00,PT Level,11.66,in,G
04/09/2020,00:13:00,Flow_cfs,5.24,,G
04/09/2020,00:13:00,FlowVolume,11403.06,,G
04/09/2020,00:14:00,PT Level,11.64,in,G
04/09/2020,00:14:00,Flow_cfs,5.22,,G
04/09/2020,00:14:00,FlowVolume,11716.11,,G
04/09/2020,00:15:00,PT Level,11.64,in,G
04/09/2020,00:15:00,Aliquot_Num,9,ali,G
04/09/2020,00:15:00,Flow_cfs,5.22,,G
04/09/2020,00:15:00,Curr_pacing,16000.00,,G
04/09/2020,00:15:00,FlowVolume,12029.15,,G
04/09/2020,00:16:00,PT Level,11.64,in,G
04/09/2020,00:16:00,Flow_cfs,5.22,,G
04/09/2020,00:16:00,FlowVolume,12342.19,,G
04/09/2020,00:17:00,PT Level,11.64,in,G
04/09/2020,00:17:00,Flow_cfs,5.22,,G
04/09/2020,00:17:00,FlowVolume,12655.24,,G
04/09/2020,00:18:00,PT Level,11.65,in,G
04/09/2020,00:18:00,Flow_cfs,5.23,,G
04/09/2020,00:18:00,FlowVolume,12968.93,,G
04/09/2020,00:19:00,PT Level,11.64,in,G
04/09/2020,00:19:00,Flow_cfs,5.22,,G
04/09/2020,00:19:00,FlowVolume,13281.98,,G
04/09/2020,00:20:00,PT Level,11.64,in,G
04/09/2020,00:20:00,Aliquot_Num,9,ali,G
04/09/2020,00:20:00,Flow_cfs,5.22,,G
04/09/2020,00:20:00,Curr_pacing,16000.00,,G
04/09/2020,00:20:00,FlowVolume,13595.02,,G
