Station Name,model and version,XL2 S/N
LakeHodges_SDGCRK,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911367
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,-7.750000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
03/27/2020,09:00:00,PT Level,3.56,in,G
03/27/2020,09:00:00,Aliquot_Num,0,ali,G
03/27/2020,09:00:00,Flow_cfs,2.97,,G
03/27/2020,09:00:00,Curr_pacing,5000.00,,G
03/27/2020,09:00:00,FlowVolume,0.00,,G
03/27/2020,09:05:00,PT Level,3.54,in,G
03/27/2020,09:05:00,Aliquot_Num,0,ali,G
03/27/2020,09:05:00,Flow_cfs,2.94,,G
03/27/2020,09:05:00,Curr_pacing,5000.00,,G
03/27/2020,09:05:00,FlowVolume,0.00,,G
03/27/2020,09:10:00,PT Level,3.54,in,G
03/27/2020,09:10:00,Aliquot_Num,0,ali,G
03/27/2020,09:10:00,Flow_cfs,2.94,,G
03/27/2020,09:10:00,Curr_pacing,5000.00,,G
03/27/2020,09:10:00,FlowVolume,0.00,,G
03/27/2020,09:15:00,PT Level,3.54,in,G
03/27/2020,09:15:00,Aliquot_Num,0,ali,G
03/27/2020,09:15:00,Flow_cfs,2.94,,G
03/27/2020,09:15:00,Curr_pacing,5000.00,,G
03/27/2020,09:15:00,FlowVolume,0.00,,G
03/27/2020,09:20:00,PT Level,3.54,in,G
03/27/2020,09:20:00,Aliquot_Num,0,ali,G
03/27/2020,09:20:00,Flow_cfs,2.94,,G
03/27/2020,09:20:00,Curr_pacing,5000.00,,G
03/27/2020,09:20:00,FlowVolume,0.00,,G
03/27/2020,09:25:00,PT Level,3.54,in,G
03/27/2020,09:25:00,Aliquot_Num,0,ali,G
03/27/2020,09:25:00,Flow_cfs,2.94,,G
03/27/2020,09:25:00,Curr_pacing,5000.00,,G
03/27/2020,09:25:00,FlowVolume,0.00,,G
03/27/2020,09:30:00,PT Level,3.54,in,G
03/27/2020,09:30:00,Aliquot_Num,0,ali,G
03/27/2020,09:30:00,Flow_cfs,2.94,,G
03/27/2020,09:30:00,Curr_pacing,5000.00,,G
03/27/2020,09:30:00,FlowVolume,0.00,,G
03/27/2020,09:35:00,PT Level,3.53,in,G
03/27/2020,09:35:00,Aliquot_Num,0,ali,G
03/27/2020,09:35:00,Flow_cfs,2.92,,G
03/27/2020,09:35:00,Curr_pacing,5000.00,,G
03/27/2020,09:35:00,FlowVolume,0.00,,G
03/27/2020,09:40:00,PT Level,3.54,in,G
03/27/2020,09:40:00,Aliquot_Num,0,ali,G
03/27/2020,09:40:00,Flow_cfs,2.94,,G
03/27/2020,09:40:00,Curr_pacing,5000.00,,G
03/27/2020,09:40:00,FlowVolume,0.00,,G
03/27/2020,09:45:00,PT Level,3.53,in,G
03/27/2020,09:45:00,Aliquot_Num,0,ali,G
03/27/2020,09:45:00,Flow_cfs,2.92,,G
03/27/2020,09:45:00,Curr_pacing,5000.00,,G
03/27/2020,09:45:00,FlowVolume,0.00,,G
03/27/2020,09:50:00,PT Level,3.53,in,G
03/27/2020,09:50:00,Flow_cfs,2.92,,G
03/27/2020,09:50:00,Aliquot_Num,0,ali,G
03/27/2020,09:50:00,Curr_pacing,5000.00,,G
03/27/2020,09:50:00,FlowVolume,0.00,,G
03/27/2020,09:55:00,PT Level,3.54,in,G
03/27/2020,09:55:00,Aliquot_Num,0,ali,G
03/27/2020,09:55:00,Flow_cfs,2.94,,G
03/27/2020,09:55:00,Curr_pacing,5000.00,,G
03/27/2020,09:55:00,FlowVolume,0.00,,G
03/27/2020,10:00:00,PT Level,3.53,in,G
03/27/2020,10:00:00,Aliquot_Num,0,ali,G
