Station Name,model and version,XL2 S/N,,
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911373,,
Label,Meas Type,Slope,Offset,Equation
PT Level,2/10/2020,12:28:00,6.6,G
Flow_cfs,2/10/2020,12:28:00,82,G
FlowVolume,2/10/2020,12:28:00,5167601.18,G
PT Level,2/10/2020,12:29:00,6.59,G
Flow_cfs,2/10/2020,12:29:00,81.75,G
FlowVolume,2/10/2020,12:29:00,5172506.18,G
PT Level,2/10/2020,12:30:00,6.6,G
Flow_cfs,2/10/2020,12:30:00,82,G
FlowVolume,2/10/2020,12:30:00,5177426.18,G
PT Level,2/10/2020,12:31:00,6.61,G
Flow_cfs,2/10/2020,12:31:00,82.25,G
FlowVolume,2/10/2020,12:31:00,5182361.18,G
PT Level,2/10/2020,12:32:00,6.61,G
Flow_cfs,2/10/2020,12:32:00,82.25,G
FlowVolume,2/10/2020,12:32:00,5187296.18,G
PT Level,2/10/2020,12:33:00,6.6,G
Flow_cfs,2/10/2020,12:33:00,82,G
FlowVolume,2/10/2020,12:33:00,5192216.18,G
PT Level,2/10/2020,12:34:00,6.6,G
Flow_cfs,2/10/2020,12:34:00,82,G
FlowVolume,2/10/2020,12:34:00,5197136.18,G
PT Level,2/10/2020,12:35:00,6.6,G
Flow_cfs,2/10/2020,12:35:00,82,G
FlowVolume,2/10/2020,12:35:00,5202056.18,G
PT Level,2/10/2020,12:36:00,6.61,G
Flow_cfs,2/10/2020,12:36:00,82.25,G
FlowVolume,2/10/2020,12:36:00,5206991.18,G
PT Level,2/10/2020,12:37:00,6.6,G
Flow_cfs,2/10/2020,12:37:00,82,G
FlowVolume,2/10/2020,12:37:00,5211911.18,G
PT Level,2/10/2020,12:38:00,6.6,G
Flow_cfs,2/10/2020,12:38:00,82,G
FlowVolume,2/10/2020,12:38:00,5216831.18,G
PT Level,2/10/2020,12:39:00,6.6,G
Flow_cfs,2/10/2020,12:39:00,82,G
FlowVolume,2/10/2020,12:39:00,5221751.18,G
PT Level,2/10/2020,12:40:00,6.61,G
Flow_cfs,2/10/2020,12:40:00,82.25,G
FlowVolume,2/10/2020,12:40:00,5226686.18,G
PT Level,2/10/2020,12:41:00,6.59,G
Flow_cfs,2/10/2020,12:41:00,81.75,G
FlowVolume,2/10/2020,12:41:00,5231591.18,G
PT Level,2/10/2020,12:42:00,6.6,G
Flow_cfs,2/10/2020,12:42:00,82,G
FlowVolume,2/10/2020,12:42:00,5236511.18,G
PT Level,2/10/2020,12:43:00,6.58,G
Flow_cfs,2/10/2020,12:43:00,81.5,G
FlowVolume,2/10/2020,12:43:00,5241401.18,G
PT Level,2/10/2020,12:44:00,6.6,G
Flow_cfs,2/10/2020,12:44:00,82,G
FlowVolume,2/10/2020,12:44:00,5246321.18,G
PT Level,2/10/2020,12:45:00,6.6,G
Flow_cfs,2/10/2020,12:45:00,82,G
FlowVolume,2/10/2020,12:45:00,5251241.18,G
PT Level,2/10/2020,12:46:00,6.58,G
Flow_cfs,2/10/2020,12:46:00,81.5,G
FlowVolume,2/10/2020,12:46:00,5256131.18,G
PT Level,2/10/2020,12:47:00,6.57,G
Flow_cfs,2/10/2020,12:47:00,81.25,G
FlowVolume,2/10/2020,12:47:00,5261006.18,G
PT Level,2/10/2020,12:48:00,6.58,G
Flow_cfs,2/10/2020,12:48:00,81.5,G
FlowVolume,2/10/2020,12:48:00,5265896.18,G
PT Level,2/10/2020,12:49:00,6.58,G
Flow_cfs,2/10/2020,12:49:00,81.5,G
FlowVolume,2/10/2020,12:49:00,5270786.18,G
PT Level,2/10/2020,12:50:00,6.58,G
Flow_cfs,2/10/2020,12:50:00,81.5,G
FlowVolume,2/10/2020,12:50:00,5275676.18,G
PT Level,2/10/2020,12:51:00,6.6,G
Flow_cfs,2/10/2020,12:51:00,82,G
FlowVolume,2/10/2020,12:51:00,5280596.18,G
PT Level,2/10/2020,12:52:00,6.61,G
Flow_cfs,2/10/2020,12:52:00,82.25,G
FlowVolume,2/10/2020,12:52:00,5285531.18,G
PT Level,2/10/2020,12:53:00,6.57,G
Flow_cfs,2/10/2020,12:53:00,81.25,G
FlowVolume,2/10/2020,12:53:00,5290406.18,G
PT Level,2/10/2020,12:54:00,6.59,G
Flow_cfs,2/10/2020,12:54:00,81.75,G
FlowVolume,2/10/2020,12:54:00,5295311.18,G
PT Level,2/10/2020,12:55:00,6.6,G
Flow_cfs,2/10/2020,12:55:00,82,G
FlowVolume,2/10/2020,12:55:00,5300231.18,G
PT Level,2/10/2020,12:56:00,6.6,G
Flow_cfs,2/10/2020,12:56:00,82,G
FlowVolume,2/10/2020,12:56:00,5305151.18,G
PT Level,2/10/2020,12:57:00,6.61,G
Flow_cfs,2/10/2020,12:57:00,82.25,G
FlowVolume,2/10/2020,12:57:00,5310086.18,G
PT Level,2/10/2020,12:58:00,6.6,G
Flow_cfs,2/10/2020,12:58:00,82,G
FlowVolume,2/10/2020,12:58:00,5315006.18,G
PT Level,2/10/2020,12:59:00,6.61,G
Flow_cfs,2/10/2020,12:59:00,82.25,G
FlowVolume,2/10/2020,12:59:00,5319941.18,G
PT Level,2/10/2020,13:00:00,6.61,G
Flow_cfs,2/10/2020,13:00:00,82.25,G
FlowVolume,2/10/2020,13:00:00,5324876.18,G
PT Level,2/10/2020,13:01:00,6.61,G
Flow_cfs,2/10/2020,13:01:00,82.25,G
FlowVolume,2/10/2020,13:01:00,5329811.18,G
PT Level,2/10/2020,13:02:00,6.61,G
Flow_cfs,2/10/2020,13:02:00,82.25,G
FlowVolume,2/10/2020,13:02:00,5334746.18,G
PT Level,2/10/2020,13:03:00,6.6,G
Flow_cfs,2/10/2020,13:03:00,82,G
FlowVolume,2/10/2020,13:03:00,5339666.18,G
PT Level,2/10/2020,13:04:00,6.61,G
Flow_cfs,2/10/2020,13:04:00,82.25,G
FlowVolume,2/10/2020,13:04:00,5344601.18,G
PT Level,2/10/2020,13:05:00,6.6,G
Flow_cfs,2/10/2020,13:05:00,82,G
FlowVolume,2/10/2020,13:05:00,5349521.18,G
PT Level,2/10/2020,13:06:00,6.6,G
Flow_cfs,2/10/2020,13:06:00,82,G
FlowVolume,2/10/2020,13:06:00,5354441.18,G
PT Level,2/10/2020,13:07:00,6.6,G
Flow_cfs,2/10/2020,13:07:00,82,G
FlowVolume,2/10/2020,13:07:00,5359361.18,G
PT Level,2/10/2020,13:08:00,6.6,G
Flow_cfs,2/10/2020,13:08:00,82,G
FlowVolume,2/10/2020,13:08:00,5364281.18,G
PT Level,2/10/2020,13:09:00,6.61,G
Flow_cfs,2/10/2020,13:09:00,82.25,G
FlowVolume,2/10/2020,13:09:00,5369216.18,G
PT Level,2/10/2020,13:10:00,6.6,G
Flow_cfs,2/10/2020,13:10:00,82,G
FlowVolume,2/10/2020,13:10:00,5374136.18,G
PT Level,2/10/2020,13:11:00,6.61,G
Flow_cfs,2/10/2020,13:11:00,82.25,G
FlowVolume,2/10/2020,13:11:00,5379071.18,G
PT Level,2/10/2020,13:12:00,6.61,G
Flow_cfs,2/10/2020,13:12:00,82.25,G
FlowVolume,2/10/2020,13:12:00,5384006.18,G
PT Level,2/10/2020,13:13:00,6.61,G
Flow_cfs,2/10/2020,13:13:00,82.25,G
FlowVolume,2/10/2020,13:13:00,5388941.18,G
PT Level,2/10/2020,13:14:00,6.61,G
Flow_cfs,2/10/2020,13:14:00,82.25,G
FlowVolume,2/10/2020,13:14:00,5393876.18,G
PT Level,2/10/2020,13:15:00,6.6,G
Flow_cfs,2/10/2020,13:15:00,82,G
FlowVolume,2/10/2020,13:15:00,5398796.18,G
PT Level,2/10/2020,13:16:00,6.62,G
Flow_cfs,2/10/2020,13:16:00,82.5,G
FlowVolume,2/10/2020,13:16:00,5403746.18,G
PT Level,2/10/2020,13:17:00,6.6,G
Flow_cfs,2/10/2020,13:17:00,82,G
FlowVolume,2/10/2020,13:17:00,5408666.18,G
PT Level,2/10/2020,13:18:00,6.61,G
Flow_cfs,2/10/2020,13:18:00,82.25,G
FlowVolume,2/10/2020,13:18:00,5413601.18,G
PT Level,2/10/2020,13:19:00,6.6,G
Flow_cfs,2/10/2020,13:19:00,82,G
FlowVolume,2/10/2020,13:19:00,5418521.18,G
PT Level,2/10/2020,13:20:00,6.6,G
Flow_cfs,2/10/2020,13:20:00,82,G
FlowVolume,2/10/2020,13:20:00,5423441.18,G
PT Level,2/10/2020,13:21:00,6.61,G
Flow_cfs,2/10/2020,13:21:00,82.25,G
FlowVolume,2/10/2020,13:21:00,5428376.18,G
PT Level,2/10/2020,13:22:00,6.6,G
Flow_cfs,2/10/2020,13:22:00,82,G
FlowVolume,2/10/2020,13:22:00,5433296.18,G
PT Level,2/10/2020,13:23:00,6.6,G
Flow_cfs,2/10/2020,13:23:00,82,G
FlowVolume,2/10/2020,13:23:00,5438216.18,G
PT Level,2/10/2020,13:24:00,6.61,G
Flow_cfs,2/10/2020,13:24:00,82.25,G
FlowVolume,2/10/2020,13:24:00,5443151.18,G
PT Level,2/10/2020,13:25:00,6.6,G
Flow_cfs,2/10/2020,13:25:00,82,G
FlowVolume,2/10/2020,13:25:00,5448071.18,G
PT Level,2/10/2020,13:26:00,6.62,G
Flow_cfs,2/10/2020,13:26:00,82.5,G
FlowVolume,2/10/2020,13:26:00,5453021.18,G
PT Level,2/10/2020,13:27:00,6.61,G
Flow_cfs,2/10/2020,13:27:00,82.25,G
FlowVolume,2/10/2020,13:27:00,5457956.18,G
PT Level,2/10/2020,13:28:00,6.61,G
Flow_cfs,2/10/2020,13:28:00,82.25,G
FlowVolume,2/10/2020,13:28:00,5462891.18,G
PT Level,2/10/2020,13:29:00,6.6,G
Flow_cfs,2/10/2020,13:29:00,82,G
FlowVolume,2/10/2020,13:29:00,5467811.18,G
PT Level,2/10/2020,13:30:00,6.61,G
Flow_cfs,2/10/2020,13:30:00,82.25,G
FlowVolume,2/10/2020,13:30:00,5472746.18,G
PT Level,2/10/2020,13:31:00,6.6,G
Flow_cfs,2/10/2020,13:31:00,82,G
FlowVolume,2/10/2020,13:31:00,5477666.18,G
PT Level,2/10/2020,13:32:00,6.61,G
Flow_cfs,2/10/2020,13:32:00,82.25,G
FlowVolume,2/10/2020,13:32:00,5482601.18,G
PT Level,2/10/2020,13:33:00,6.61,G
Flow_cfs,2/10/2020,13:33:00,82.25,G
FlowVolume,2/10/2020,13:33:00,5487536.18,G
PT Level,2/10/2020,13:34:00,6.63,G
Flow_cfs,2/10/2020,13:34:00,82.75,G
FlowVolume,2/10/2020,13:34:00,5492501.18,G
PT Level,2/10/2020,13:35:00,6.6,G
Flow_cfs,2/10/2020,13:35:00,82,G
FlowVolume,2/10/2020,13:35:00,5497421.18,G
PT Level,2/10/2020,13:36:00,6.61,G
Flow_cfs,2/10/2020,13:36:00,82.25,G
FlowVolume,2/10/2020,13:36:00,5502356.18,G
PT Level,2/10/2020,13:37:00,6.61,G
Flow_cfs,2/10/2020,13:37:00,82.25,G
FlowVolume,2/10/2020,13:37:00,5507291.18,G
PT Level,2/10/2020,13:38:00,6.62,G
Flow_cfs,2/10/2020,13:38:00,82.5,G
FlowVolume,2/10/2020,13:38:00,5512241.18,G
PT Level,2/10/2020,13:39:00,6.61,G
Flow_cfs,2/10/2020,13:39:00,82.25,G
FlowVolume,2/10/2020,13:39:00,5517176.18,G
PT Level,2/10/2020,13:40:00,6.62,G
Flow_cfs,2/10/2020,13:40:00,82.5,G
FlowVolume,2/10/2020,13:40:00,5522126.18,G
PT Level,2/10/2020,13:41:00,6.61,G
Flow_cfs,2/10/2020,13:41:00,82.25,G
FlowVolume,2/10/2020,13:41:00,5527061.18,G
PT Level,2/10/2020,13:42:00,6.62,G
Flow_cfs,2/10/2020,13:42:00,82.5,G
FlowVolume,2/10/2020,13:42:00,5532011.18,G
PT Level,2/10/2020,13:43:00,6.62,G
Flow_cfs,2/10/2020,13:43:00,82.5,G
FlowVolume,2/10/2020,13:43:00,5536961.18,G
PT Level,2/10/2020,13:44:00,6.62,G
Flow_cfs,2/10/2020,13:44:00,82.5,G
FlowVolume,2/10/2020,13:44:00,5541911.18,G
PT Level,2/10/2020,13:45:00,6.62,G
Flow_cfs,2/10/2020,13:45:00,82.5,G
FlowVolume,2/10/2020,13:45:00,5546861.18,G
PT Level,2/10/2020,13:46:00,6.63,G
Flow_cfs,2/10/2020,13:46:00,82.75,G
FlowVolume,2/10/2020,13:46:00,5551826.18,G
PT Level,2/10/2020,13:47:00,6.62,G
Flow_cfs,2/10/2020,13:47:00,82.5,G
FlowVolume,2/10/2020,13:47:00,5556776.18,G
PT Level,2/10/2020,13:48:00,6.63,G
Flow_cfs,2/10/2020,13:48:00,82.75,G
FlowVolume,2/10/2020,13:48:00,5561741.18,G
PT Level,2/10/2020,13:49:00,6.63,G
Flow_cfs,2/10/2020,13:49:00,82.75,G
FlowVolume,2/10/2020,13:49:00,5566706.18,G
PT Level,2/10/2020,13:50:00,6.62,G
Flow_cfs,2/10/2020,13:50:00,82.5,G
FlowVolume,2/10/2020,13:50:00,5571656.18,G
PT Level,2/10/2020,13:51:00,6.63,G
Flow_cfs,2/10/2020,13:51:00,82.75,G
FlowVolume,2/10/2020,13:51:00,5576621.18,G
PT Level,2/10/2020,13:52:00,6.63,G
Flow_cfs,2/10/2020,13:52:00,82.75,G
FlowVolume,2/10/2020,13:52:00,5581586.18,G
PT Level,2/10/2020,13:53:00,6.63,G
Flow_cfs,2/10/2020,13:53:00,82.75,G
FlowVolume,2/10/2020,13:53:00,5586551.18,G
PT Level,2/10/2020,13:54:00,6.63,G
Flow_cfs,2/10/2020,13:54:00,82.75,G
FlowVolume,2/10/2020,13:54:00,5591516.18,G
PT Level,2/10/2020,13:55:00,6.63,G
Flow_cfs,2/10/2020,13:55:00,82.75,G
FlowVolume,2/10/2020,13:55:00,5596481.18,G
PT Level,2/10/2020,13:56:00,6.64,G
Flow_cfs,2/10/2020,13:56:00,83,G
FlowVolume,2/10/2020,13:56:00,5601461.18,G
PT Level,2/10/2020,13:57:00,6.63,G
Flow_cfs,2/10/2020,13:57:00,82.75,G
FlowVolume,2/10/2020,13:57:00,5606426.18,G
PT Level,2/10/2020,13:58:00,6.64,G
Flow_cfs,2/10/2020,13:58:00,83,G
FlowVolume,2/10/2020,13:58:00,5611406.18,G
PT Level,2/10/2020,13:59:00,6.64,G
Flow_cfs,2/10/2020,13:59:00,83,G
FlowVolume,2/10/2020,13:59:00,5616386.18,G
PT Level,2/10/2020,14:00:00,6.64,G
Flow_cfs,2/10/2020,14:00:00,83,G
FlowVolume,2/10/2020,14:00:00,5621366.18,G
PT Level,2/10/2020,14:01:00,6.63,G
Flow_cfs,2/10/2020,14:01:00,82.75,G
FlowVolume,2/10/2020,14:01:00,5626331.18,G
PT Level,2/10/2020,14:02:00,6.64,G
Flow_cfs,2/10/2020,14:02:00,83,G
FlowVolume,2/10/2020,14:02:00,5631311.18,G
PT Level,2/10/2020,14:03:00,6.66,G
Flow_cfs,2/10/2020,14:03:00,83.5,G
FlowVolume,2/10/2020,14:03:00,5636321.18,G
PT Level,2/10/2020,14:04:00,6.65,G
Flow_cfs,2/10/2020,14:04:00,83.25,G
FlowVolume,2/10/2020,14:04:00,5641316.18,G
PT Level,2/10/2020,14:05:00,6.64,G
Flow_cfs,2/10/2020,14:05:00,83,G
FlowVolume,2/10/2020,14:05:00,5646296.18,G
PT Level,2/10/2020,14:06:00,6.64,G
Flow_cfs,2/10/2020,14:06:00,83,G
FlowVolume,2/10/2020,14:06:00,5651276.18,G
PT Level,2/10/2020,14:07:00,6.64,G
Flow_cfs,2/10/2020,14:07:00,83,G
FlowVolume,2/10/2020,14:07:00,5656256.18,G
PT Level,2/10/2020,14:08:00,6.64,G
Flow_cfs,2/10/2020,14:08:00,83,G
FlowVolume,2/10/2020,14:08:00,5661236.18,G
PT Level,2/10/2020,14:09:00,6.64,G
Flow_cfs,2/10/2020,14:09:00,83,G
FlowVolume,2/10/2020,14:09:00,5666216.18,G
PT Level,2/10/2020,14:10:00,6.64,G
Flow_cfs,2/10/2020,14:10:00,83,G
FlowVolume,2/10/2020,14:10:00,5671196.18,G
PT Level,2/10/2020,14:11:00,6.66,G
Flow_cfs,2/10/2020,14:11:00,83.5,G
FlowVolume,2/10/2020,14:11:00,5676206.18,G
PT Level,2/10/2020,14:12:00,6.66,G
Flow_cfs,2/10/2020,14:12:00,83.5,G
FlowVolume,2/10/2020,14:12:00,5681216.18,G
PT Level,2/10/2020,14:13:00,6.66,G
Flow_cfs,2/10/2020,14:13:00,83.5,G
FlowVolume,2/10/2020,14:13:00,5686226.18,G
PT Level,2/10/2020,14:14:00,6.65,G
Flow_cfs,2/10/2020,14:14:00,83.25,G
FlowVolume,2/10/2020,14:14:00,5691221.18,G
PT Level,2/10/2020,14:15:00,6.66,G
Flow_cfs,2/10/2020,14:15:00,83.5,G
FlowVolume,2/10/2020,14:15:00,5696231.18,G
PT Level,2/10/2020,14:16:00,6.67,G
Flow_cfs,2/10/2020,14:16:00,83.75,G
FlowVolume,2/10/2020,14:16:00,5701256.18,G
PT Level,2/10/2020,14:17:00,6.64,G
Flow_cfs,2/10/2020,14:17:00,83,G
FlowVolume,2/10/2020,14:17:00,5706236.18,G
PT Level,2/10/2020,14:18:00,6.66,G
Flow_cfs,2/10/2020,14:18:00,83.5,G
FlowVolume,2/10/2020,14:18:00,5711246.18,G
PT Level,2/10/2020,14:19:00,6.66,G
Flow_cfs,2/10/2020,14:19:00,83.5,G
FlowVolume,2/10/2020,14:19:00,5716256.18,G
PT Level,2/10/2020,14:20:00,6.66,G
Flow_cfs,2/10/2020,14:20:00,83.5,G
FlowVolume,2/10/2020,14:20:00,5721266.18,G
PT Level,2/10/2020,14:21:00,6.66,G
Flow_cfs,2/10/2020,14:21:00,83.5,G
FlowVolume,2/10/2020,14:21:00,5726276.18,G
PT Level,2/10/2020,14:22:00,6.67,G
Flow_cfs,2/10/2020,14:22:00,83.75,G
FlowVolume,2/10/2020,14:22:00,5731301.18,G
PT Level,2/10/2020,14:23:00,6.66,G
Flow_cfs,2/10/2020,14:23:00,83.5,G
FlowVolume,2/10/2020,14:23:00,5736311.18,G
PT Level,2/10/2020,14:24:00,6.66,G
Flow_cfs,2/10/2020,14:24:00,83.5,G
FlowVolume,2/10/2020,14:24:00,5741321.18,G
PT Level,2/10/2020,14:25:00,6.65,G
Flow_cfs,2/10/2020,14:25:00,83.25,G
FlowVolume,2/10/2020,14:25:00,5746316.18,G
PT Level,2/10/2020,14:26:00,6.66,G
Flow_cfs,2/10/2020,14:26:00,83.5,G
FlowVolume,2/10/2020,14:26:00,5751326.18,G
PT Level,2/10/2020,14:27:00,6.66,G
Flow_cfs,2/10/2020,14:27:00,83.5,G
FlowVolume,2/10/2020,14:27:00,5756336.18,G
PT Level,2/10/2020,14:28:00,6.67,G
Flow_cfs,2/10/2020,14:28:00,83.75,G
FlowVolume,2/10/2020,14:28:00,5761361.18,G
PT Level,2/10/2020,14:29:00,6.69,G
Flow_cfs,2/10/2020,14:29:00,84.25,G
FlowVolume,2/10/2020,14:29:00,5766416.18,G
PT Level,2/10/2020,14:30:00,6.67,G
Flow_cfs,2/10/2020,14:30:00,83.75,G
FlowVolume,2/10/2020,14:30:00,5771441.18,G
PT Level,2/10/2020,14:31:00,6.66,G
Flow_cfs,2/10/2020,14:31:00,83.5,G
FlowVolume,2/10/2020,14:31:00,5776451.18,G
PT Level,2/10/2020,14:32:00,6.67,G
Flow_cfs,2/10/2020,14:32:00,83.75,G
FlowVolume,2/10/2020,14:32:00,5781476.18,G
PT Level,2/10/2020,14:33:00,6.67,G
Flow_cfs,2/10/2020,14:33:00,83.75,G
FlowVolume,2/10/2020,14:33:00,5786501.18,G
PT Level,2/10/2020,14:34:00,6.67,G
Flow_cfs,2/10/2020,14:34:00,83.75,G
FlowVolume,2/10/2020,14:34:00,5791526.18,G
PT Level,2/10/2020,14:35:00,6.69,G
Flow_cfs,2/10/2020,14:35:00,84.25,G
FlowVolume,2/10/2020,14:35:00,5796581.18,G
PT Level,2/10/2020,14:36:00,6.67,G
Flow_cfs,2/10/2020,14:36:00,83.75,G
FlowVolume,2/10/2020,14:36:00,5801606.18,G
PT Level,2/10/2020,14:37:00,6.69,G
Flow_cfs,2/10/2020,14:37:00,84.25,G
FlowVolume,2/10/2020,14:37:00,5806661.18,G
PT Level,2/10/2020,14:38:00,6.69,G
Flow_cfs,2/10/2020,14:38:00,84.25,G
FlowVolume,2/10/2020,14:38:00,5811716.18,G
PT Level,2/10/2020,14:39:00,6.67,G
Flow_cfs,2/10/2020,14:39:00,83.75,G
FlowVolume,2/10/2020,14:39:00,5816741.18,G
PT Level,2/10/2020,14:40:00,6.68,G
Flow_cfs,2/10/2020,14:40:00,84,G
FlowVolume,2/10/2020,14:40:00,5821781.18,G
PT Level,2/10/2020,14:41:00,6.7,G
Flow_cfs,2/10/2020,14:41:00,84.5,G
FlowVolume,2/10/2020,14:41:00,5826851.18,G
PT Level,2/10/2020,14:42:00,6.69,G
Flow_cfs,2/10/2020,14:42:00,84.25,G
FlowVolume,2/10/2020,14:42:00,5831906.18,G
PT Level,2/10/2020,14:43:00,6.69,G
Flow_cfs,2/10/2020,14:43:00,84.25,G
FlowVolume,2/10/2020,14:43:00,5836961.18,G
PT Level,2/10/2020,14:44:00,6.7,G
Flow_cfs,2/10/2020,14:44:00,84.5,G
FlowVolume,2/10/2020,14:44:00,5842031.18,G
PT Level,2/10/2020,14:45:00,6.69,G
Flow_cfs,2/10/2020,14:45:00,84.25,G
FlowVolume,2/10/2020,14:45:00,5847086.18,G
PT Level,2/10/2020,14:46:00,6.68,G
Flow_cfs,2/10/2020,14:46:00,84,G
FlowVolume,2/10/2020,14:46:00,5852126.18,G
PT Level,2/10/2020,14:47:00,6.67,G
Flow_cfs,2/10/2020,14:47:00,83.75,G
FlowVolume,2/10/2020,14:47:00,5857151.18,G
PT Level,2/10/2020,14:48:00,6.67,G
Flow_cfs,2/10/2020,14:48:00,83.75,G
FlowVolume,2/10/2020,14:48:00,5862176.18,G
PT Level,2/10/2020,14:49:00,6.69,G
Flow_cfs,2/10/2020,14:49:00,84.25,G
FlowVolume,2/10/2020,14:49:00,5867231.18,G
PT Level,2/10/2020,14:50:00,6.67,G
Flow_cfs,2/10/2020,14:50:00,83.75,G
FlowVolume,2/10/2020,14:50:00,5872256.18,G
PT Level,2/10/2020,14:51:00,6.69,G
Flow_cfs,2/10/2020,14:51:00,84.25,G
FlowVolume,2/10/2020,14:51:00,5877311.18,G
PT Level,2/10/2020,14:52:00,6.7,G
Flow_cfs,2/10/2020,14:52:00,84.5,G
FlowVolume,2/10/2020,14:52:00,5882381.18,G
PT Level,2/10/2020,14:53:00,6.69,G
Flow_cfs,2/10/2020,14:53:00,84.25,G
FlowVolume,2/10/2020,14:53:00,5887436.18,G
PT Level,2/10/2020,14:54:00,6.68,G
Flow_cfs,2/10/2020,14:54:00,84,G
FlowVolume,2/10/2020,14:54:00,5892476.18,G
PT Level,2/10/2020,14:55:00,6.69,G
Flow_cfs,2/10/2020,14:55:00,84.25,G
FlowVolume,2/10/2020,14:55:00,5897531.18,G
PT Level,2/10/2020,14:56:00,6.7,G
Flow_cfs,2/10/2020,14:56:00,84.5,G
FlowVolume,2/10/2020,14:56:00,5902601.18,G
PT Level,2/10/2020,14:57:00,6.68,G
Flow_cfs,2/10/2020,14:57:00,84,G
FlowVolume,2/10/2020,14:57:00,5907641.18,G
PT Level,2/10/2020,14:58:00,6.7,G
Flow_cfs,2/10/2020,14:58:00,84.5,G
FlowVolume,2/10/2020,14:58:00,5912711.18,G
PT Level,2/10/2020,14:59:00,6.71,G
Flow_cfs,2/10/2020,14:59:00,84.75,G
FlowVolume,2/10/2020,14:59:00,5917796.18,G
PT Level,2/10/2020,15:00:00,6.69,G
Flow_cfs,2/10/2020,15:00:00,84.25,G
FlowVolume,2/10/2020,15:00:00,5922851.18,G
PT Level,2/10/2020,15:01:00,6.7,G
Flow_cfs,2/10/2020,15:01:00,84.5,G
FlowVolume,2/10/2020,15:01:00,5927921.18,G
PT Level,2/10/2020,15:02:00,6.7,G
Flow_cfs,2/10/2020,15:02:00,84.5,G
FlowVolume,2/10/2020,15:02:00,5932991.18,G
PT Level,2/10/2020,15:03:00,6.69,G
Flow_cfs,2/10/2020,15:03:00,84.25,G
FlowVolume,2/10/2020,15:03:00,5938046.18,G
PT Level,2/10/2020,15:04:00,6.72,G
Flow_cfs,2/10/2020,15:04:00,85,G
FlowVolume,2/10/2020,15:04:00,5943146.18,G
PT Level,2/10/2020,15:05:00,6.71,G
Flow_cfs,2/10/2020,15:05:00,84.75,G
FlowVolume,2/10/2020,15:05:00,5948231.18,G
PT Level,2/10/2020,15:06:00,6.72,G
Flow_cfs,2/10/2020,15:06:00,85,G
FlowVolume,2/10/2020,15:06:00,5953331.18,G
PT Level,2/10/2020,15:07:00,6.69,G
Flow_cfs,2/10/2020,15:07:00,84.25,G
FlowVolume,2/10/2020,15:07:00,5958386.18,G
PT Level,2/10/2020,15:08:00,6.72,G
Flow_cfs,2/10/2020,15:08:00,85,G
FlowVolume,2/10/2020,15:08:00,5963486.18,G
PT Level,2/10/2020,15:09:00,6.71,G
Flow_cfs,2/10/2020,15:09:00,84.75,G
FlowVolume,2/10/2020,15:09:00,5968571.18,G
PT Level,2/10/2020,15:10:00,6.71,G
Flow_cfs,2/10/2020,15:10:00,84.75,G
FlowVolume,2/10/2020,15:10:00,5973656.18,G
PT Level,2/10/2020,15:11:00,6.71,G
Flow_cfs,2/10/2020,15:11:00,84.75,G
FlowVolume,2/10/2020,15:11:00,5978741.18,G
PT Level,2/10/2020,15:12:00,6.71,G
Flow_cfs,2/10/2020,15:12:00,84.75,G
FlowVolume,2/10/2020,15:12:00,5983826.18,G
PT Level,2/10/2020,15:13:00,6.71,G
Flow_cfs,2/10/2020,15:13:00,84.75,G
FlowVolume,2/10/2020,15:13:00,5988911.18,G
PT Level,2/10/2020,15:14:00,6.72,G
Flow_cfs,2/10/2020,15:14:00,85,G
FlowVolume,2/10/2020,15:14:00,5994011.18,G
PT Level,2/10/2020,15:15:00,6.71,G
Flow_cfs,2/10/2020,15:15:00,84.75,G
FlowVolume,2/10/2020,15:15:00,5999096.18,G
PT Level,2/10/2020,15:16:00,6.71,G
Flow_cfs,2/10/2020,15:16:00,84.75,G
FlowVolume,2/10/2020,15:16:00,6004181.18,G
PT Level,2/10/2020,15:17:00,6.72,G
Flow_cfs,2/10/2020,15:17:00,85,G
FlowVolume,2/10/2020,15:17:00,6009281.17,G
PT Level,2/10/2020,15:18:00,6.72,G
Flow_cfs,2/10/2020,15:18:00,85,G
FlowVolume,2/10/2020,15:18:00,6014381.17,G
PT Level,2/10/2020,15:19:00,6.72,G
Flow_cfs,2/10/2020,15:19:00,85,G
FlowVolume,2/10/2020,15:19:00,6019481.17,G
PT Level,2/10/2020,15:20:00,6.71,G
Flow_cfs,2/10/2020,15:20:00,84.75,G
FlowVolume,2/10/2020,15:20:00,6024566.17,G
PT Level,2/10/2020,15:21:00,6.7,G
Flow_cfs,2/10/2020,15:21:00,84.5,G
FlowVolume,2/10/2020,15:21:00,6029636.17,G
PT Level,2/10/2020,15:22:00,6.72,G
Flow_cfs,2/10/2020,15:22:00,85,G
FlowVolume,2/10/2020,15:22:00,6034736.17,G
PT Level,2/10/2020,15:23:00,6.72,G
Flow_cfs,2/10/2020,15:23:00,85,G
FlowVolume,2/10/2020,15:23:00,6039836.17,G
PT Level,2/10/2020,15:24:00,6.72,G
Flow_cfs,2/10/2020,15:24:00,85,G
FlowVolume,2/10/2020,15:24:00,6044936.17,G
PT Level,2/10/2020,15:25:00,6.73,G
