Station Name,model and version,XL2 S/N,,
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911373,,
Label,Meas Type,Slope,Offset,Equation
Wi-Fi Connected,2/6/2020,21:17:06,0,G
PT Level,2/6/2020,21:18:00,0.09,G
Flow_cfs,2/6/2020,21:18:00,0.45,G
FlowVolume,2/6/2020,21:18:00,135.6,G
PT Level,2/6/2020,21:19:00,0.09,G
Flow_cfs,2/6/2020,21:19:00,0.45,G
FlowVolume,2/6/2020,21:19:00,162.6,G
PT Level,2/6/2020,21:20:00,0.09,G
Flow_cfs,2/6/2020,21:20:00,0.45,G
FlowVolume,2/6/2020,21:20:00,189.6,G
PT Level,2/6/2020,21:21:00,0.09,G
Flow_cfs,2/6/2020,21:21:00,0.45,G
FlowVolume,2/6/2020,21:21:00,216.9,G
PT Level,2/6/2020,21:22:00,0.09,G
Flow_cfs,2/6/2020,21:22:00,0.45,G
FlowVolume,2/6/2020,21:22:00,244.2,G
PT Level,2/6/2020,21:23:00,0.09,G
Flow_cfs,2/6/2020,21:23:00,0.45,G
FlowVolume,2/6/2020,21:23:00,271.5,G
PT Level,2/6/2020,21:24:00,0.09,G
Flow_cfs,2/6/2020,21:24:00,0.45,G
FlowVolume,2/6/2020,21:24:00,298.8,G
PT Level,2/6/2020,21:25:00,0.09,G
Flow_cfs,2/6/2020,21:25:00,0.45,G
FlowVolume,2/6/2020,21:25:00,326.1,G
PT Level,2/6/2020,21:26:00,0.09,G
Flow_cfs,2/6/2020,21:26:00,0.45,G
FlowVolume,2/6/2020,21:26:00,353.4,G
PT Level,2/6/2020,21:27:00,0.09,G
Flow_cfs,2/6/2020,21:27:00,0.45,G
FlowVolume,2/6/2020,21:27:00,380.7,G
PT Level,2/6/2020,21:28:00,0.09,G
Flow_cfs,2/6/2020,21:28:00,0.45,G
FlowVolume,2/6/2020,21:28:00,408,G
PT Level,2/6/2020,21:29:00,0.09,G
Flow_cfs,2/6/2020,21:29:00,0.45,G
FlowVolume,2/6/2020,21:29:00,435.3,G
PT Level,2/6/2020,21:30:00,0.09,G
Flow_cfs,2/6/2020,21:30:00,0.45,G
FlowVolume,2/6/2020,21:30:00,462.6,G
USB Cable,2/6/2020,21:30:06,1,G
PT Level,2/6/2020,21:31:00,0.09,G
Flow_cfs,2/6/2020,21:31:00,0.45,G
FlowVolume,2/6/2020,21:31:00,489.9,G
Wi-Fi Disconnected,2/6/2020,21:31:28,0,G
PT Level,2/6/2020,21:32:00,0.09,G
Flow_cfs,2/6/2020,21:32:00,0.45,G
FlowVolume,2/6/2020,21:32:00,517.2,G
PT Level,2/6/2020,21:33:00,0.09,G
Flow_cfs,2/6/2020,21:33:00,0.45,G
FlowVolume,2/6/2020,21:33:00,544.5,G
PT Level,2/6/2020,21:34:00,0.09,G
Flow_cfs,2/6/2020,21:34:00,0.45,G
FlowVolume,2/6/2020,21:34:00,571.5,G
PT Level,2/6/2020,21:35:00,0.09,G
Flow_cfs,2/6/2020,21:35:00,0.45,G
FlowVolume,2/6/2020,21:35:00,598.8,G
PT Level,2/6/2020,21:36:00,0.09,G
Flow_cfs,2/6/2020,21:36:00,0.45,G
FlowVolume,2/6/2020,21:36:00,626.1,G
PT Level,2/6/2020,21:37:00,0.09,G
Flow_cfs,2/6/2020,21:37:00,0.45,G
FlowVolume,2/6/2020,21:37:00,653.4,G
PT Level,2/6/2020,21:38:00,0.09,G
Flow_cfs,2/6/2020,21:38:00,0.45,G
FlowVolume,2/6/2020,21:38:00,680.7,G
Setup Change,2/6/2020,21:38:48,0,G
System Error: Equation failed,2/6/2020,21:38:57,5511,G
,,,,
,,,,
,,,,
Setup Change,2/6/2020,21:39:57,0,G
PT Level,2/6/2020,21:40:00,3.58,G
Flow_cfs,2/6/2020,21:40:00,27.83,G
FlowVolume,2/6/2020,21:40:00,2350.3,G
Log Download,2/6/2020,21:40:19,0,G
PT Level,2/6/2020,21:41:00,3.58,G
Flow_cfs,2/6/2020,21:41:00,27.83,G
FlowVolume,2/6/2020,21:41:00,4019.9,G
Setup Change,2/6/2020,21:41:09,0,G
PT Level,2/6/2020,21:42:00,3.58,G
Alarm In,2/6/2020,21:42:00,1,G
Flow_cfs,2/6/2020,21:42:00,27.83,G
FlowVolume,2/6/2020,21:42:00,1669.6,G
Setup Change,2/6/2020,21:42:44,0,G
PT Level,2/6/2020,21:43:00,3.58,G
Alarm Out,2/6/2020,21:43:00,1,G
Flow_cfs,2/6/2020,21:43:00,27.83,G
FlowVolume,2/6/2020,21:43:00,1669.6,G
USB Cable,2/6/2020,21:43:34,0,G
PT Level,2/6/2020,21:44:00,3.58,G
PT Level,2/6/2020,21:45:00,3.58,G
Flow_cfs,2/6/2020,21:45:00,27.83,G
FlowVolume,2/6/2020,21:45:00,1669.6,G
PT Level,2/6/2020,21:46:00,3.58,G
PT Level,2/6/2020,21:47:00,3.58,G
PT Level,2/6/2020,21:48:00,3.58,G
PT Level,2/6/2020,21:49:00,3.58,G
PT Level,2/6/2020,21:50:00,3.58,G
Flow_cfs,2/6/2020,21:50:00,27.83,G
FlowVolume,2/6/2020,21:50:00,1669.6,G
PT Level,2/6/2020,21:51:00,3.58,G
PT Level,2/6/2020,21:52:00,3.58,G
PT Level,2/6/2020,21:53:00,3.54,G
PT Level,2/6/2020,21:54:00,3.58,G
PT Level,2/6/2020,21:55:00,3.58,G
Flow_cfs,2/6/2020,21:55:00,27.83,G
FlowVolume,2/6/2020,21:55:00,1669.6,G
PT Level,2/6/2020,21:56:00,3.58,G
PT Level,2/6/2020,21:57:00,3.58,G
PT Level,2/6/2020,21:58:00,3.58,G
PT Level,2/6/2020,21:59:00,3.58,G
PT Level,2/6/2020,22:00:00,3.58,G
Flow_cfs,2/6/2020,22:00:00,27.83,G
FlowVolume,2/6/2020,22:00:00,1669.6,G
PT Level,2/6/2020,22:01:00,3.58,G
PT Level,2/6/2020,22:02:00,3.58,G
PT Level,2/6/2020,22:03:00,3.58,G
PT Level,2/6/2020,22:04:00,3.58,G
PT Level,2/6/2020,22:05:00,3.58,G
Flow_cfs,2/6/2020,22:05:00,27.83,G
FlowVolume,2/6/2020,22:05:00,1669.6,G
PT Level,2/6/2020,22:06:00,3.58,G
PT Level,2/6/2020,22:07:00,3.58,G
PT Level,2/6/2020,22:08:00,3.58,G
PT Level,2/6/2020,22:09:00,3.58,G
PT Level,2/6/2020,22:10:00,3.58,G
Flow_cfs,2/6/2020,22:10:00,27.83,G
FlowVolume,2/6/2020,22:10:00,1669.6,G
PT Level,2/6/2020,22:11:00,3.58,G
PT Level,2/6/2020,22:12:00,3.58,G
PT Level,2/6/2020,22:13:00,3.58,G
PT Level,2/6/2020,22:14:00,3.58,G
PT Level,2/6/2020,22:15:00,3.58,G
Flow_cfs,2/6/2020,22:15:00,27.83,G
FlowVolume,2/6/2020,22:15:00,1669.6,G
PT Level,2/6/2020,22:16:00,3.58,G
PT Level,2/6/2020,22:17:00,3.58,G
PT Level,2/6/2020,22:18:00,3.58,G
PT Level,2/6/2020,22:19:00,3.58,G
PT Level,2/6/2020,22:20:00,3.58,G
Flow_cfs,2/6/2020,22:20:00,27.83,G
FlowVolume,2/6/2020,22:20:00,1669.6,G
PT Level,2/6/2020,22:21:00,3.58,G
PT Level,2/6/2020,22:22:00,3.58,G
PT Level,2/6/2020,22:23:00,3.58,G
PT Level,2/6/2020,22:24:00,3.58,G
PT Level,2/6/2020,22:25:00,3.58,G
Flow_cfs,2/6/2020,22:25:00,27.83,G
FlowVolume,2/6/2020,22:25:00,1669.6,G
PT Level,2/6/2020,22:26:00,3.58,G
PT Level,2/6/2020,22:27:00,3.58,G
PT Level,2/6/2020,22:28:00,3.58,G
PT Level,2/6/2020,22:29:00,3.58,G
PT Level,2/6/2020,22:30:00,3.58,G
Flow_cfs,2/6/2020,22:30:00,27.83,G
FlowVolume,2/6/2020,22:30:00,1669.6,G
PT Level,2/6/2020,22:31:00,3.58,G
PT Level,2/6/2020,22:32:00,3.58,G
PT Level,2/6/2020,22:33:00,3.58,G
PT Level,2/6/2020,22:34:00,3.58,G
PT Level,2/6/2020,22:35:00,3.58,G
Flow_cfs,2/6/2020,22:35:00,27.83,G
FlowVolume,2/6/2020,22:35:00,1669.6,G
PT Level,2/6/2020,22:36:00,3.58,G
PT Level,2/6/2020,22:37:00,3.58,G
PT Level,2/6/2020,22:38:00,3.58,G
PT Level,2/6/2020,22:39:00,3.58,G
PT Level,2/6/2020,22:40:00,3.58,G
Flow_cfs,2/6/2020,22:40:00,27.83,G
FlowVolume,2/6/2020,22:40:00,1669.6,G
PT Level,2/6/2020,22:41:00,3.58,G
PT Level,2/6/2020,22:42:00,3.58,G
PT Level,2/6/2020,22:43:00,3.58,G
PT Level,2/6/2020,22:44:00,3.58,G
PT Level,2/6/2020,22:45:00,3.62,G
Flow_cfs,2/6/2020,22:45:00,28.22,G
FlowVolume,2/6/2020,22:45:00,1669.6,G
PT Level,2/6/2020,22:46:00,3.58,G
PT Level,2/6/2020,22:47:00,3.58,G
PT Level,2/6/2020,22:48:00,3.58,G
PT Level,2/6/2020,22:49:00,3.58,G
PT Level,2/6/2020,22:50:00,3.58,G
Flow_cfs,2/6/2020,22:50:00,27.83,G
FlowVolume,2/6/2020,22:50:00,1669.6,G
PT Level,2/6/2020,22:51:00,3.58,G
PT Level,2/6/2020,22:52:00,3.58,G
PT Level,2/6/2020,22:53:00,3.58,G
PT Level,2/6/2020,22:54:00,3.58,G
PT Level,2/6/2020,22:55:00,3.58,G
Flow_cfs,2/6/2020,22:55:00,27.83,G
FlowVolume,2/6/2020,22:55:00,1669.6,G
PT Level,2/6/2020,22:56:00,3.58,G
PT Level,2/6/2020,22:57:00,3.58,G
PT Level,2/6/2020,22:58:00,3.58,G
PT Level,2/6/2020,22:59:00,3.58,G
PT Level,2/6/2020,23:00:00,3.58,G
Flow_cfs,2/6/2020,23:00:00,27.83,G
FlowVolume,2/6/2020,23:00:00,1669.6,G
PT Level,2/6/2020,23:01:00,3.58,G
PT Level,2/6/2020,23:02:00,3.58,G
PT Level,2/6/2020,23:03:00,3.58,G
PT Level,2/6/2020,23:04:00,3.58,G
PT Level,2/6/2020,23:05:00,3.62,G
