Station Name,model and version,XL2 S/N
LakeHodges_GUEJITO,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911370
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/10/2020,00:00:00,PT Level,10.50,in,G
04/10/2020,00:00:00,Aliquot_Num,2,ali,G
04/10/2020,00:00:00,Flow_cfs,30.13,,G
04/10/2020,00:00:00,Curr_pacing,300000.00,,G
04/10/2020,00:00:00,FlowVolume,7585.92,,G
04/10/2020,00:01:00,PT Level,10.56,in,G
04/10/2020,00:01:00,Flow_cfs,30.53,,G
04/10/2020,00:01:00,FlowVolume,9417.92,,G
04/10/2020,00:02:00,PT Level,10.56,in,G
04/10/2020,00:02:00,Flow_cfs,30.53,,G
04/10/2020,00:02:00,FlowVolume,11249.92,,G
04/10/2020,00:03:00,PT Level,10.60,in,G
04/10/2020,00:03:00,Flow_cfs,30.80,,G
04/10/2020,00:03:00,FlowVolume,13097.92,,G
04/10/2020,00:04:00,PT Level,10.61,in,G
04/10/2020,00:04:00,Flow_cfs,30.87,,G
04/10/2020,00:04:00,FlowVolume,14949.92,,G
04/10/2020,00:05:00,PT Level,10.63,in,G
04/10/2020,00:05:00,Aliquot_Num,2,ali,G
04/10/2020,00:05:00,Flow_cfs,31.00,,G
04/10/2020,00:05:00,Curr_pacing,300000.00,,G
04/10/2020,00:05:00,FlowVolume,16809.92,,G
04/10/2020,00:06:00,PT Level,10.66,in,G
04/10/2020,00:06:00,Flow_cfs,31.21,,G
04/10/2020,00:06:00,FlowVolume,18682.77,,G
04/10/2020,00:07:00,PT Level,10.69,in,G
04/10/2020,00:07:00,Flow_cfs,31.43,,G
04/10/2020,00:07:00,FlowVolume,20568.49,,G
04/10/2020,00:08:00,PT Level,10.74,in,G
04/10/2020,00:08:00,Flow_cfs,31.79,,G
04/10/2020,00:08:00,FlowVolume,22475.63,,G
04/10/2020,00:09:00,PT Level,10.74,in,G
