Station Name,model and version,XL2 S/N
Oceans11_DW0011,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911375
Label,Meas Type,Slope,Offset,Equation
PT_Level,SDI-12,1.000000,0.000000,Off
10/07/2020,13:20:00,PT_Level,-4.91,in,G
10/07/2020,13:25:00,PT_Level,-4.91,in,G
10/07/2020,13:30:00,PT_Level,-4.91,in,G
10/07/2020,13:35:00,PT_Level,-4.90,in,G
10/07/2020,13:40:00,PT_Level,-4.91,in,G
10/07/2020,13:45:00,PT_Level,-4.89,in,G
10/07/2020,13:50:00,PT_Level,-4.89,in,G
10/07/2020,13:55:00,PT_Level,-4.91,in,G
10/07/2020,14:00:00,PT_Level,-4.90,in,G
10/07/2020,14:05:00,PT_Level,-4.90,in,G
10/07/2020,14:10:00,PT_Level,-4.90,in,G
10/07/2020,14:15:00,PT_Level,-4.91,in,G
10/07/2020,14:20:00,PT_Level,-4.90,in,G
10/07/2020,14:25:00,PT_Level,-4.89,in,G
10/07/2020,14:30:00,PT_Level,-4.90,in,G
10/07/2020,14:35:00,PT_Level,-4.89,in,G
10/07/2020,14:40:00,PT_Level,-4.90,in,G
10/07/2020,14:45:00,PT_Level,-4.90,in,G
10/07/2020,14:50:00,PT_Level,-4.91,in,G
10/07/2020,14:55:00,PT_Level,-4.90,in,G
10/07/2020,15:00:00,PT_Level,-4.90,in,G
10/07/2020,15:05:00,PT_Level,-4.90,in,G
10/07/2020,15:10:00,PT_Level,-4.91,in,G
10/07/2020,15:15:00,PT_Level,-4.91,in,G
10/07/2020,15:20:00,PT_Level,-4.91,in,G
10/07/2020,15:25:00,PT_Level,-4.91,in,G
10/07/2020,15:30:00,PT_Level,-4.91,in,G
10/07/2020,15:35:00,PT_Level,-4.90,in,G
10/07/2020,15:40:00,PT_Level,-4.91,in,G
10/07/2020,15:45:00,PT_Level,-4.90,in,G
10/07/2020,15:50:00,PT_Level,-4.91,in,G
