Station Name,model and version,XL2 S/N
Tazon_DW0317,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911380
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.150000,Off
PT Flow cfs,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Battery_950,Modbus,1.000000,0.000000,Off
11/10/2020,01:05:00,PT Flow cfs,0.255,gpm,G
11/10/2020,01:05:04,RS232 Connected,0,,G
11/10/2020,01:05:00,Level_950,0.10,in,G
11/10/2020,01:05:00,Flow_950,0.29,cfs,G
11/10/2020,01:05:10,RS232 Disconnected,0,,G
11/10/2020,01:05:00,Vel_950,4.84,fps,G
11/10/2020,01:10:00,PT Level,0.11,in,G
11/10/2020,01:10:00,PT Flow cfs,0.255,gpm,G
11/10/2020,01:10:04,RS232 Connected,0,,G
11/10/2020,01:10:00,Level_950,0.10,in,G
11/10/2020,01:10:00,Flow_950,0.29,cfs,G
11/10/2020,01:10:10,RS232 Disconnected,0,,G
11/10/2020,01:10:00,Vel_950,4.84,fps,G
11/10/2020,01:15:00,PT Level,0.11,in,G
11/10/2020,01:15:00,PT Flow cfs,0.255,gpm,G
11/10/2020,01:15:04,RS232 Connected,0,,G
11/10/2020,01:15:00,Level_950,0.10,in,G
11/10/2020,01:15:00,Flow_950,0.29,cfs,G
11/10/2020,01:15:10,RS232 Disconnected,0,,G
11/10/2020,01:15:00,Vel_950,4.84,fps,G
11/10/2020,01:20:00,PT Level,0.12,in,G
11/10/2020,01:20:00,PT Flow cfs,0.320,gpm,G
11/10/2020,01:20:04,RS232 Connected,0,,G
11/10/2020,01:20:00,Level_950,0.10,in,G
11/10/2020,01:20:00,Flow_950,0.29,cfs,G
11/10/2020,01:20:10,RS232 Disconnected,0,,G
11/10/2020,01:20:00,Vel_950,4.84,fps,G
11/10/2020,01:25:00,PT Level,0.13,in,G
11/10/2020,01:25:00,PT Flow cfs,0.385,gpm,G
11/10/2020,01:25:04,RS232 Connected,0,,G
11/10/2020,01:25:00,Level_950,0.10,in,G
11/10/2020,01:25:00,Flow_950,0.29,cfs,G
11/10/2020,01:25:10,RS232 Disconnected,0,,G
11/10/2020,01:25:00,Vel_950,4.84,fps,G
11/10/2020,01:30:00,PT Level,0.10,in,G
11/10/2020,01:30:00,PT Flow cfs,0.190,gpm,G
11/10/2020,01:30:04,RS232 Connected,0,,G
11/10/2020,01:30:00,Level_950,0.10,in,G
11/10/2020,01:30:00,Flow_950,0.29,cfs,G
11/10/2020,01:30:10,RS232 Disconnected,0,,G
11/10/2020,01:30:00,Vel_950,4.84,fps,G
11/10/2020,01:35:00,PT Level,0.10,in,G
11/10/2020,01:35:00,PT Flow cfs,0.190,gpm,G
11/10/2020,01:35:04,RS232 Connected,0,,G
11/10/2020,01:35:00,Level_950,0.10,in,G
11/10/2020,01:35:00,Flow_950,0.29,cfs,G
11/10/2020,01:35:10,RS232 Disconnected,0,,G
11/10/2020,01:35:00,Vel_950,4.84,fps,G
11/10/2020,01:40:00,PT Level,0.11,in,G
11/10/2020,01:40:00,PT Flow cfs,0.255,gpm,G
11/10/2020,01:40:04,RS232 Connected,0,,G
11/10/2020,01:40:00,Level_950,0.10,in,G
11/10/2020,01:40:00,Flow_950,0.29,cfs,G
11/10/2020,01:40:10,RS232 Disconnected,0,,G
11/10/2020,01:40:00,Vel_950,4.84,fps,G
11/10/2020,01:45:00,PT Level,0.10,in,G
11/10/2020,01:45:00,PT Flow cfs,0.190,gpm,G
11/10/2020,01:45:04,RS232 Connected,0,,G
11/10/2020,01:45:00,Level_950,0.10,in,G
11/10/2020,01:45:00,Flow_950,0.29,cfs,G
11/10/2020,01:45:10,RS232 Disconnected,0,,G
11/10/2020,01:45:00,Vel_950,4.84,fps,G
11/10/2020,01:50:00,PT Level,0.14,in,G
11/10/2020,01:50:00,PT Flow cfs,0.450,gpm,G
11/10/2020,01:50:04,RS232 Connected,0,,G
11/10/2020,01:50:00,Level_950,0.10,in,G
11/10/2020,01:50:00,Flow_950,0.29,cfs,G
11/10/2020,01:50:10,RS232 Disconnected,0,,G
11/10/2020,01:50:00,Vel_950,4.84,fps,G
11/10/2020,01:55:00,PT Level,0.11,in,G
11/10/2020,01:55:00,PT Flow cfs,0.255,gpm,G
11/10/2020,01:55:04,RS232 Connected,0,,G
11/10/2020,01:55:00,Level_950,0.10,in,G
11/10/2020,01:55:00,Flow_950,0.29,cfs,G
11/10/2020,01:55:10,RS232 Disconnected,0,,G
11/10/2020,01:55:00,Vel_950,4.84,fps,G
11/10/2020,02:00:00,PT Level,0.13,in,G
11/10/2020,02:00:00,PT Flow cfs,0.385,gpm,G
11/10/2020,02:00:04,RS232 Connected,0,,G
11/10/2020,02:00:00,Battery_950,12.58,V,G
11/10/2020,02:00:00,Level_950,0.10,in,G
11/10/2020,02:00:00,Flow_950,0.29,cfs,G
11/10/2020,02:00:13,RS232 Disconnected,0,,G
11/10/2020,02:00:00,Vel_950,4.84,fps,G
11/10/2020,02:05:00,PT Level,0.12,in,G
11/10/2020,02:05:00,PT Flow cfs,0.320,gpm,G
11/10/2020,02:05:04,RS232 Connected,0,,G
11/10/2020,02:05:00,Level_950,0.10,in,G
11/10/2020,02:05:00,Flow_950,0.29,cfs,G
11/10/2020,02:05:10,RS232 Disconnected,0,,G
11/10/2020,02:05:00,Vel_950,4.84,fps,G
11/10/2020,02:10:00,PT Level,0.13,in,G
11/10/2020,02:10:00,PT Flow cfs,0.385,gpm,G
11/10/2020,02:10:04,RS232 Connected,0,,G
11/10/2020,02:10:00,Level_950,0.10,in,G
11/10/2020,02:10:00,Flow_950,0.29,cfs,G
11/10/2020,02:10:10,RS232 Disconnected,0,,G
11/10/2020,02:10:00,Vel_950,4.84,fps,G
11/10/2020,02:15:00,PT Level,0.12,in,G
11/10/2020,02:15:00,PT Flow cfs,0.320,gpm,G
11/10/2020,02:15:04,RS232 Connected,0,,G
11/10/2020,02:15:00,Level_950,0.10,in,G
11/10/2020,02:15:00,Flow_950,0.29,cfs,G
11/10/2020,02:15:10,RS232 Disconnected,0,,G
11/10/2020,02:15:00,Vel_950,4.84,fps,G
11/10/2020,02:20:00,PT Level,0.11,in,G
11/10/2020,02:20:00,PT Flow cfs,0.255,gpm,G
11/10/2020,02:20:04,RS232 Connected,0,,G
11/10/2020,02:20:00,Level_950,0.10,in,G
11/10/2020,02:20:00,Flow_950,0.29,cfs,G
11/10/2020,02:20:10,RS232 Disconnected,0,,G
11/10/2020,02:20:00,Vel_950,4.84,fps,G
11/10/2020,02:25:00,PT Level,0.13,in,G
11/10/2020,02:25:00,PT Flow cfs,0.385,gpm,G
11/10/2020,02:25:04,RS232 Connected,0,,G
11/10/2020,02:25:00,Level_950,0.10,in,G
11/10/2020,02:25:00,Flow_950,0.29,cfs,G
11/10/2020,02:25:10,RS232 Disconnected,0,,G
11/10/2020,02:25:00,Vel_950,4.84,fps,G
11/10/2020,02:30:00,PT Level,0.12,in,G
11/10/2020,02:30:00,PT Flow cfs,0.320,gpm,G
11/10/2020,02:30:04,RS232 Connected,0,,G
11/10/2020,02:30:00,Level_950,0.10,in,G
11/10/2020,02:30:00,Flow_950,0.29,cfs,G
11/10/2020,02:30:10,RS232 Disconnected,0,,G
11/10/2020,02:30:00,Vel_950,4.84,fps,G
11/10/2020,02:35:00,PT Level,0.11,in,G
11/10/2020,02:35:00,PT Flow cfs,0.255,gpm,G
11/10/2020,02:35:04,RS232 Connected,0,,G
11/10/2020,02:35:00,Level_950,0.10,in,G
11/10/2020,02:35:00,Flow_950,0.29,cfs,G
11/10/2020,02:35:10,RS232 Disconnected,0,,G
11/10/2020,02:35:00,Vel_950,4.84,fps,G
11/10/2020,02:40:00,PT Level,0.12,in,G
11/10/2020,02:40:00,PT Flow cfs,0.320,gpm,G
11/10/2020,02:40:04,RS232 Connected,0,,G
11/10/2020,02:40:00,Level_950,0.10,in,G
11/10/2020,02:40:00,Flow_950,0.29,cfs,G
11/10/2020,02:40:10,RS232 Disconnected,0,,G
11/10/2020,02:40:00,Vel_950,4.84,fps,G
11/10/2020,02:45:00,PT Level,0.11,in,G
11/10/2020,02:45:00,PT Flow cfs,0.255,gpm,G
11/10/2020,02:45:04,RS232 Connected,0,,G
11/10/2020,02:45:00,Level_950,0.10,in,G
11/10/2020,02:45:00,Flow_950,0.29,cfs,G
11/10/2020,02:45:10,RS232 Disconnected,0,,G
11/10/2020,02:45:00,Vel_950,4.84,fps,G
11/10/2020,02:50:00,PT Level,0.12,in,G
11/10/2020,02:50:00,PT Flow cfs,0.320,gpm,G
11/10/2020,02:50:04,RS232 Connected,0,,G
11/10/2020,02:50:00,Level_950,0.10,in,G
11/10/2020,02:50:00,Flow_950,0.29,cfs,G
11/10/2020,02:50:10,RS232 Disconnected,0,,G
11/10/2020,02:50:00,Vel_950,4.84,fps,G
11/10/2020,02:55:00,PT Level,0.12,in,G
11/10/2020,02:55:00,PT Flow cfs,0.320,gpm,G
11/10/2020,02:55:04,RS232 Connected,0,,G
11/10/2020,02:55:00,Level_950,0.10,in,G
11/10/2020,02:55:00,Flow_950,0.29,cfs,G
11/10/2020,02:55:10,RS232 Disconnected,0,,G
11/10/2020,02:55:00,Vel_950,4.84,fps,G
11/10/2020,03:00:00,PT Level,0.09,in,G
11/10/2020,03:00:00,PT Flow cfs,0.171,gpm,G
11/10/2020,03:00:04,RS232 Connected,0,,G
11/10/2020,03:00:00,Battery_950,12.58,V,G
11/10/2020,03:00:00,Level_950,0.10,in,G
11/10/2020,03:00:00,Flow_950,0.29,cfs,G
11/10/2020,03:00:13,RS232 Disconnected,0,,G
11/10/2020,03:00:00,Vel_950,4.84,fps,G
11/10/2020,03:05:00,PT Level,0.11,in,G
11/10/2020,03:05:00,PT Flow cfs,0.255,gpm,G
11/10/2020,03:05:04,RS232 Connected,0,,G
11/10/2020,03:05:00,Level_950,0.10,in,G
11/10/2020,03:05:00,Flow_950,0.29,cfs,G
11/10/2020,03:05:10,RS232 Disconnected,0,,G
11/10/2020,03:05:00,Vel_950,4.84,fps,G
11/10/2020,03:10:00,PT Level,0.12,in,G
11/10/2020,03:10:00,PT Flow cfs,0.320,gpm,G
11/10/2020,03:10:04,RS232 Connected,0,,G
11/10/2020,03:10:00,Level_950,0.10,in,G
11/10/2020,03:10:00,Flow_950,0.29,cfs,G
11/10/2020,03:10:10,RS232 Disconnected,0,,G
11/10/2020,03:10:00,Vel_950,4.84,fps,G
11/10/2020,03:15:00,PT Level,0.12,in,G
11/10/2020,03:15:00,PT Flow cfs,0.320,gpm,G
11/10/2020,03:15:04,RS232 Connected,0,,G
11/10/2020,03:15:00,Level_950,0.10,in,G
11/10/2020,03:15:00,Flow_950,0.29,cfs,G
11/10/2020,03:15:10,RS232 Disconnected,0,,G
11/10/2020,03:15:00,Vel_950,4.84,fps,G
11/10/2020,03:20:00,PT Level,0.13,in,G
11/10/2020,03:20:00,PT Flow cfs,0.385,gpm,G
11/10/2020,03:20:04,RS232 Connected,0,,G
11/10/2020,03:20:00,Level_950,0.10,in,G
11/10/2020,03:20:00,Flow_950,0.29,cfs,G
11/10/2020,03:20:10,RS232 Disconnected,0,,G
11/10/2020,03:20:00,Vel_950,4.84,fps,G
11/10/2020,03:25:00,PT Level,0.12,in,G
11/10/2020,03:25:00,PT Flow cfs,0.320,gpm,G
11/10/2020,03:25:04,RS232 Connected,0,,G
11/10/2020,03:25:00,Level_950,0.10,in,G
11/10/2020,03:25:00,Flow_950,0.29,cfs,G
11/10/2020,03:25:10,RS232 Disconnected,0,,G
11/10/2020,03:25:00,Vel_950,4.84,fps,G
11/10/2020,03:30:00,PT Level,0.11,in,G
11/10/2020,03:30:00,PT Flow cfs,0.255,gpm,G
11/10/2020,03:30:04,RS232 Connected,0,,G
11/10/2020,03:30:00,Level_950,0.10,in,G
11/10/2020,03:30:00,Flow_950,0.29,cfs,G
11/10/2020,03:30:10,RS232 Disconnected,0,,G
11/10/2020,03:30:00,Vel_950,4.84,fps,G
11/10/2020,03:35:00,PT Level,0.13,in,G
11/10/2020,03:35:00,PT Flow cfs,0.385,gpm,G
11/10/2020,03:35:04,RS232 Connected,0,,G
11/10/2020,03:35:00,Level_950,0.10,in,G
11/10/2020,03:35:00,Flow_950,0.29,cfs,G
11/10/2020,03:35:10,RS232 Disconnected,0,,G
11/10/2020,03:35:00,Vel_950,4.84,fps,G
11/10/2020,03:40:00,PT Level,0.13,in,G
11/10/2020,03:40:00,PT Flow cfs,0.385,gpm,G
11/10/2020,03:40:04,RS232 Connected,0,,G
11/10/2020,03:40:00,Level_950,0.10,in,G
11/10/2020,03:40:00,Flow_950,0.29,cfs,G
11/10/2020,03:40:10,RS232 Disconnected,0,,G
11/10/2020,03:40:00,Vel_950,4.84,fps,G
11/10/2020,03:45:00,PT Level,0.13,in,G
11/10/2020,03:45:00,PT Flow cfs,0.385,gpm,G
11/10/2020,03:45:04,RS232 Connected,0,,G
11/10/2020,03:45:00,Level_950,0.10,in,G
11/10/2020,03:45:00,Flow_950,0.29,cfs,G
11/10/2020,03:45:10,RS232 Disconnected,0,,G
11/10/2020,03:45:00,Vel_950,4.84,fps,G
11/10/2020,03:50:00,PT Level,0.13,in,G
11/10/2020,03:50:00,PT Flow cfs,0.385,gpm,G
11/10/2020,03:50:04,RS232 Connected,0,,G
11/10/2020,03:50:00,Level_950,0.10,in,G
11/10/2020,03:50:00,Flow_950,0.29,cfs,G
11/10/2020,03:50:10,RS232 Disconnected,0,,G
11/10/2020,03:50:00,Vel_950,4.84,fps,G
11/10/2020,03:55:00,PT Level,0.12,in,G
11/10/2020,03:55:00,PT Flow cfs,0.320,gpm,G
11/10/2020,03:55:04,RS232 Connected,0,,G
11/10/2020,03:55:00,Level_950,0.10,in,G
11/10/2020,03:55:00,Flow_950,0.29,cfs,G
11/10/2020,03:55:10,RS232 Disconnected,0,,G
11/10/2020,03:55:00,Vel_950,4.84,fps,G
11/10/2020,04:00:00,PT Level,0.11,in,G
11/10/2020,04:00:00,PT Flow cfs,0.255,gpm,G
11/10/2020,04:00:04,RS232 Connected,0,,G
11/10/2020,04:00:00,Battery_950,12.58,V,G
11/10/2020,04:00:00,Level_950,0.10,in,G
11/10/2020,04:00:00,Flow_950,0.29,cfs,G
11/10/2020,04:00:13,RS232 Disconnected,0,,G
11/10/2020,04:00:00,Vel_950,4.84,fps,G
11/10/2020,04:05:00,PT Level,0.13,in,G
11/10/2020,04:05:00,PT Flow cfs,0.385,gpm,G
11/10/2020,04:05:04,RS232 Connected,0,,G
11/10/2020,04:05:00,Level_950,0.10,in,G
11/10/2020,04:05:00,Flow_950,0.29,cfs,G
11/10/2020,04:05:10,RS232 Disconnected,0,,G
11/10/2020,04:05:00,Vel_950,4.84,fps,G
11/10/2020,04:10:00,PT Level,0.11,in,G
11/10/2020,04:10:00,PT Flow cfs,0.255,gpm,G
11/10/2020,04:10:04,RS232 Connected,0,,G
11/10/2020,04:10:00,Level_950,0.10,in,G
11/10/2020,04:10:00,Flow_950,0.29,cfs,G
11/10/2020,04:10:10,RS232 Disconnected,0,,G
11/10/2020,04:10:00,Vel_950,4.84,fps,G
11/10/2020,04:15:00,PT Level,0.09,in,G
11/10/2020,04:15:00,PT Flow cfs,0.171,gpm,G
11/10/2020,04:15:04,RS232 Connected,0,,G
11/10/2020,04:15:00,Level_950,0.10,in,G
11/10/2020,04:15:00,Flow_950,0.29,cfs,G
11/10/2020,04:15:10,RS232 Disconnected,0,,G
11/10/2020,04:15:00,Vel_950,4.84,fps,G
11/10/2020,04:20:00,PT Level,0.12,in,G
11/10/2020,04:20:00,PT Flow cfs,0.320,gpm,G
11/10/2020,04:20:04,RS232 Connected,0,,G
11/10/2020,04:20:00,Level_950,0.10,in,G
11/10/2020,04:20:00,Flow_950,0.29,cfs,G
11/10/2020,04:20:10,RS232 Disconnected,0,,G
11/10/2020,04:20:00,Vel_950,4.84,fps,G
11/10/2020,04:25:00,PT Level,0.13,in,G
11/10/2020,04:25:00,PT Flow cfs,0.385,gpm,G
11/10/2020,04:25:04,RS232 Connected,0,,G
11/10/2020,04:25:00,Level_950,0.10,in,G
11/10/2020,04:25:00,Flow_950,0.29,cfs,G
11/10/2020,04:25:10,RS232 Disconnected,0,,G
11/10/2020,04:25:00,Vel_950,4.84,fps,G
11/10/2020,04:30:00,PT Level,0.11,in,G
11/10/2020,04:30:00,PT Flow cfs,0.255,gpm,G
11/10/2020,04:30:04,RS232 Connected,0,,G
11/10/2020,04:30:00,Level_950,0.10,in,G
11/10/2020,04:30:00,Flow_950,0.29,cfs,G
11/10/2020,04:30:10,RS232 Disconnected,0,,G
11/10/2020,04:30:00,Vel_950,4.84,fps,G
11/10/2020,04:35:00,PT Level,0.13,in,G
11/10/2020,04:35:00,PT Flow cfs,0.385,gpm,G
11/10/2020,04:35:04,RS232 Connected,0,,G
11/10/2020,04:35:00,Level_950,0.10,in,G
11/10/2020,04:35:00,Flow_950,0.29,cfs,G
11/10/2020,04:35:10,RS232 Disconnected,0,,G
11/10/2020,04:35:00,Vel_950,4.84,fps,G
11/10/2020,04:40:00,PT Level,0.13,in,G
11/10/2020,04:40:00,PT Flow cfs,0.385,gpm,G
11/10/2020,04:40:04,RS232 Connected,0,,G
11/10/2020,04:40:00,Level_950,0.10,in,G
11/10/2020,04:40:00,Flow_950,0.29,cfs,G
11/10/2020,04:40:10,RS232 Disconnected,0,,G
11/10/2020,04:40:00,Vel_950,4.84,fps,G
11/10/2020,04:45:00,PT Level,0.12,in,G
11/10/2020,04:45:00,PT Flow cfs,0.320,gpm,G
11/10/2020,04:45:04,RS232 Connected,0,,G
11/10/2020,04:45:00,Level_950,0.10,in,G
11/10/2020,04:45:00,Flow_950,0.29,cfs,G
11/10/2020,04:45:10,RS232 Disconnected,0,,G
11/10/2020,04:45:00,Vel_950,4.84,fps,G
11/10/2020,04:50:00,PT Level,0.11,in,G
11/10/2020,04:50:00,PT Flow cfs,0.255,gpm,G
11/10/2020,04:50:04,RS232 Connected,0,,G
11/10/2020,04:50:00,Level_950,0.10,in,G
11/10/2020,04:50:00,Flow_950,0.29,cfs,G
11/10/2020,04:50:10,RS232 Disconnected,0,,G
11/10/2020,04:50:00,Vel_950,4.84,fps,G
11/10/2020,04:55:00,PT Level,0.13,in,G
11/10/2020,04:55:00,PT Flow cfs,0.385,gpm,G
11/10/2020,04:55:04,RS232 Connected,0,,G
11/10/2020,04:55:00,Level_950,0.10,in,G
11/10/2020,04:55:00,Flow_950,0.29,cfs,G
11/10/2020,04:55:10,RS232 Disconnected,0,,G
11/10/2020,04:55:00,Vel_950,4.84,fps,G
11/10/2020,05:00:00,PT Level,0.13,in,G
11/10/2020,05:00:00,PT Flow cfs,0.385,gpm,G
11/10/2020,05:00:04,RS232 Connected,0,,G
11/10/2020,05:00:00,Battery_950,12.58,V,G
11/10/2020,05:00:00,Level_950,0.10,in,G
11/10/2020,05:00:00,Flow_950,0.29,cfs,G
11/10/2020,05:00:13,RS232 Disconnected,0,,G
11/10/2020,05:00:00,Vel_950,4.84,fps,G
11/10/2020,05:05:00,PT Level,0.11,in,G
11/10/2020,05:05:00,PT Flow cfs,0.255,gpm,G
11/10/2020,05:05:04,RS232 Connected,0,,G
11/10/2020,05:05:00,Level_950,0.10,in,G
11/10/2020,05:05:00,Flow_950,0.29,cfs,G
11/10/2020,05:05:10,RS232 Disconnected,0,,G
11/10/2020,05:05:00,Vel_950,4.84,fps,G
11/10/2020,05:10:00,PT Level,0.13,in,G
11/10/2020,05:10:00,PT Flow cfs,0.385,gpm,G
11/10/2020,05:10:04,RS232 Connected,0,,G
11/10/2020,05:10:00,Level_950,0.10,in,G
11/10/2020,05:10:00,Flow_950,0.29,cfs,G
11/10/2020,05:10:10,RS232 Disconnected,0,,G
11/10/2020,05:10:00,Vel_950,4.84,fps,G
11/10/2020,05:15:00,PT Level,0.13,in,G
11/10/2020,05:15:00,PT Flow cfs,0.385,gpm,G
11/10/2020,05:15:04,RS232 Connected,0,,G
11/10/2020,05:15:00,Level_950,0.10,in,G
11/10/2020,05:15:00,Flow_950,0.29,cfs,G
11/10/2020,05:15:10,RS232 Disconnected,0,,G
11/10/2020,05:15:00,Vel_950,4.84,fps,G
11/10/2020,05:20:00,PT Level,0.14,in,G
11/10/2020,05:20:00,PT Flow cfs,0.450,gpm,G
11/10/2020,05:20:04,RS232 Connected,0,,G
11/10/2020,05:20:00,Level_950,0.10,in,G
11/10/2020,05:20:00,Flow_950,0.29,cfs,G
11/10/2020,05:20:10,RS232 Disconnected,0,,G
11/10/2020,05:20:00,Vel_950,4.84,fps,G
11/10/2020,05:25:00,PT Level,0.13,in,G
11/10/2020,05:25:00,PT Flow cfs,0.385,gpm,G
11/10/2020,05:25:04,RS232 Connected,0,,G
11/10/2020,05:25:00,Level_950,0.10,in,G
11/10/2020,05:25:00,Flow_950,0.29,cfs,G
11/10/2020,05:25:10,RS232 Disconnected,0,,G
11/10/2020,05:25:00,Vel_950,4.84,fps,G
11/10/2020,05:30:00,PT Level,0.11,in,G
11/10/2020,05:30:00,PT Flow cfs,0.255,gpm,G
11/10/2020,05:30:04,RS232 Connected,0,,G
11/10/2020,05:30:00,Level_950,0.10,in,G
11/10/2020,05:30:00,Flow_950,0.29,cfs,G
11/10/2020,05:30:10,RS232 Disconnected,0,,G
11/10/2020,05:30:00,Vel_950,4.84,fps,G
11/10/2020,05:35:00,PT Level,0.13,in,G
11/10/2020,05:35:00,PT Flow cfs,0.385,gpm,G
11/10/2020,05:35:04,RS232 Connected,0,,G
11/10/2020,05:35:00,Level_950,0.10,in,G
11/10/2020,05:35:00,Flow_950,0.29,cfs,G
11/10/2020,05:35:10,RS232 Disconnected,0,,G
11/10/2020,05:35:00,Vel_950,4.84,fps,G
11/10/2020,05:40:00,PT Level,0.12,in,G
11/10/2020,05:40:00,PT Flow cfs,0.320,gpm,G
11/10/2020,05:40:04,RS232 Connected,0,,G
