Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
02/10/2021 09:30:00,0.34,0.31,1.559,1.20,99.491
02/10/2021 09:35:00,0.47,0.35,2.823,1.27,113.407
02/10/2021 09:40:00,0.47,0.38,3.105,1.31,122.976
02/10/2021 09:45:00,0.34,0.25,1.252,1.23,105.253
02/10/2021 09:50:00,0.47,0.29,2.323,1.29,118.192
02/10/2021 09:55:00,0.26,0.30,0.996,1.19,97.772
02/10/2021 10:00:00,0.47,0.32,2.597,1.20,99.491
02/10/2021 10:05:00,0.30,0.28,1.139,1.27,113.407
02/10/2021 10:10:00,0.43,0.30,2.101,1.28,115.799
02/10/2021 10:15:00,0.47,0.35,2.807,1.23,105.253
02/10/2021 10:20:00,0.30,0.32,1.325,1.17,94.332
02/10/2021 10:25:00,0.30,0.28,1.176,1.24,107.174
02/10/2021 10:30:00,0.34,0.37,1.871,1.30,120.584
02/10/2021 10:35:00,0.47,0.17,1.404,1.18,96.052
02/10/2021 10:40:00,0.30,0.00,0.012,1.25,109.094
02/10/2021 10:45:00,0.47,0.39,3.130,1.20,99.491
02/10/2021 10:50:00,0.30,0.27,1.110,1.22,103.332
02/10/2021 10:55:00,0.30,0.32,1.313,1.13,87.242
02/10/2021 11:00:00,0.30,0.29,1.218,1.20,99.491
02/10/2021 11:05:00,0.47,0.43,3.444,1.23,105.253
02/10/2021 11:10:00,0.34,0.24,1.192,1.10,81.445
02/10/2021 11:15:00,0.30,0.33,1.362,1.14,89.174
02/10/2021 11:20:00,0.34,0.18,0.905,1.22,103.332
02/10/2021 11:25:00,0.34,0.30,1.514,1.19,97.772
02/10/2021 11:30:00,0.47,0.42,3.404,1.15,90.893
02/10/2021 11:35:00,0.47,0.27,2.170,1.17,94.332
02/10/2021 11:40:00,0.47,0.36,2.872,1.25,109.094
02/10/2021 11:45:00,0.34,0.26,1.303,1.24,107.174
02/10/2021 11:50:00,0.52,0.41,3.782,1.25,109.094
02/10/2021 11:55:00,0.47,0.00,0.032,1.17,94.332
02/10/2021 12:00:00,0.47,0.29,2.331,1.18,96.052
02/10/2021 12:05:00,0.39,0.18,1.054,1.17,94.332
02/10/2021 12:10:00,0.56,0.19,1.954,1.23,105.253
02/10/2021 12:15:00,0.52,0.32,2.955,1.17,94.332
02/10/2021 12:20:00,0.47,0.28,2.259,1.19,97.772
02/10/2021 12:25:00,0.34,0.37,1.851,1.19,97.772
02/10/2021 12:30:00,0.34,0.33,1.655,1.22,103.332
02/10/2021 12:35:00,0.56,0.38,3.876,1.14,89.174
02/10/2021 12:40:00,0.34,0.25,1.232,1.17,94.332
02/10/2021 12:45:00,0.34,0.28,1.413,1.13,87.242
02/10/2021 12:50:00,0.39,0.40,2.408,1.21,101.412
02/10/2021 12:55:00,0.30,0.31,1.267,1.16,92.613
02/10/2021 13:00:00,0.30,0.32,1.333,1.18,96.052
02/10/2021 13:05:00,0.47,0.28,2.234,1.16,92.613
