Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow_PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
05/10/2021 10:53:00,0.00,0.00,0.000,-0.32,0.000
05/10/2021 10:54:00,0.00,0.00,0.000,-0.32,0.000
05/10/2021 10:55:00,0.00,0.00,0.000,-0.32,0.000
05/10/2021 10:56:00,0.00,0.00,0.000,-0.33,0.000
05/10/2021 10:57:00,0.00,0.00,0.000,-0.33,0.000
05/10/2021 10:58:00,0.00,0.00,0.000,-0.33,0.000
05/10/2021 10:59:00,0.00,0.00,0.000,-0.33,0.000
05/10/2021 11:00:00,0.00,0.00,0.000,-0.33,0.000
05/10/2021 11:01:00,0.00,0.00,0.000,-0.32,0.000
05/10/2021 11:02:00,0.00,0.00,0.000,-0.33,0.000
05/10/2021 11:03:00,0.00,0.00,0.000,-0.33,0.000
05/10/2021 11:04:00,0.00,0.00,0.000,-0.32,0.000
05/10/2021 11:05:00,0.00,0.00,0.000,-0.32,0.000
05/10/2021 11:06:00,0.00,0.00,0.000,-0.31,0.000
05/10/2021 11:07:00,0.00,0.00,0.000,-0.31,0.000
05/10/2021 11:08:00,0.00,0.00,0.000,-0.30,0.000
05/10/2021 11:09:00,0.00,0.00,0.000,-0.30,0.000
05/10/2021 11:10:00,0.00,0.00,0.000,-0.31,0.000
05/10/2021 11:11:00,0.00,0.00,0.000,-0.30,0.000
05/10/2021 11:12:00,0.00,0.00,0.000,-0.31,0.000
05/10/2021 11:13:00,0.00,0.00,0.000,-0.30,0.000
05/10/2021 11:14:00,0.00,0.00,0.000,-0.29,0.000
05/10/2021 11:15:00,0.00,0.00,0.000,-0.29,0.000
05/10/2021 11:16:00,0.00,0.00,0.000,-0.28,0.000
05/10/2021 11:17:00,0.00,0.00,0.000,-0.29,0.000
05/10/2021 11:18:00,0.00,0.00,0.000,-0.28,0.000
05/10/2021 11:19:00,0.00,0.00,0.000,-0.28,0.000
05/10/2021 11:20:00,0.00,0.00,0.000,-0.28,0.000
05/10/2021 11:21:00,0.00,0.00,0.000,-0.27,0.000
05/10/2021 11:22:00,0.00,0.00,0.000,-0.27,0.000
05/10/2021 11:23:00,0.00,0.00,0.000,-0.26,0.000
05/10/2021 11:24:00,0.00,0.00,0.000,-0.27,0.000
05/10/2021 11:25:00,0.00,0.00,0.000,-0.26,0.000
05/10/2021 11:26:00,0.00,0.00,0.000,-0.26,0.000
05/10/2021 11:27:00,0.00,0.00,0.000,-0.27,0.000
05/10/2021 11:28:00,0.00,0.00,0.000,-0.27,0.000
05/10/2021 11:29:00,0.00,0.00,0.000,-0.25,0.000
05/10/2021 11:30:00,0.00,0.00,0.000,-0.26,0.000
05/10/2021 11:31:00,0.00,0.00,0.000,-0.26,0.000
05/10/2021 11:32:00,0.00,0.00,0.000,-0.26,0.000
05/10/2021 11:33:00,0.00,0.00,0.000,-0.25,0.000
05/10/2021 11:34:00,0.00,0.00,0.000,-0.25,0.000
05/10/2021 11:35:00,0.00,0.00,0.000,-0.25,0.000
05/10/2021 11:36:00,0.00,0.00,0.000,-0.24,0.000
05/10/2021 11:37:00,0.00,0.00,0.000,-0.25,0.000
05/10/2021 11:38:00,0.00,0.00,0.000,-0.24,0.000
05/10/2021 11:39:00,0.00,0.00,0.000,-0.25,0.000
05/10/2021 11:40:00,0.00,0.00,0.000,-0.24,0.000
05/10/2021 11:41:00,0.00,0.00,0.000,-0.25,0.000
05/10/2021 11:42:00,0.00,0.00,0.000,-0.24,0.000
05/10/2021 11:43:00,0.00,0.00,0.000,-0.24,0.000
05/10/2021 11:44:00,0.00,0.00,0.000,-0.24,0.000
05/10/2021 11:45:00,0.00,0.00,0.000,-0.24,0.000
05/10/2021 11:46:00,0.00,0.00,0.000,-0.24,0.000
05/10/2021 11:47:00,0.00,0.00,0.000,-0.23,0.000
05/10/2021 11:48:00,0.00,0.00,0.000,-0.24,0.000
05/10/2021 11:49:00,0.00,0.00,0.000,-0.23,0.000
05/10/2021 11:50:00,0.00,0.00,0.000,-0.24,0.000
05/10/2021 11:51:00,0.00,0.00,0.000,-0.22,0.000
05/10/2021 11:52:00,0.00,0.00,0.000,-0.22,0.000
05/10/2021 11:53:00,0.00,0.00,0.000,-0.22,0.000
05/10/2021 11:54:00,0.00,0.00,0.000,-0.21,0.000
05/10/2021 11:55:00,0.00,0.00,0.000,-0.22,0.000
05/10/2021 11:56:00,0.00,0.00,0.000,-0.22,0.000
05/10/2021 11:57:00,0.00,0.00,0.000,-0.21,0.000
05/10/2021 11:58:00,0.00,0.00,0.000,-0.21,0.000
05/10/2021 11:59:00,0.00,0.00,0.000,-0.21,0.000
05/10/2021 12:00:00,0.00,0.00,0.000,-0.21,0.000
05/10/2021 12:01:00,0.00,0.00,0.000,-0.20,0.000
05/10/2021 12:02:00,0.00,0.00,0.000,-0.20,0.000
05/10/2021 12:03:00,0.00,0.00,0.000,-0.19,0.000
05/10/2021 12:04:00,0.00,0.00,0.000,-0.19,0.000
05/10/2021 12:05:00,0.00,0.00,0.000,-0.19,0.000
05/10/2021 12:06:00,0.00,0.00,0.000,-0.19,0.000
05/10/2021 12:07:00,0.00,0.00,0.000,-0.19,0.000
05/10/2021 12:08:00,0.00,0.00,0.000,-0.19,0.000
05/10/2021 12:09:00,0.00,0.00,0.000,-0.19,0.000
05/10/2021 12:10:00,0.00,0.00,0.000,-0.19,0.000
05/10/2021 12:11:00,0.00,0.00,0.000,-0.18,0.000
05/10/2021 12:12:00,0.00,0.00,0.000,-0.18,0.000
05/10/2021 12:13:00,0.00,0.00,0.000,-0.19,0.000
05/10/2021 12:14:00,0.00,0.00,0.000,-0.17,0.000
05/10/2021 12:15:00,0.00,0.00,0.000,-0.17,0.000
05/10/2021 12:16:00,0.00,0.00,0.000,-0.18,0.000
05/10/2021 12:17:00,0.00,0.00,0.000,-0.16,0.000
05/10/2021 12:18:00,0.00,0.00,0.000,-0.17,0.000
05/10/2021 12:19:00,0.00,0.00,0.000,-0.16,0.000
05/10/2021 12:20:00,0.00,0.00,0.000,-0.16,0.000
