Date Time,PT Level,PT Flow
MM/dd/yyyy hh:mm:ss,in,gpm
12/28/2020 00:00:00,-0.21,0.000
12/28/2020 00:05:00,-0.20,0.000
12/28/2020 00:10:00,-0.21,0.000
12/28/2020 00:15:00,-0.20,0.000
12/28/2020 00:20:00,-0.21,0.000
12/28/2020 00:25:00,-0.21,0.000
12/28/2020 00:30:00,-0.21,0.000
12/28/2020 00:35:00,-0.21,0.000
12/28/2020 00:40:00,-0.21,0.000
12/28/2020 00:45:00,-0.21,0.000
12/28/2020 00:50:00,-0.21,0.000
12/28/2020 00:55:00,-0.21,0.000
12/28/2020 01:00:00,-0.21,0.000
12/28/2020 01:05:00,-0.20,0.000
12/28/2020 01:10:00,-0.21,0.000
12/28/2020 01:15:00,-0.21,0.000
12/28/2020 01:20:00,-0.21,0.000
12/28/2020 01:25:00,-0.21,0.000
12/28/2020 01:30:00,-0.22,0.000
12/28/2020 01:35:00,-0.21,0.000
12/28/2020 01:40:00,-0.21,0.000
12/28/2020 01:45:00,-0.21,0.000
12/28/2020 01:50:00,-0.21,0.000
12/28/2020 01:55:00,-0.21,0.000
12/28/2020 02:00:00,-0.21,0.000
12/28/2020 02:05:00,-0.21,0.000
12/28/2020 02:10:00,-0.21,0.000
12/28/2020 02:15:00,-0.21,0.000
12/28/2020 02:20:00,-0.21,0.000
12/28/2020 02:25:00,-0.21,0.000
12/28/2020 02:30:00,-0.21,0.000
12/28/2020 02:35:00,-0.21,0.000
12/28/2020 02:40:00,-0.21,0.000
12/28/2020 02:45:00,-0.21,0.000
12/28/2020 02:50:00,-0.21,0.000
12/28/2020 02:55:00,-0.21,0.000
12/28/2020 03:00:00,-0.21,0.000
12/28/2020 03:05:00,-0.21,0.000
12/28/2020 03:10:00,-0.20,0.000
12/28/2020 03:15:00,2.62,678.402
12/28/2020 03:20:00,4.27,1680.082
12/28/2020 03:25:00,3.45,1124.198
12/28/2020 03:30:00,2.81,770.527
12/28/2020 03:35:00,2.28,528.100
12/28/2020 03:40:00,2.05,437.031
12/28/2020 03:45:00,2.06,440.892
12/28/2020 03:50:00,2.37,566.268
12/28/2020 03:55:00,2.58,659.905
12/28/2020 04:00:00,2.43,592.283
12/28/2020 04:05:00,2.52,632.160
12/28/2020 04:10:00,2.45,601.144
12/28/2020 04:15:00,2.51,627.729
12/28/2020 04:20:00,2.25,515.950
12/28/2020 04:25:00,1.91,385.603
12/28/2020 04:30:00,1.91,385.603
12/28/2020 04:35:00,1.96,403.783
12/28/2020 04:40:00,2.36,562.027
12/28/2020 04:45:00,2.53,636.784
12/28/2020 04:50:00,2.70,716.555
12/28/2020 04:55:00,2.82,775.540
12/28/2020 05:00:00,2.50,623.298
12/28/2020 05:05:00,1.98,411.130
12/28/2020 05:10:00,1.86,368.170
12/28/2020 05:15:00,1.42,229.667
12/28/2020 05:20:00,1.23,179.255
12/28/2020 05:25:00,1.06,138.835
12/28/2020 05:30:00,0.94,113.092
12/28/2020 05:35:00,0.80,86.093
12/28/2020 05:40:00,0.72,71.780
12/28/2020 05:45:00,0.62,55.913
12/28/2020 05:50:00,0.58,49.985
12/28/2020 05:55:00,0.53,43.098
12/28/2020 06:00:00,0.52,41.720
12/28/2020 06:05:00,0.49,37.587
12/28/2020 06:10:00,0.48,36.210
12/28/2020 06:15:00,0.46,33.898
12/28/2020 06:20:00,0.46,33.898
12/28/2020 06:25:00,0.44,31.587
12/28/2020 06:30:00,0.42,29.275
12/28/2020 06:35:00,0.40,26.963
12/28/2020 06:40:00,0.41,28.119
12/28/2020 06:45:00,0.39,25.807
12/28/2020 06:50:00,0.39,25.807
12/28/2020 06:55:00,0.38,24.652
12/28/2020 07:00:00,0.36,22.340
12/28/2020 07:05:00,0.36,22.340
12/28/2020 07:10:00,0.36,22.340
