Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,cfs,in,cfs
02/05/2021 16:50:00,0.99,0.00,0.000,1.41,0.255
02/05/2021 16:55:00,0.94,0.00,0.000,1.40,0.252
02/05/2021 17:00:00,0.99,0.00,0.000,1.41,0.255
02/05/2021 17:05:00,0.99,0.00,0.000,1.41,0.255
02/05/2021 17:10:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 17:15:00,0.90,0.00,0.000,1.44,0.265
02/05/2021 17:20:00,0.94,0.00,0.000,1.44,0.265
02/05/2021 17:25:00,1.03,0.00,0.000,1.44,0.265
02/05/2021 17:30:00,0.99,0.00,0.000,1.43,0.262
02/05/2021 17:35:00,0.99,0.00,0.000,1.41,0.255
02/05/2021 17:40:00,1.03,0.00,0.000,1.41,0.255
02/05/2021 17:45:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 17:50:00,0.99,0.00,0.000,1.41,0.255
02/05/2021 17:55:00,0.99,0.00,0.000,1.41,0.255
02/05/2021 18:00:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 18:05:00,0.99,0.00,0.000,1.39,0.249
02/05/2021 18:10:00,0.94,0.00,0.000,1.40,0.252
02/05/2021 18:15:00,0.99,0.00,0.000,1.41,0.255
02/05/2021 18:20:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 18:25:00,0.99,0.00,0.000,1.39,0.249
02/05/2021 18:30:00,0.99,0.00,0.000,1.39,0.249
02/05/2021 18:35:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 18:40:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 18:45:00,0.99,0.00,0.000,1.37,0.243
02/05/2021 18:50:00,0.86,0.00,0.000,1.39,0.249
02/05/2021 18:55:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 19:00:00,0.90,0.00,0.000,1.41,0.255
02/05/2021 19:05:00,0.99,0.00,0.000,1.39,0.249
02/05/2021 19:10:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 19:15:00,0.94,0.00,0.000,1.39,0.249
02/05/2021 19:20:00,1.11,0.00,0.000,1.38,0.246
02/05/2021 19:25:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 19:30:00,0.90,0.00,0.000,1.38,0.246
02/05/2021 19:35:00,0.99,0.00,0.000,1.39,0.249
02/05/2021 19:40:00,1.03,0.00,0.000,1.39,0.249
02/05/2021 19:45:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 19:50:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 19:55:00,1.03,0.00,0.000,1.38,0.246
02/05/2021 20:00:00,1.03,0.00,0.000,1.39,0.249
02/05/2021 20:05:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 20:10:00,0.94,0.00,0.000,1.40,0.252
02/05/2021 20:15:00,0.99,0.00,0.000,1.39,0.249
02/05/2021 20:20:00,1.03,0.00,0.000,1.40,0.252
02/05/2021 20:25:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 20:30:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 20:35:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 20:40:00,0.99,0.00,0.000,1.36,0.239
02/05/2021 20:45:00,0.86,0.00,0.000,1.38,0.246
02/05/2021 20:50:00,0.94,0.00,0.000,1.40,0.252
02/05/2021 20:55:00,0.99,0.00,0.000,1.41,0.255
02/05/2021 21:00:00,0.99,0.00,0.000,1.41,0.255
02/05/2021 21:05:00,0.99,0.00,0.000,1.40,0.252
02/05/2021 21:10:00,0.99,0.00,0.000,1.38,0.246
02/05/2021 21:15:00,0.99,0.00,0.000,1.38,0.246
