Station Name,model and version,XL2 S/N
LakeHodges_FELICITA,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911368
Label,Meas Type,Slope,Offset,Equation
SamplePacin,Manual Entry,1.000000,0.000000,Off
BottleNum,Manual Entry,1.000000,0.000000,Off
Incr_Flow,Meta,1.000000,0.000000,Off
AliquotNum,Meta,1.000000,0.000000,Off
Level_PT,SDI-12,1.000000,0.000000,Off
Flow _PT,Meta,1.000000,0.000000,Off
03/01/2020,07:05:00,PT Level,3.52,in,G
03/01/2020,07:05:00,Flow_cfs,27.20,,G
03/01/2020,07:05:00,FlowVolume,6861727.28,,G
03/01/2020,07:10:00,PT Level,3.51,in,G
03/01/2020,07:10:00,Flow_cfs,27.10,,G
03/01/2020,07:10:00,FlowVolume,6861727.28,,G
03/01/2020,07:15:00,PT Level,3.52,in,G
03/01/2020,07:15:00,Flow_cfs,27.20,,G
03/01/2020,07:15:00,FlowVolume,6861727.28,,G
03/01/2020,07:20:00,PT Level,3.52,in,G
03/01/2020,07:20:00,Flow_cfs,27.20,,G
03/01/2020,07:20:00,FlowVolume,6861727.28,,G
03/01/2020,07:25:00,PT Level,3.54,in,G
03/01/2020,07:25:00,Flow_cfs,27.40,,G
03/01/2020,07:25:00,FlowVolume,6861727.28,,G
03/01/2020,07:30:00,PT Level,3.52,in,G
03/01/2020,07:30:00,Flow_cfs,27.20,,G
03/01/2020,07:30:00,FlowVolume,6861727.28,,G
03/01/2020,07:35:00,PT Level,3.53,in,G
03/01/2020,07:35:00,Flow_cfs,27.30,,G
03/01/2020,07:35:00,FlowVolume,6861727.28,,G
03/01/2020,07:40:00,PT Level,3.53,in,G
03/01/2020,07:40:00,Flow_cfs,27.30,,G
03/01/2020,07:40:00,FlowVolume,6861727.28,,G
03/01/2020,07:45:00,PT Level,3.53,in,G
03/01/2020,07:45:00,Flow_cfs,27.30,,G
03/01/2020,07:45:00,FlowVolume,6861727.28,,G
03/01/2020,07:50:00,PT Level,3.53,in,G
03/01/2020,07:50:00,Flow_cfs,27.30,,G
03/01/2020,07:50:00,FlowVolume,6861727.28,,G
03/01/2020,07:55:00,PT Level,3.54,in,G
03/01/2020,07:55:00,Flow_cfs,27.40,,G
03/01/2020,07:55:00,FlowVolume,6861727.28,,G
03/01/2020,08:00:00,PT Level,3.51,in,G
03/01/2020,08:00:00,Flow_cfs,27.10,,G
03/01/2020,08:00:00,FlowVolume,6861727.28,,G
03/01/2020,08:05:00,PT Level,3.53,in,G
03/01/2020,08:05:00,Flow_cfs,27.30,,G
03/01/2020,08:05:00,FlowVolume,6861727.28,,G
03/01/2020,08:10:00,PT Level,3.54,in,G
03/01/2020,08:10:00,Flow_cfs,27.40,,G
03/01/2020,08:10:00,FlowVolume,6861727.28,,G
03/01/2020,08:15:00,PT Level,3.54,in,G
03/01/2020,08:15:00,Flow_cfs,27.40,,G
03/01/2020,08:15:00,FlowVolume,6861727.28,,G
03/01/2020,08:20:00,PT Level,3.52,in,G
03/01/2020,08:20:00,Flow_cfs,27.20,,G
03/01/2020,08:20:00,FlowVolume,6861727.28,,G
03/01/2020,08:25:00,PT Level,3.53,in,G
03/01/2020,08:25:00,Flow_cfs,27.30,,G
03/01/2020,08:25:00,FlowVolume,6861727.28,,G
03/01/2020,08:30:00,PT Level,3.53,in,G
03/01/2020,08:30:00,Flow_cfs,27.30,,G
03/01/2020,08:30:00,FlowVolume,6861727.28,,G
03/01/2020,08:35:00,PT Level,3.54,in,G
03/01/2020,08:35:00,Flow_cfs,27.40,,G
03/01/2020,08:35:00,FlowVolume,6861727.28,,G
03/01/2020,08:40:00,PT Level,3.53,in,G
03/01/2020,08:40:00,Flow_cfs,27.30,,G
03/01/2020,08:40:00,FlowVolume,6861727.28,,G
03/01/2020,08:45:00,PT Level,3.53,in,G
03/01/2020,08:45:00,Flow_cfs,27.30,,G
03/01/2020,08:45:00,FlowVolume,6861727.28,,G
03/01/2020,08:50:00,PT Level,3.56,in,G
03/01/2020,08:50:00,Flow_cfs,27.60,,G
03/01/2020,08:50:00,FlowVolume,6861727.28,,G
03/01/2020,08:55:00,PT Level,3.53,in,G
03/01/2020,08:55:00,Flow_cfs,27.30,,G
03/01/2020,08:55:00,FlowVolume,6861727.28,,G
03/01/2020,09:00:00,PT Level,3.52,in,G
03/01/2020,09:00:00,Flow_cfs,27.20,,G
03/01/2020,09:00:00,FlowVolume,6861727.28,,G
03/01/2020,09:05:00,PT Level,3.51,in,G
03/01/2020,09:05:00,Flow_cfs,27.10,,G
03/01/2020,09:05:00,FlowVolume,6861727.28,,G
03/01/2020,09:10:00,PT Level,3.53,in,G
03/01/2020,09:10:00,Flow_cfs,27.30,,G
03/01/2020,09:10:00,FlowVolume,6861727.28,,G
03/01/2020,09:15:00,PT Level,3.52,in,G
03/01/2020,09:15:00,Flow_cfs,27.20,,G
03/01/2020,09:15:00,FlowVolume,6861727.28,,G
03/01/2020,09:20:00,PT Level,3.53,in,G
03/01/2020,09:20:00,Flow_cfs,27.30,,G
