Station Name,model and version,XL2 S/N,,,
LakeHodges_DELDIOS,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911381,,,
Label,Meas Type,Slope,Offset,Equation,
10/26/2020,12:35:00,Aliquot_Num,0,ali,G
10/26/2020,12:35:00,Flow_cfs,0.42,,G
10/26/2020,12:35:00,Curr_pacing,320000,,G
10/26/2020,12:35:00,FlowVolume,0,,G
10/26/2020,12:40:00,PT Level,3.3,in,G
10/26/2020,12:40:00,Flow_cfs,0.43,,G
10/26/2020,12:40:00,Aliquot_Num,0,ali,G
10/26/2020,12:40:00,Curr_pacing,320000,,G
10/26/2020,12:40:00,FlowVolume,0,,G
10/26/2020,12:45:00,PT Level,3.27,in,G
10/26/2020,12:45:00,Aliquot_Num,0,ali,G
10/26/2020,12:45:00,Flow_cfs,0.42,,G
10/26/2020,12:45:00,Curr_pacing,320000,,G
10/26/2020,12:45:00,FlowVolume,0,,G
10/26/2020,12:50:00,PT Level,3.27,in,G
10/26/2020,12:50:00,Flow_cfs,0.42,,G
10/26/2020,12:50:00,Aliquot_Num,0,ali,G
10/26/2020,12:50:00,Curr_pacing,320000,,G
10/26/2020,12:50:00,FlowVolume,0,,G
10/26/2020,12:55:00,PT Level,3.27,in,G
10/26/2020,12:55:00,Aliquot_Num,0,ali,G
10/26/2020,12:55:00,Flow_cfs,0.42,,G
10/26/2020,12:55:00,Curr_pacing,320000,,G
10/26/2020,12:55:00,FlowVolume,0,,G
10/26/2020,13:00:00,PT Level,3.27,in,G
10/26/2020,13:00:00,Flow_cfs,0.42,,G
10/26/2020,13:00:00,Aliquot_Num,0,ali,G
10/26/2020,13:00:00,Curr_pacing,320000,,G
10/26/2020,13:00:00,FlowVolume,0,,G
10/26/2020,13:05:00,PT Level,3.27,in,G
10/26/2020,13:05:00,Aliquot_Num,0,ali,G
10/26/2020,13:05:00,Flow_cfs,0.42,,G
10/26/2020,13:05:00,Curr_pacing,320000,,G
10/26/2020,13:05:00,FlowVolume,0,,G
10/26/2020,13:10:00,PT Level,3.29,in,G
10/26/2020,13:10:00,Aliquot_Num,0,ali,G
10/26/2020,13:10:00,Flow_cfs,0.43,,G
10/26/2020,13:10:00,Curr_pacing,320000,,G
10/26/2020,13:10:00,FlowVolume,0,,G
10/26/2020,13:15:00,PT Level,3.27,in,G
10/26/2020,13:15:00,Flow_cfs,0.42,,G
10/26/2020,13:15:00,Aliquot_Num,0,ali,G
10/26/2020,13:15:00,Curr_pacing,320000,,G
10/26/2020,13:15:00,FlowVolume,0,,G
10/26/2020,13:20:00,PT Level,3.27,in,G
10/26/2020,13:20:00,Aliquot_Num,0,ali,G
10/26/2020,13:20:00,Flow_cfs,0.42,,G
10/26/2020,13:20:00,Curr_pacing,320000,,G
10/26/2020,13:20:00,FlowVolume,0,,G
10/26/2020,13:25:00,PT Level,3.27,in,G
10/26/2020,13:25:00,Flow_cfs,0.42,,G
10/26/2020,13:25:00,Aliquot_Num,0,ali,G
10/26/2020,13:25:00,Curr_pacing,320000,,G
10/26/2020,13:25:00,FlowVolume,0,,G
10/26/2020,13:30:00,PT Level,3.26,in,G
10/26/2020,13:30:00,Aliquot_Num,0,ali,G
