Station Name,model and version,XL2 S/N,,,
LakeHodges_DELDIOS,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911381,,,
Label,Meas Type,Slope,Offset,Equation,
PT Level,SDI-12,1,0,Off,
Flow_cfs,Meta,1,0,Off,
Curr_pacing,Meta,1,0,Off,
FlowVolume,Meta,1,0,Off,
Aliquot_Num,Meta,1,0,Off,
9/9/2020,0:00:00,PT Level,-0.33,in,G
9/9/2020,0:00:00,Aliquot_Num,31,ali,G
9/9/2020,0:00:00,Flow_cfs,0,,G
9/9/2020,0:00:00,Curr_Pacing,600000,,G
9/9/2020,0:00:00,FlowVolume,238379.96,,G
9/9/2020,0:05:00,PT Level,-0.32,in,G
9/9/2020,0:05:00,Flow_cfs,0,,G
9/9/2020,0:05:00,Aliquot_Num,31,ali,G
9/9/2020,0:05:00,Curr_Pacing,600000,,G
9/9/2020,0:05:00,FlowVolume,238379.96,,G
9/9/2020,0:10:00,PT Level,-0.33,in,G
9/9/2020,0:10:00,Flow_cfs,0,,G
9/9/2020,0:10:00,Aliquot_Num,31,ali,G
9/9/2020,0:10:00,Curr_Pacing,600000,,G
9/9/2020,0:10:00,FlowVolume,238379.96,,G
9/9/2020,0:15:00,PT Level,-0.32,in,G
9/9/2020,0:15:00,Aliquot_Num,31,ali,G
9/9/2020,0:15:00,Flow_cfs,0,,G
9/9/2020,0:15:00,Curr_Pacing,600000,,G
9/9/2020,0:15:00,FlowVolume,238379.96,,G
9/9/2020,0:20:00,PT Level,-0.32,in,G
9/9/2020,0:20:00,Aliquot_Num,31,ali,G
9/9/2020,0:20:00,Flow_cfs,0,,G
9/9/2020,0:20:00,Curr_Pacing,600000,,G
9/9/2020,0:20:00,FlowVolume,238379.96,,G
9/9/2020,0:25:00,PT Level,-0.32,in,G
9/9/2020,0:25:00,Aliquot_Num,31,ali,G
9/9/2020,0:25:00,Flow_cfs,0,,G
9/9/2020,0:25:00,Curr_Pacing,600000,,G
9/9/2020,0:25:00,FlowVolume,238379.96,,G
9/9/2020,0:30:00,PT Level,-0.33,in,G
9/9/2020,0:30:00,Flow_cfs,0,,G
9/9/2020,0:30:00,Aliquot_Num,31,ali,G
9/9/2020,0:30:00,Curr_Pacing,600000,,G
9/9/2020,0:30:00,FlowVolume,238379.96,,G
9/9/2020,0:35:00,PT Level,-0.33,in,G
9/9/2020,0:35:00,Aliquot_Num,31,ali,G
9/9/2020,0:35:00,Flow_cfs,0,,G
9/9/2020,0:35:00,Curr_Pacing,600000,,G
9/9/2020,0:35:00,FlowVolume,238379.96,,G
9/9/2020,0:40:00,PT Level,-0.35,in,G
9/9/2020,0:40:00,Aliquot_Num,31,ali,G
9/9/2020,0:40:00,Flow_cfs,0,,G
9/9/2020,0:40:00,Curr_Pacing,600000,,G
9/9/2020,0:40:00,FlowVolume,238379.96,,G
9/9/2020,0:45:00,PT Level,-0.33,in,G
9/9/2020,0:45:00,Aliquot_Num,31,ali,G
9/9/2020,0:45:00,Flow_cfs,0,,G
9/9/2020,0:45:00,Curr_Pacing,600000,,G
9/9/2020,0:45:00,FlowVolume,238379.96,,G
9/9/2020,0:50:00,PT Level,-0.32,in,G
9/9/2020,0:50:00,Aliquot_Num,31,ali,G
9/9/2020,0:50:00,Flow_cfs,0,,G
9/9/2020,0:50:00,Curr_Pacing,600000,,G
9/9/2020,0:50:00,FlowVolume,238379.96,,G
9/9/2020,0:55:00,PT Level,-0.35,in,G
9/9/2020,0:55:00,Flow_cfs,0,,G
9/9/2020,0:55:00,Aliquot_Num,31,ali,G
9/9/2020,0:55:00,Curr_Pacing,600000,,G
9/9/2020,0:55:00,FlowVolume,238379.96,,G
9/9/2020,1:00:00,PT Level,-0.33,in,G
9/9/2020,1:00:00,Aliquot_Num,31,ali,G
9/9/2020,1:00:00,Flow_cfs,0,,G
9/9/2020,1:00:00,Curr_Pacing,600000,,G
9/9/2020,1:00:00,FlowVolume,238379.96,,G
9/9/2020,1:05:00,PT Level,-0.33,in,G
9/9/2020,1:05:00,Aliquot_Num,31,ali,G
9/9/2020,1:05:00,Flow_cfs,0,,G
9/9/2020,1:05:00,Curr_Pacing,600000,,G
9/9/2020,1:05:00,FlowVolume,238379.96,,G
9/9/2020,1:10:00,PT Level,-0.33,in,G
9/9/2020,1:10:00,Aliquot_Num,31,ali,G
9/9/2020,1:10:00,Flow_cfs,0,,G
9/9/2020,1:10:00,Curr_Pacing,600000,,G
9/9/2020,1:10:00,FlowVolume,238379.96,,G
9/9/2020,1:15:00,PT Level,-0.33,in,G
9/9/2020,1:15:00,Flow_cfs,0,,G
9/9/2020,1:15:00,Aliquot_Num,31,ali,G
9/9/2020,1:15:00,Curr_Pacing,600000,,G
9/9/2020,1:15:00,FlowVolume,238379.96,,G
9/9/2020,1:20:00,PT Level,-0.33,in,G
9/9/2020,1:20:00,Flow_cfs,0,,G
9/9/2020,1:20:00,Aliquot_Num,31,ali,G
9/9/2020,1:20:00,Curr_Pacing,600000,,G
9/9/2020,1:20:00,FlowVolume,238379.96,,G
9/9/2020,1:25:00,PT Level,-0.34,in,G
9/9/2020,1:25:00,Aliquot_Num,31,ali,G
9/9/2020,1:25:00,Flow_cfs,0,,G
9/9/2020,1:25:00,Curr_Pacing,600000,,G
9/9/2020,1:25:00,FlowVolume,238379.96,,G
9/9/2020,1:30:00,PT Level,-0.34,in,G
9/9/2020,1:30:00,Aliquot_Num,31,ali,G
9/9/2020,1:30:00,Flow_cfs,0,,G
9/9/2020,1:30:00,Curr_Pacing,600000,,G
9/9/2020,1:30:00,FlowVolume,238379.96,,G
9/9/2020,1:35:00,PT Level,-0.34,in,G
9/9/2020,1:35:00,Aliquot_Num,31,ali,G
9/9/2020,1:35:00,Flow_cfs,0,,G
9/9/2020,1:35:00,Curr_Pacing,600000,,G
