Date,Time,PT Level,PT Flow cfs,Level_950,Vel_950,Flow_950,Curr_pacing,FlowVolume,Aliquot_Num,Battery_950
MM/dd/yyyy,hh:mm:ss,in,cfs,in,fps,gpm,,,ali,V
11/08/2020,14:55:00,0.69,1.170,0.65,0.00,0.10,0.00,489667.53,140,
11/08/2020,14:56:00,0.67,1.083,0.69,0.00,0.12,,489732.53,,
11/08/2020,14:57:00,0.64,0.953,0.65,0.00,0.10,,489732.53,,
11/08/2020,15:00:00,0.64,0.953,0.65,0.00,0.10,0.00,489732.53,142,12.58
11/08/2020,15:05:00,0.61,0.823,0.65,0.00,0.10,0.00,489732.53,142,
11/08/2020,15:10:00,0.57,0.650,0.56,0.00,0.08,0.00,489732.53,142,
11/08/2020,15:15:00,0.56,0.607,0.56,0.00,0.08,0.00,489732.53,142,
11/08/2020,15:20:00,0.54,0.520,0.56,0.00,0.08,0.00,489732.53,142,
11/08/2020,15:25:00,0.53,0.477,0.56,0.00,0.08,0.00,489732.53,142,
11/08/2020,15:30:00,0.51,0.390,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,15:35:00,0.51,0.390,0.65,0.00,0.10,0.00,489732.53,142,
11/08/2020,15:40:00,0.49,0.303,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,15:45:00,0.48,0.260,0.56,0.00,0.08,0.00,489732.53,142,
11/08/2020,15:50:00,0.48,0.260,0.56,0.00,0.08,0.00,489732.53,142,
11/08/2020,15:55:00,0.48,0.260,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,16:00:00,0.47,0.217,0.52,0.00,0.08,0.00,489732.53,142,12.60
11/08/2020,16:05:00,0.47,0.217,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,16:10:00,0.47,0.217,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,16:15:00,0.47,0.217,0.56,0.00,0.08,0.00,489732.53,142,
11/08/2020,16:20:00,0.46,0.173,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,16:25:00,0.46,0.173,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,16:30:00,0.46,0.173,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,16:35:00,0.45,0.130,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,16:40:00,0.45,0.130,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,16:45:00,0.46,0.173,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,16:50:00,0.45,0.130,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,16:55:00,0.46,0.173,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,17:00:00,0.46,0.173,0.39,0.00,0.05,0.00,489732.53,142,12.60
11/08/2020,17:05:00,0.45,0.130,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,17:10:00,0.45,0.130,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,17:15:00,0.44,0.087,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,17:20:00,0.44,0.087,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,17:25:00,0.43,0.043,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,17:30:00,0.43,0.043,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,17:35:00,0.43,0.043,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,17:40:00,0.43,0.043,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,17:45:00,0.43,0.043,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,17:50:00,0.43,0.043,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,17:55:00,0.42,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,18:00:00,0.42,0.000,0.43,0.00,0.06,0.00,489732.53,142,12.60
11/08/2020,18:05:00,0.42,0.000,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,18:10:00,0.42,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,18:15:00,0.42,0.000,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,18:20:00,0.42,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,18:25:00,0.40,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,18:30:00,0.41,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,18:35:00,0.41,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,18:40:00,0.41,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,18:45:00,0.40,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,18:50:00,0.40,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,18:55:00,0.40,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,19:00:00,0.40,0.000,0.43,0.00,0.06,0.00,489732.53,142,12.60
11/08/2020,19:05:00,0.40,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,19:10:00,0.41,0.000,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,19:15:00,0.40,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,19:20:00,0.40,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,19:25:00,0.40,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,19:30:00,0.41,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,19:35:00,0.40,0.000,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,19:40:00,0.39,0.000,0.35,0.00,0.04,0.00,489732.53,142,
11/08/2020,19:45:00,0.39,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,19:50:00,0.40,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,19:55:00,0.39,0.000,0.35,0.00,0.04,0.00,489732.53,142,
11/08/2020,20:00:00,0.39,0.000,0.35,0.00,0.04,0.00,489732.53,142,12.60
11/08/2020,20:05:00,0.38,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,20:10:00,0.38,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,20:15:00,0.39,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,20:20:00,0.39,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,20:25:00,0.38,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,20:30:00,0.39,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,20:35:00,0.39,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,20:40:00,0.38,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,20:45:00,0.39,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,20:50:00,0.38,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,20:55:00,0.39,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,21:00:00,0.39,0.000,0.43,0.00,0.06,0.00,489732.53,142,12.59
11/08/2020,21:05:00,0.38,0.000,0.30,0.00,0.03,0.00,489732.53,142,
11/08/2020,21:10:00,0.39,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,21:15:00,0.38,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,21:20:00,0.38,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,21:25:00,0.38,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,21:30:00,0.39,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,21:35:00,0.38,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,21:40:00,0.38,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,21:45:00,0.38,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,21:50:00,0.38,0.000,0.52,0.00,0.08,0.00,489732.53,142,
11/08/2020,21:55:00,0.39,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,22:00:00,0.38,0.000,0.43,0.00,0.06,0.00,489732.53,142,12.59
11/08/2020,22:05:00,0.38,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,22:10:00,0.38,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,22:15:00,0.38,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,22:20:00,0.38,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,22:25:00,0.38,0.000,0.35,0.00,0.04,0.00,489732.53,142,
11/08/2020,22:30:00,0.38,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,22:35:00,0.38,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,22:40:00,0.38,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,22:45:00,0.38,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,22:50:00,0.38,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,22:55:00,0.37,0.000,0.35,0.00,0.04,0.00,489732.53,142,
11/08/2020,23:00:00,0.38,0.000,0.35,0.00,0.04,0.00,489732.53,142,12.59
11/08/2020,23:05:00,0.38,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,23:10:00,0.38,0.000,0.35,0.00,0.04,0.00,489732.53,142,
11/08/2020,23:15:00,0.38,0.000,0.35,0.00,0.04,0.00,489732.53,142,
11/08/2020,23:20:00,0.39,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,23:25:00,0.38,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,23:30:00,0.38,0.000,0.35,0.00,0.04,0.00,489732.53,142,
11/08/2020,23:35:00,0.38,0.000,0.35,0.00,0.04,0.00,489732.53,142,
11/08/2020,23:40:00,0.38,0.000,0.39,0.00,0.05,0.00,489732.53,142,
11/08/2020,23:45:00,0.38,0.000,0.43,0.00,0.06,0.00,489732.53,142,
11/08/2020,23:50:00,0.38,0.000,0.48,0.00,0.07,0.00,489732.53,142,
11/08/2020,23:55:00,0.38,0.000,0.48,0.00,0.07,0.00,489732.53,142,
