06/17/2020,01:35:00,FlowVolume,83384.25,,G
06/17/2020,01:40:00,PT Level,7.37,in,G
06/17/2020,01:40:00,Aliquot_Num,109,ali,G
06/17/2020,01:40:00,Flow_cfs,9.83,,G
06/17/2020,01:40:00,Curr_pacing,1000000.00,,G
06/17/2020,01:40:00,FlowVolume,83384.25,,G
06/17/2020,01:45:00,PT Level,7.37,in,G
06/17/2020,01:45:00,Aliquot_Num,109,ali,G
06/17/2020,01:45:00,Flow_cfs,9.83,,G
06/17/2020,01:45:00,Curr_pacing,1000000.00,,G
06/17/2020,01:45:00,FlowVolume,83384.25,,G
06/17/2020,01:50:00,PT Level,7.36,in,G
06/17/2020,01:50:00,Aliquot_Num,109,ali,G
06/17/2020,01:50:00,Flow_cfs,9.80,,G
06/17/2020,01:50:00,Curr_pacing,1000000.00,,G
06/17/2020,01:50:00,FlowVolume,83384.25,,G
06/17/2020,01:55:00,PT Level,7.37,in,G
06/17/2020,01:55:00,Aliquot_Num,109,ali,G
06/17/2020,01:55:00,Flow_cfs,9.83,,G
06/17/2020,01:55:00,Curr_pacing,1000000.00,,G
06/17/2020,01:55:00,FlowVolume,83384.25,,G
06/17/2020,02:00:00,PT Level,7.37,in,G
06/17/2020,02:00:00,Aliquot_Num,109,ali,G
06/17/2020,02:00:00,Flow_cfs,9.83,,G
06/17/2020,02:00:00,Curr_pacing,1000000.00,,G
06/17/2020,02:00:00,FlowVolume,83384.25,,G
06/17/2020,02:05:00,PT Level,7.40,in,G
06/17/2020,02:05:00,Aliquot_Num,109,ali,G
06/17/2020,02:05:00,Flow_cfs,9.89,,G
06/17/2020,02:05:00,Curr_pacing,1000000.00,,G
06/17/2020,02:05:00,FlowVolume,83384.25,,G
06/17/2020,02:10:00,PT Level,7.40,in,G
06/17/2020,02:10:00,Aliquot_Num,109,ali,G
06/17/2020,02:10:00,Flow_cfs,9.89,,G
06/17/2020,02:10:00,Curr_pacing,1000000.00,,G
06/17/2020,02:10:00,FlowVolume,83384.25,,G
06/17/2020,02:15:00,PT Level,7.41,in,G
06/17/2020,02:15:00,Aliquot_Num,109,ali,G
06/17/2020,02:15:00,Flow_cfs,9.91,,G
06/17/2020,02:15:00,Curr_pacing,1000000.00,,G
06/17/2020,02:15:00,FlowVolume,83384.25,,G
06/17/2020,02:20:00,PT Level,7.42,in,G
06/17/2020,02:20:00,Aliquot_Num,109,ali,G
06/17/2020,02:20:00,Flow_cfs,9.93,,G
06/17/2020,02:20:00,Curr_pacing,1000000.00,,G
06/17/2020,02:20:00,FlowVolume,83384.25,,G
06/17/2020,02:25:00,PT Level,7.42,in,G
06/17/2020,02:25:00,Aliquot_Num,109,ali,G
06/17/2020,02:25:00,Flow_cfs,9.93,,G
06/17/2020,02:25:00,Curr_pacing,1000000.00,,G
06/17/2020,02:25:00,FlowVolume,83384.25,,G
06/17/2020,02:30:00,PT Level,7.43,in,G
06/17/2020,02:30:00,Aliquot_Num,109,ali,G
06/17/2020,02:30:00,Flow_cfs,9.96,,G
06/17/2020,02:30:00,Curr_pacing,1000000.00,,G
06/17/2020,02:30:00,FlowVolume,83384.25,,G
06/17/2020,02:35:00,PT Level,7.43,in,G
06/17/2020,02:35:00,Aliquot_Num,109,ali,G
06/17/2020,02:35:00,Flow_cfs,9.96,,G
06/17/2020,02:35:00,Curr_pacing,1000000.00,,G
06/17/2020,02:35:00,FlowVolume,83384.25,,G
06/17/2020,02:40:00,PT Level,7.44,in,G
06/17/2020,02:40:00,Aliquot_Num,109,ali,G
06/17/2020,02:40:00,Flow_cfs,9.98,,G
06/17/2020,02:40:00,Curr_pacing,1000000.00,,G
06/17/2020,02:40:00,FlowVolume,83384.25,,G
06/17/2020,02:45:00,PT Level,7.45,in,G
06/17/2020,02:45:00,Aliquot_Num,109,ali,G
06/17/2020,02:45:00,Flow_cfs,10.00,,G
06/17/2020,02:45:00,Curr_pacing,1000000.00,,G
06/17/2020,02:45:00,FlowVolume,83384.25,,G
06/17/2020,02:50:00,PT Level,7.45,in,G
06/17/2020,02:50:00,Aliquot_Num,109,ali,G
06/17/2020,02:50:00,Flow_cfs,10.00,,G
06/17/2020,02:50:00,Curr_pacing,1000000.00,,G
06/17/2020,02:50:00,FlowVolume,83384.25,,G
06/17/2020,02:55:00,PT Level,7.45,in,G
06/17/2020,02:55:00,Aliquot_Num,109,ali,G
06/17/2020,02:55:00,Flow_cfs,10.00,,G
06/17/2020,02:55:00,Curr_pacing,1000000.00,,G
06/17/2020,02:55:00,FlowVolume,83384.25,,G
06/17/2020,03:00:00,PT Level,7.45,in,G
06/17/2020,03:00:00,Aliquot_Num,109,ali,G
06/17/2020,03:00:00,Flow_cfs,10.00,,G
06/17/2020,03:00:00,Curr_pacing,1000000.00,,G
06/17/2020,03:00:00,FlowVolume,83384.25,,G
06/17/2020,03:05:00,PT Level,7.48,in,G
06/17/2020,03:05:00,Aliquot_Num,109,ali,G
06/17/2020,03:05:00,Flow_cfs,10.07,,G
06/17/2020,03:05:00,Curr_pacing,1000000.00,,G
06/17/2020,03:05:00,FlowVolume,83384.25,,G
06/17/2020,03:10:00,PT Level,7.48,in,G
06/17/2020,03:10:00,Aliquot_Num,109,ali,G
06/17/2020,03:10:00,Flow_cfs,10.07,,G
06/17/2020,03:10:00,Curr_pacing,1000000.00,,G
06/17/2020,03:10:00,FlowVolume,83384.25,,G
06/17/2020,03:15:00,PT Level,7.48,in,G
06/17/2020,03:15:00,Aliquot_Num,109,ali,G
06/17/2020,03:15:00,Flow_cfs,10.07,,G
06/17/2020,03:15:00,Curr_pacing,1000000.00,,G
06/17/2020,03:15:00,FlowVolume,83384.25,,G
06/17/2020,03:20:00,PT Level,7.48,in,G
06/17/2020,03:20:00,Aliquot_Num,109,ali,G
06/17/2020,03:20:00,Flow_cfs,10.07,,G
06/17/2020,03:20:00,Curr_pacing,1000000.00,,G
06/17/2020,03:20:00,FlowVolume,83384.25,,G
06/17/2020,03:25:00,PT Level,7.48,in,G
06/17/2020,03:25:00,Aliquot_Num,109,ali,G
06/17/2020,03:25:00,Flow_cfs,10.07,,G
06/17/2020,03:25:00,Curr_pacing,1000000.00,,G
06/17/2020,03:25:00,FlowVolume,83384.25,,G
06/17/2020,03:30:00,PT Level,7.50,in,G
06/17/2020,03:30:00,Aliquot_Num,109,ali,G
06/17/2020,03:30:00,Flow_cfs,10.11,,G
06/17/2020,03:30:00,Curr_pacing,1000000.00,,G
06/17/2020,03:30:00,FlowVolume,83384.25,,G
06/17/2020,03:35:00,PT Level,7.52,in,G
06/17/2020,03:35:00,Aliquot_Num,109,ali,G
06/17/2020,03:35:00,Flow_cfs,10.15,,G
06/17/2020,03:35:00,Curr_pacing,1000000.00,,G
06/17/2020,03:35:00,FlowVolume,83384.25,,G
