Date Time,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,cfs
04/22/2021 12:25:00,5.76,0.000
04/22/2021 12:30:00,5.76,0.000
04/22/2021 12:35:00,5.77,0.000
04/22/2021 12:40:00,5.75,0.000
04/22/2021 12:45:00,5.75,0.000
04/22/2021 12:50:00,5.75,0.000
04/22/2021 12:55:00,5.75,0.000
04/22/2021 13:00:00,5.74,0.000
04/22/2021 13:05:00,5.75,0.000
04/22/2021 13:10:00,5.76,0.000
04/22/2021 13:15:00,5.75,0.000
04/22/2021 13:20:00,5.75,0.000
04/22/2021 13:25:00,5.75,0.000
04/22/2021 13:30:00,5.74,0.000
04/22/2021 13:35:00,5.75,0.000
04/22/2021 13:40:00,5.74,0.000
04/22/2021 13:45:00,5.73,0.000
04/22/2021 13:50:00,5.77,0.000
04/22/2021 13:55:00,5.75,0.000
04/22/2021 14:00:00,5.75,0.000
04/22/2021 14:05:00,5.76,0.000
04/22/2021 14:10:00,5.75,0.000
04/22/2021 14:15:00,5.76,0.000
04/22/2021 14:20:00,5.78,0.000
04/22/2021 14:25:00,5.76,0.000
04/22/2021 14:30:00,5.76,0.000
04/22/2021 14:35:00,5.75,0.000
04/22/2021 14:40:00,5.75,0.000
04/22/2021 14:45:00,5.76,0.000
04/22/2021 14:50:00,5.76,0.000
04/22/2021 14:55:00,5.75,0.000
04/22/2021 15:00:00,5.75,0.000
04/22/2021 15:05:00,5.75,0.000
04/22/2021 15:10:00,5.73,0.000
04/22/2021 15:15:00,5.74,0.000
04/22/2021 15:20:00,5.75,0.000
04/22/2021 15:25:00,5.75,0.000
04/22/2021 15:30:00,5.75,0.000
04/22/2021 15:35:00,5.75,0.000
04/22/2021 15:40:00,5.75,0.000
04/22/2021 15:45:00,5.74,0.000
04/22/2021 15:50:00,5.76,0.000
04/22/2021 15:55:00,5.76,0.000
04/22/2021 16:00:00,5.77,0.000
04/22/2021 16:05:00,5.76,0.000
04/22/2021 16:10:00,5.76,0.000
04/22/2021 16:15:00,5.77,0.000
04/22/2021 16:20:00,5.78,0.000
04/22/2021 16:25:00,5.77,0.000
04/22/2021 16:30:00,5.77,0.000
04/22/2021 16:35:00,5.75,0.000
04/22/2021 16:40:00,5.77,0.000
04/22/2021 16:45:00,5.76,0.000
04/22/2021 16:50:00,5.76,0.000
04/22/2021 16:55:00,5.77,0.000
04/22/2021 17:00:00,5.76,0.000
04/22/2021 17:05:00,5.80,0.000
04/22/2021 17:10:00,5.77,0.000
04/22/2021 17:15:00,5.81,0.000
04/22/2021 17:20:00,5.78,0.000
04/22/2021 17:25:00,5.76,0.000
04/22/2021 17:30:00,5.76,0.000
04/22/2021 17:35:00,5.77,0.000
04/22/2021 17:40:00,5.78,0.000
04/22/2021 17:45:00,5.78,0.000
04/22/2021 17:50:00,5.80,0.000
04/22/2021 17:55:00,5.78,0.000
04/22/2021 18:00:00,5.78,0.000
04/22/2021 18:05:00,5.78,0.000
04/22/2021 18:10:00,5.78,0.000
04/22/2021 18:15:00,5.78,0.000
04/22/2021 18:20:00,5.79,0.000
04/22/2021 18:25:00,5.79,0.000
04/22/2021 18:30:00,5.79,0.000
04/22/2021 18:35:00,5.76,0.000
04/22/2021 18:40:00,5.77,0.000
04/22/2021 18:45:00,5.78,0.000
04/22/2021 18:50:00,5.80,0.000
04/22/2021 18:55:00,5.80,0.000
04/22/2021 19:00:00,5.80,0.000
04/22/2021 19:05:00,5.81,0.000
04/22/2021 19:10:00,5.80,0.000
04/22/2021 19:15:00,5.82,0.000
04/22/2021 19:20:00,5.79,0.000
04/22/2021 19:25:00,5.80,0.000
04/22/2021 19:30:00,5.81,0.000
04/22/2021 19:35:00,5.80,0.000
04/22/2021 19:40:00,5.80,0.000
04/22/2021 19:45:00,5.82,0.000
04/22/2021 19:50:00,5.81,0.000
04/22/2021 19:55:00,5.81,0.000
04/22/2021 20:00:00,5.79,0.000
04/22/2021 20:05:00,5.80,0.000
04/22/2021 20:10:00,5.80,0.000
04/22/2021 20:15:00,5.82,0.000
04/22/2021 20:20:00,5.79,0.000
04/22/2021 20:25:00,5.79,0.000
04/22/2021 20:30:00,5.82,0.000
04/22/2021 20:35:00,5.82,0.000
04/22/2021 20:40:00,5.81,0.000
04/22/2021 20:45:00,5.79,0.000
04/22/2021 20:50:00,5.79,0.000
04/22/2021 20:55:00,5.82,0.000
04/22/2021 21:00:00,5.82,0.000
04/22/2021 21:05:00,5.81,0.000
04/22/2021 21:10:00,5.79,0.000
04/22/2021 21:15:00,5.81,0.000
04/22/2021 21:20:00,5.83,0.000
04/22/2021 21:25:00,5.81,0.000
04/22/2021 21:30:00,5.78,0.000
04/22/2021 21:35:00,5.81,0.000
04/22/2021 21:40:00,5.81,0.000
04/22/2021 21:45:00,5.81,0.000
04/22/2021 21:50:00,5.81,0.000
04/22/2021 21:55:00,5.80,0.000
04/22/2021 22:00:00,5.81,0.000
04/22/2021 22:05:00,5.79,0.000
04/22/2021 22:10:00,5.81,0.000
04/22/2021 22:15:00,5.81,0.000
04/22/2021 22:20:00,5.81,0.000
04/22/2021 22:25:00,5.83,0.000
04/22/2021 22:30:00,5.83,0.000
04/22/2021 22:35:00,5.80,0.000
04/22/2021 22:40:00,5.83,0.000
04/22/2021 22:45:00,5.80,0.000
04/22/2021 22:50:00,5.83,0.000
04/22/2021 22:55:00,5.82,0.000
04/22/2021 23:00:00,5.83,0.000
04/22/2021 23:05:00,5.83,0.000
04/22/2021 23:10:00,5.79,0.000
04/22/2021 23:15:00,5.81,0.000
04/22/2021 23:20:00,5.80,0.000
04/22/2021 23:25:00,5.81,0.000
04/22/2021 23:30:00,5.81,0.000
04/22/2021 23:35:00,5.83,0.000
04/22/2021 23:40:00,5.81,0.000
04/22/2021 23:45:00,5.79,0.000
04/22/2021 23:50:00,5.79,0.000
04/22/2021 23:55:00,5.83,0.000
04/23/2021 00:00:00,5.81,0.000
04/23/2021 00:05:00,5.83,0.000
04/23/2021 00:10:00,5.80,0.000
04/23/2021 00:15:00,5.81,0.000
04/23/2021 00:20:00,5.82,0.000
04/23/2021 00:25:00,5.81,0.000
04/23/2021 00:30:00,5.83,0.000
04/23/2021 00:35:00,5.83,0.000
04/23/2021 00:40:00,5.83,0.000
04/23/2021 00:45:00,5.84,0.000
04/23/2021 00:50:00,5.84,0.000
04/23/2021 00:55:00,5.83,0.000
04/23/2021 01:00:00,5.81,0.000
04/23/2021 01:05:00,5.82,0.000
04/23/2021 01:10:00,5.83,0.000
04/23/2021 01:15:00,5.84,0.000
04/23/2021 01:20:00,5.83,0.000
04/23/2021 01:25:00,5.82,0.000
04/23/2021 01:30:00,5.83,0.000
04/23/2021 01:35:00,5.83,0.000
04/23/2021 01:40:00,5.82,0.000
04/23/2021 01:45:00,5.84,0.000
04/23/2021 01:50:00,5.83,0.000
04/23/2021 01:55:00,5.84,0.000
04/23/2021 02:00:00,5.82,0.000
04/23/2021 02:05:00,5.84,0.000
04/23/2021 02:10:00,5.83,0.000
04/23/2021 02:15:00,5.84,0.000
04/23/2021 02:20:00,5.84,0.000
04/23/2021 02:25:00,5.83,0.000
04/23/2021 02:30:00,5.84,0.000
04/23/2021 02:35:00,5.84,0.000
