Date,Time,PT Level,PT Flow cfs,Level_950,Vel_950,Flow_950,Curr_pacing,FlowVolume,Aliquot_Num,Battery_950
MM/dd/yyyy,hh:mm:ss,in,cfs,in,fps,cfs,,,ali,V
11/05/2020,20:10:00,1.91,0.445,0.00,-99999.00,0.00,0.00,0.00,0,
11/05/2020,20:15:00,1.91,0.445,1.03,-99999.00,0.00,0.00,0.00,0,
11/05/2020,20:20:00,1.90,0.440,0.00,-99999.00,0.00,0.00,0.00,0,
11/05/2020,20:25:00,1.91,0.445,1.03,-99999.00,0.00,0.00,0.00,0,
11/05/2020,20:30:00,1.88,0.430,0.00,-99999.00,0.00,0.00,0.00,0,
11/05/2020,20:35:00,1.93,0.455,0.00,-99999.00,0.00,0.00,0.00,0,
11/05/2020,20:40:00,1.91,0.445,1.03,-99999.00,0.00,0.00,0.00,0,
11/05/2020,20:45:00,1.91,0.445,1.03,-99999.00,0.00,0.00,0.00,0,
11/05/2020,20:50:00,1.90,0.440,0.00,-99999.00,0.00,0.00,0.00,0,
11/05/2020,20:55:00,1.89,0.435,1.03,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:00:00,1.89,0.435,1.03,0.00,0.00,0.00,0.00,0,12.84
11/05/2020,21:05:00,1.94,0.460,1.07,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:10:00,1.89,0.435,0.00,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:15:00,1.89,0.435,0.00,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:20:00,1.88,0.430,1.07,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:25:00,1.89,0.435,1.03,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:30:00,1.90,0.440,0.00,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:35:00,1.90,0.440,0.00,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:40:00,1.92,0.450,1.03,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:45:00,1.89,0.435,1.07,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:50:00,1.91,0.445,0.00,-99999.00,0.00,0.00,0.00,0,
11/05/2020,21:55:00,1.95,0.465,1.07,-99999.00,0.00,0.00,0.00,0,
11/05/2020,22:00:00,1.93,0.455,1.03,0.00,0.00,0.00,0.00,0,12.83
11/05/2020,22:05:00,1.92,0.450,1.07,0.00,0.00,0.00,0.00,0,
11/05/2020,22:10:00,1.91,0.445,1.03,0.00,0.00,0.00,0.00,0,
11/05/2020,22:15:00,1.91,0.445,1.07,0.00,0.00,0.00,0.00,0,
11/05/2020,22:20:00,1.92,0.450,0.94,0.00,0.00,0.00,0.00,0,
11/05/2020,22:25:00,1.94,0.460,1.03,0.00,0.00,0.00,0.00,0,
11/05/2020,22:30:00,1.93,0.455,1.07,0.00,0.00,0.00,0.00,0,
11/05/2020,22:35:00,1.96,0.470,-99999.00,0.00,-99999.00,0.00,0.00,0,
11/05/2020,22:40:00,1.92,0.450,1.03,0.00,0.00,0.00,0.00,0,
11/05/2020,22:45:00,1.94,0.460,1.07,0.00,0.00,0.00,0.00,0,
11/05/2020,22:50:00,1.91,0.445,0.94,0.00,0.00,0.00,0.00,0,
11/05/2020,22:55:00,1.91,0.445,1.03,0.00,0.00,0.00,0.00,0,
11/05/2020,23:00:00,1.90,0.440,0.99,0.00,0.00,0.00,0.00,0,12.82
11/05/2020,23:05:00,1.90,0.440,1.03,0.00,0.00,0.00,0.00,0,
11/05/2020,23:10:00,1.92,0.450,0.99,0.00,0.00,0.00,0.00,0,
11/05/2020,23:15:00,1.94,0.460,1.07,0.00,0.00,0.00,0.00,0,
11/05/2020,23:20:00,1.93,0.455,1.07,0.00,0.00,0.00,0.00,0,
11/05/2020,23:25:00,1.94,0.460,1.07,0.00,0.00,0.00,0.00,0,
11/05/2020,23:30:00,1.98,0.480,1.07,0.00,0.00,0.00,0.00,0,
11/05/2020,23:35:00,2.07,0.532,-99999.00,0.00,-99999.00,0.00,0.00,0,
11/05/2020,23:40:00,1.93,0.455,1.07,0.00,0.00,0.00,0.00,0,
11/05/2020,23:45:00,1.91,0.445,1.03,0.00,0.00,0.00,0.00,0,
11/05/2020,23:50:00,1.91,0.445,1.03,0.00,0.00,0.00,0.00,0,
11/05/2020,23:55:00,1.89,0.435,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,00:00:00,1.91,0.445,0.99,0.00,0.00,0.00,0.00,0,12.81
11/06/2020,00:05:00,1.91,0.445,-99999.00,0.12,0.00,0.00,0.00,0,
