Date Time,Level_PT_No,Flow _PT,Level_PT_So
MM/dd/yyyy hh:mm:ss,in,cfs,in
03/16/2021 15:35:00,1.90,0.941,0.29
03/16/2021 15:40:00,1.87,0.926,0.29
03/16/2021 15:45:00,1.94,0.960,0.28
03/16/2021 15:50:00,1.92,0.950,0.27
03/16/2021 15:55:00,1.87,0.926,0.27
03/16/2021 16:00:00,1.85,0.916,0.27
03/16/2021 16:05:00,1.91,0.946,0.28
03/16/2021 16:10:00,1.89,0.936,0.27
03/16/2021 16:15:00,1.86,0.921,0.26
03/16/2021 16:20:00,1.92,0.950,0.27
03/16/2021 16:25:00,1.88,0.931,0.26
03/16/2021 16:30:00,1.85,0.916,0.27
03/16/2021 16:35:00,1.87,0.926,0.26
03/16/2021 16:40:00,1.88,0.931,0.25
03/16/2021 16:45:00,1.88,0.931,0.26
03/16/2021 16:50:00,1.87,0.926,0.25
03/16/2021 16:55:00,1.89,0.936,0.26
03/16/2021 17:00:00,1.88,0.931,0.25
03/16/2021 17:05:00,1.91,0.946,0.22
03/16/2021 17:10:00,1.94,0.960,0.24
03/16/2021 17:15:00,1.91,0.946,0.25
03/16/2021 17:20:00,1.88,0.931,0.25
03/16/2021 17:25:00,1.84,0.911,0.26
03/16/2021 17:30:00,1.88,0.931,0.25
03/16/2021 17:35:00,1.87,0.926,0.27
03/16/2021 17:40:00,1.87,0.926,0.24
03/16/2021 17:45:00,1.88,0.931,0.25
03/16/2021 17:50:00,1.88,0.931,0.24
03/16/2021 17:55:00,1.90,0.941,0.25
03/16/2021 18:00:00,1.91,0.946,0.25
03/16/2021 18:05:00,1.88,0.931,0.25
03/16/2021 18:10:00,1.86,0.921,0.25
03/16/2021 18:15:00,1.89,0.936,0.25
03/16/2021 18:20:00,1.87,0.926,0.26
03/16/2021 18:25:00,1.90,0.941,0.25
03/16/2021 18:30:00,1.92,0.950,0.26
03/16/2021 18:35:00,1.85,0.916,0.25
03/16/2021 18:40:00,1.86,0.921,0.27
03/16/2021 18:45:00,1.87,0.926,0.25
03/16/2021 18:50:00,1.93,0.955,0.25
03/16/2021 18:55:00,1.81,0.896,0.27
03/16/2021 19:00:00,1.87,0.926,0.26
03/16/2021 19:05:00,1.87,0.926,0.27
03/16/2021 19:10:00,1.91,0.946,0.25
03/16/2021 19:15:00,1.86,0.921,0.25
03/16/2021 19:20:00,1.87,0.926,0.27
03/16/2021 19:25:00,1.88,0.931,0.27
03/16/2021 19:30:00,1.87,0.926,0.27
03/16/2021 19:35:00,1.90,0.941,0.26
03/16/2021 19:40:00,1.87,0.926,0.26
03/16/2021 19:45:00,1.91,0.946,0.27
03/16/2021 19:50:00,1.86,0.921,0.27
03/16/2021 19:55:00,1.87,0.926,0.25
03/16/2021 20:00:00,1.90,0.941,0.27
03/16/2021 20:05:00,1.87,0.926,0.27
03/16/2021 20:10:00,1.84,0.911,0.27
03/16/2021 20:15:00,1.81,0.896,0.25
03/16/2021 20:20:00,1.88,0.931,0.27
03/16/2021 20:25:00,1.88,0.931,0.27
03/16/2021 20:30:00,1.88,0.931,0.26
03/16/2021 20:35:00,1.84,0.911,0.27
03/16/2021 20:40:00,1.89,0.936,0.26
03/16/2021 20:45:00,1.87,0.926,0.27
03/16/2021 20:50:00,1.86,0.921,0.27
03/16/2021 20:55:00,1.85,0.916,0.25
03/16/2021 21:00:00,1.90,0.941,0.27
03/16/2021 21:05:00,1.87,0.926,0.26
03/16/2021 21:10:00,1.85,0.916,0.25
03/16/2021 21:15:00,1.89,0.936,0.27
03/16/2021 21:20:00,1.90,0.941,0.27
03/16/2021 21:25:00,1.86,0.921,0.27
03/16/2021 21:30:00,1.91,0.946,0.26
03/16/2021 21:35:00,1.81,0.896,0.28
03/16/2021 21:40:00,1.86,0.921,0.27
03/16/2021 21:45:00,1.83,0.906,0.27
03/16/2021 21:50:00,1.80,0.891,0.28
03/16/2021 21:55:00,1.85,0.916,0.28
03/16/2021 22:00:00,1.89,0.936,0.27
03/16/2021 22:05:00,1.84,0.911,0.28
03/16/2021 22:10:00,1.88,0.931,0.27
03/16/2021 22:15:00,1.85,0.916,0.28
03/16/2021 22:20:00,1.81,0.896,0.29
03/16/2021 22:25:00,1.88,0.931,0.28
03/16/2021 22:30:00,1.86,0.921,0.28
03/16/2021 22:35:00,1.80,0.891,0.28
03/16/2021 22:40:00,1.89,0.936,0.29
03/16/2021 22:45:00,1.88,0.931,0.27
03/16/2021 22:50:00,1.86,0.921,0.28
03/16/2021 22:55:00,1.88,0.931,0.25
03/16/2021 23:00:00,1.85,0.916,0.28
03/16/2021 23:05:00,1.83,0.906,0.28
03/16/2021 23:10:00,1.85,0.916,0.28
03/16/2021 23:15:00,1.85,0.916,0.28
