Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
05/17/2021 15:25:00,0.26,,,1.89,278.147
05/17/2021 15:25:05,,0.29,,,
05/17/2021 15:25:10,,,0.956,,
05/17/2021 15:30:00,0.30,,,1.90,281.741
05/17/2021 15:30:05,,0.01,,,
05/17/2021 15:30:10,,,0.050,,
05/17/2021 15:35:00,0.13,,,1.92,288.929
05/17/2021 15:35:05,,0.29,,,
05/17/2021 15:35:10,,,0.316,,
05/17/2021 15:40:00,-99.00,,,1.81,252.758
05/17/2021 15:40:05,,0.27,,,
05/17/2021 15:40:10,,,0.884,,
05/17/2021 15:45:00,0.13,,,1.87,271.439
05/17/2021 15:45:05,,0.27,,,
05/17/2021 15:45:10,,,0.294,,
05/17/2021 15:50:00,0.13,,,1.92,288.929
05/17/2021 15:50:05,,0.27,,,
05/17/2021 15:50:10,,,0.297,,
05/17/2021 15:55:00,0.30,,,1.91,285.335
05/17/2021 15:55:05,,0.22,,,
05/17/2021 15:55:10,,,0.929,,
05/17/2021 16:00:00,-99.00,,,1.95,299.712
05/17/2021 16:00:05,,0.32,,,
05/17/2021 16:00:10,,,0.356,,
05/17/2021 16:05:00,0.30,,,1.93,292.524
05/17/2021 16:05:05,,0.29,,,
05/17/2021 16:05:10,,,1.185,,
05/17/2021 16:10:00,0.13,,,1.85,265.212
05/17/2021 16:10:05,,0.24,,,
05/17/2021 16:10:10,,,0.266,,
05/17/2021 16:15:00,0.13,,,1.87,271.439
05/17/2021 16:15:05,,0.30,,,
05/17/2021 16:15:10,,,0.327,,
05/17/2021 16:20:00,0.30,,,1.91,285.335
05/17/2021 16:20:05,,0.47,,,
05/17/2021 16:20:10,,,1.919,,
05/17/2021 16:25:00,0.43,,,1.94,296.118
05/17/2021 16:25:05,,0.00,,,
05/17/2021 16:25:10,,,0.007,,
05/17/2021 16:30:00,0.43,,,1.95,299.712
05/17/2021 16:30:05,,0.62,,,
05/17/2021 16:30:10,,,4.306,,
05/17/2021 16:35:00,0.34,,,2.03,325.953
05/17/2021 16:35:05,,0.39,,,
05/17/2021 16:35:10,,,1.952,,
05/17/2021 16:40:00,0.13,,,2.04,329.188
05/17/2021 16:40:05,,0.31,,,
05/17/2021 16:40:10,,,0.347,,
05/17/2021 16:45:00,0.13,,,1.80,249.644
05/17/2021 16:45:05,,0.29,,,
05/17/2021 16:45:10,,,0.316,,
05/17/2021 16:50:00,0.60,,,2.15,370.469
05/17/2021 16:50:05,,1.20,,,
05/17/2021 16:50:10,,,13.825,,
05/17/2021 16:55:00,0.56,,,1.92,288.929
05/17/2021 16:55:05,,0.54,,,
05/17/2021 16:55:10,,,5.582,,
05/17/2021 17:00:00,0.52,,,1.93,292.524
05/17/2021 17:00:05,,0.02,,,
05/17/2021 17:00:10,,,0.193,,
05/17/2021 17:05:00,0.34,,,1.93,292.524
05/17/2021 17:05:05,,0.32,,,
05/17/2021 17:05:10,,,1.600,,
05/17/2021 17:10:00,0.39,,,2.00,316.247
05/17/2021 17:10:05,,0.30,,,
05/17/2021 17:10:10,,,1.809,,
05/17/2021 17:15:00,0.43,,,1.93,292.524
05/17/2021 17:15:05,,0.29,,,
05/17/2021 17:15:10,,,2.038,,
05/17/2021 17:20:00,0.13,,,1.95,299.712
05/17/2021 17:20:05,,0.29,,,
05/17/2021 17:20:10,,,0.317,,
05/17/2021 17:25:00,0.39,,,1.99,313.012
05/17/2021 17:25:05,,0.34,,,
05/17/2021 17:25:10,,,2.024,,
05/17/2021 17:30:00,0.30,,,2.04,329.188
05/17/2021 17:30:05,,0.31,,,
05/17/2021 17:30:10,,,1.284,,
05/17/2021 17:35:00,0.34,,,1.92,288.929
05/17/2021 17:35:05,,0.08,,,
05/17/2021 17:35:10,,,0.407,,
05/17/2021 17:40:00,0.13,,,2.00,316.247
05/17/2021 17:40:05,,0.34,,,
