Date,Time,PT Level,PT Flow cfs
MM/dd/yyyy,hh:mm:ss,in,gpm
11/06/2020,11:00:00,0.96,58.840
11/06/2020,11:03:00,0.97,
11/06/2020,11:05:00,0.91,51.930
11/06/2020,11:10:00,0.91,51.930
11/06/2020,11:15:00,0.93,54.630
11/06/2020,11:20:00,0.83,41.595
11/06/2020,11:25:00,0.99,63.690
11/06/2020,11:30:00,0.99,63.690
11/06/2020,11:35:00,0.91,51.930
11/06/2020,11:40:00,0.91,51.930
11/06/2020,11:45:00,0.89,49.245
11/06/2020,11:50:00,0.96,58.840
11/06/2020,11:55:00,0.94,55.540
11/06/2020,12:00:00,0.90,50.040
11/06/2020,12:05:00,0.96,58.840
11/06/2020,12:10:00,0.91,51.930
11/06/2020,12:15:00,0.96,58.840
11/06/2020,12:20:00,1.00,64.680
11/06/2020,12:25:00,0.92,53.720
11/06/2020,12:30:00,0.98,62.700
11/06/2020,12:35:00,0.90,50.040
11/06/2020,12:40:00,0.89,49.245
11/06/2020,12:45:00,0.95,57.250
11/06/2020,12:50:00,0.88,48.450
11/06/2020,12:55:00,0.99,63.690
11/06/2020,13:00:00,0.89,49.245
11/06/2020,13:05:00,0.90,50.040
11/06/2020,13:10:00,1.02,68.100
11/06/2020,13:15:00,0.92,53.720
11/06/2020,13:20:00,0.93,54.630
11/06/2020,13:25:00,0.88,48.450
11/06/2020,13:30:00,0.85,44.480
11/06/2020,13:35:00,0.98,62.700
11/06/2020,13:40:00,0.88,48.450
11/06/2020,13:45:00,0.91,51.930
11/06/2020,13:50:00,0.83,41.595
11/06/2020,13:55:00,0.91,51.930
11/06/2020,14:00:00,0.91,51.930
11/06/2020,14:05:00,0.89,49.245
11/06/2020,14:10:00,0.85,44.480
11/06/2020,14:15:00,0.88,48.450
11/06/2020,14:20:00,0.86,45.300
11/06/2020,14:25:00,0.92,53.720
11/06/2020,14:30:00,0.96,58.840
11/06/2020,14:35:00,0.87,46.120
11/06/2020,14:40:00,0.91,51.930
11/06/2020,14:45:00,0.93,54.630
11/06/2020,14:50:00,0.89,49.245
11/06/2020,14:55:00,0.91,51.930
11/06/2020,15:00:00,0.98,62.700
11/06/2020,15:05:00,0.88,48.450
11/06/2020,15:10:00,0.98,62.700
11/06/2020,15:15:00,0.85,44.480
11/06/2020,15:20:00,0.85,44.480
11/06/2020,15:25:00,0.88,48.450
11/06/2020,15:30:00,0.96,58.840
11/06/2020,15:35:00,0.78,35.863
11/06/2020,15:40:00,0.89,49.245
11/06/2020,15:45:00,0.87,46.120
11/06/2020,15:50:00,0.86,45.300
11/06/2020,15:55:00,0.93,54.630
11/06/2020,16:00:00,0.84,42.500
11/06/2020,16:05:00,0.88,48.450
11/06/2020,16:10:00,0.85,44.480
11/06/2020,16:15:00,0.90,50.040
11/06/2020,16:20:00,0.86,45.300
11/06/2020,16:25:00,0.93,54.630
11/06/2020,16:30:00,0.90,50.040
11/06/2020,16:35:00,0.91,51.930
11/06/2020,16:40:00,0.80,37.720
11/06/2020,16:45:00,0.83,41.595
11/06/2020,16:50:00,0.85,44.480
11/06/2020,16:55:00,0.82,40.690
11/06/2020,17:00:00,0.85,44.480
11/06/2020,17:05:00,0.97,60.750
11/06/2020,17:10:00,0.82,40.690
11/06/2020,17:15:00,0.88,48.450
11/06/2020,17:20:00,0.89,49.245
11/06/2020,17:25:00,0.90,50.040
11/06/2020,17:30:00,0.93,54.630
11/06/2020,17:35:00,0.93,54.630
11/06/2020,17:40:00,0.86,45.300
11/06/2020,17:45:00,0.87,46.120
11/06/2020,17:50:00,0.86,45.300
11/06/2020,17:55:00,0.78,35.863
11/06/2020,18:00:00,0.83,41.595
11/06/2020,18:05:00,0.88,48.450
11/06/2020,18:10:00,0.89,49.245
11/06/2020,18:15:00,0.98,62.700
11/06/2020,18:20:00,0.91,51.930
11/06/2020,18:25:00,0.88,48.450
11/06/2020,18:30:00,0.88,48.450
11/06/2020,18:35:00,0.88,48.450
11/06/2020,18:40:00,0.87,46.120
11/06/2020,18:45:00,0.87,46.120
11/06/2020,18:50:00,0.84,42.500
11/06/2020,18:55:00,0.97,60.750
11/06/2020,19:00:00,0.91,51.930
11/06/2020,19:05:00,0.88,48.450
11/06/2020,19:10:00,1.03,69.850
