Date Time,Level_PT_No,Flow _PT,Level_PT_So
MM/dd/yyyy hh:mm:ss,in,cfs,in
02/11/2021 08:55:00,1.40,0.693,0.11
02/11/2021 09:00:00,1.39,0.688,0.11
02/11/2021 09:05:00,1.38,0.683,0.10
02/11/2021 09:10:00,1.41,0.698,0.11
02/11/2021 09:15:00,1.40,0.693,0.09
02/11/2021 09:20:00,1.41,0.698,0.09
02/11/2021 09:25:00,1.39,0.688,0.09
02/11/2021 09:30:00,1.43,0.708,0.10
02/11/2021 09:35:00,1.45,0.718,0.09
02/11/2021 09:40:00,1.43,0.708,0.10
02/11/2021 09:45:00,1.42,0.703,0.08
02/11/2021 09:50:00,1.45,0.718,0.08
02/11/2021 09:55:00,1.45,0.718,0.08
02/11/2021 10:00:00,1.46,0.723,0.08
02/11/2021 10:05:00,1.51,0.748,0.08
02/11/2021 10:10:00,1.51,0.748,0.06
02/11/2021 10:15:00,1.49,0.738,0.07
02/11/2021 10:20:00,1.46,0.723,0.08
02/11/2021 10:25:00,1.51,0.748,0.06
02/11/2021 10:30:00,1.54,0.762,0.08
02/11/2021 10:35:00,1.50,0.743,0.08
02/11/2021 10:40:00,1.56,0.772,0.07
02/11/2021 10:45:00,1.57,0.777,0.07
02/11/2021 10:50:00,1.51,0.748,0.07
02/11/2021 10:55:00,1.52,0.752,0.08
02/11/2021 11:00:00,1.50,0.743,0.08
02/11/2021 11:05:00,1.48,0.733,0.06
02/11/2021 11:10:00,1.49,0.738,0.06
02/11/2021 11:15:00,1.50,0.743,0.07
02/11/2021 11:20:00,1.57,0.777,0.07
02/11/2021 11:25:00,1.50,0.743,0.06
02/11/2021 11:30:00,1.59,0.787,0.06
02/11/2021 11:35:00,1.54,0.762,0.07
02/11/2021 11:40:00,1.51,0.748,0.06
02/11/2021 11:45:00,1.53,0.757,0.06
02/11/2021 11:50:00,1.54,0.762,0.06
02/11/2021 11:55:00,1.51,0.748,0.05
02/11/2021 12:00:00,1.57,0.777,0.07
02/11/2021 12:05:00,1.57,0.777,0.06
02/11/2021 12:10:00,1.59,0.787,0.05
02/11/2021 12:15:00,1.52,0.752,0.06
02/11/2021 12:20:00,1.56,0.772,0.06
02/11/2021 12:25:00,1.56,0.772,0.06
02/11/2021 12:30:00,1.56,0.772,0.06
02/11/2021 12:35:00,1.54,0.762,0.05
02/11/2021 12:40:00,1.57,0.777,0.06
02/11/2021 12:45:00,1.59,0.787,0.05
02/11/2021 12:50:00,1.57,0.777,0.06
02/11/2021 12:55:00,1.57,0.777,0.06
02/11/2021 13:00:00,1.55,0.767,0.06
02/11/2021 13:05:00,1.55,0.767,0.07
02/11/2021 13:10:00,1.57,0.777,0.06
02/11/2021 13:15:00,1.54,0.762,0.06
02/11/2021 13:20:00,1.54,0.762,0.06
02/11/2021 13:25:00,1.54,0.762,0.05
02/11/2021 13:30:00,1.55,0.767,0.05
02/11/2021 13:35:00,1.53,0.757,0.06
02/11/2021 13:40:00,1.56,0.772,0.06
02/11/2021 13:45:00,1.46,0.723,0.06
02/11/2021 13:50:00,1.55,0.767,0.07
02/11/2021 13:55:00,1.52,0.752,0.06
02/11/2021 14:00:00,1.54,0.762,0.05
02/11/2021 14:05:00,1.55,0.767,0.06
02/11/2021 14:10:00,1.55,0.767,0.06
02/11/2021 14:15:00,1.53,0.757,0.07
02/11/2021 14:20:00,1.53,0.757,0.05
02/11/2021 14:25:00,1.56,0.772,0.05
02/11/2021 14:30:00,1.54,0.762,0.07
02/11/2021 14:35:00,1.59,0.787,0.08
02/11/2021 14:40:00,1.51,0.748,0.06
02/11/2021 14:45:00,1.50,0.743,0.06
02/11/2021 14:50:00,1.52,0.752,0.08
02/11/2021 14:55:00,1.54,0.762,0.09
02/11/2021 15:00:00,1.56,0.772,0.08
02/11/2021 15:05:00,1.50,0.743,0.06
02/11/2021 15:10:00,1.48,0.733,0.06
02/11/2021 15:15:00,1.50,0.743,0.08
02/11/2021 15:20:00,1.52,0.752,0.08
02/11/2021 15:25:00,1.51,0.748,0.09
02/11/2021 15:30:00,1.54,0.762,0.06
02/11/2021 15:35:00,1.47,0.728,0.08
02/11/2021 15:40:00,1.50,0.743,0.07
02/11/2021 15:45:00,1.48,0.733,0.07
02/11/2021 15:50:00,1.48,0.733,0.08
02/11/2021 15:55:00,1.50,0.743,0.06
02/11/2021 16:00:00,1.53,0.757,0.08
02/11/2021 16:05:00,1.46,0.723,0.07
02/11/2021 16:10:00,1.46,0.723,0.08
02/11/2021 16:15:00,1.46,0.723,0.07
02/11/2021 16:20:00,1.51,0.748,0.08
02/11/2021 16:25:00,1.48,0.733,0.08
02/11/2021 16:30:00,1.46,0.723,0.10
02/11/2021 16:35:00,1.47,0.728,0.06
02/11/2021 16:40:00,1.50,0.743,0.07
02/11/2021 16:45:00,1.45,0.718,0.08
02/11/2021 16:50:00,1.48,0.733,0.08
02/11/2021 16:55:00,1.48,0.733,0.08
02/11/2021 17:00:00,1.46,0.723,0.08
02/11/2021 17:05:00,1.45,0.718,0.06
02/11/2021 17:10:00,1.51,0.748,0.07
02/11/2021 17:15:00,1.49,0.738,0.08
02/11/2021 17:20:00,1.49,0.738,0.09
02/11/2021 17:25:00,1.48,0.733,0.10
02/11/2021 17:30:00,1.45,0.718,0.07
02/11/2021 17:35:00,1.46,0.723,0.08
02/11/2021 17:40:00,1.46,0.723,0.07
02/11/2021 17:45:00,1.50,0.743,0.08
02/11/2021 17:50:00,1.47,0.728,0.07
02/11/2021 17:55:00,1.45,0.718,0.08
02/11/2021 18:00:00,1.45,0.718,0.08
02/11/2021 18:05:00,1.46,0.723,0.07
02/11/2021 18:10:00,1.43,0.708,0.08
02/11/2021 18:15:00,1.44,0.713,0.08
02/11/2021 18:20:00,1.46,0.723,0.07
02/11/2021 18:25:00,1.43,0.708,0.06
02/11/2021 18:30:00,1.43,0.708,0.08
02/11/2021 18:35:00,1.47,0.728,0.07
02/11/2021 18:40:00,1.47,0.728,0.08
02/11/2021 18:45:00,1.46,0.723,0.08
02/11/2021 18:50:00,1.48,0.733,0.07
02/11/2021 18:55:00,1.48,0.733,0.08
02/11/2021 19:00:00,1.47,0.728,0.08
02/11/2021 19:05:00,1.43,0.708,0.07
02/11/2021 19:10:00,1.45,0.718,0.07
02/11/2021 19:15:00,1.53,0.757,0.07
02/11/2021 19:20:00,1.43,0.708,0.08
02/11/2021 19:25:00,1.46,0.723,0.08
02/11/2021 19:30:00,1.42,0.703,0.07
02/11/2021 19:35:00,1.45,0.718,0.07
