Date Time,PT Level,PT Flow cfs,Level_950,Vel_950,Flow_950,Battery_950
MM/dd/yyyy hh:mm:ss,in,gpm,in,fps,cfs,V
11/24/2020 12:25:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 12:30:00,0.08,0.152,0.10,4.84,0.29,
11/24/2020 12:35:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 12:40:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 12:45:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 12:50:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 12:55:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 13:00:00,0.10,0.190,0.10,4.84,0.29,12.41
11/24/2020 13:05:00,0.08,0.152,0.10,4.84,0.29,
11/24/2020 13:10:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 13:15:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 13:20:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 13:25:00,0.08,0.152,0.10,4.84,0.29,
11/24/2020 13:30:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 13:35:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 13:40:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 13:45:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 13:50:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 13:55:00,0.07,0.133,0.10,4.84,0.29,
11/24/2020 14:00:00,0.10,0.190,0.10,4.84,0.29,12.43
11/24/2020 14:05:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 14:10:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 14:15:00,0.06,0.114,0.10,4.84,0.29,
11/24/2020 14:20:00,0.08,0.152,0.10,4.84,0.29,
11/24/2020 14:25:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 14:30:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 14:35:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 14:40:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 14:45:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 14:50:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 14:55:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 15:00:00,0.09,0.171,0.10,4.84,0.29,12.43
11/24/2020 15:05:00,0.11,0.255,0.10,4.84,0.29,
11/24/2020 15:10:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 15:15:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 15:20:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 15:25:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 15:30:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 15:35:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 15:40:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 15:45:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 15:50:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 15:55:00,0.08,0.152,0.10,4.84,0.29,
11/24/2020 16:00:00,0.09,0.171,0.10,4.84,0.29,12.43
11/24/2020 16:05:00,0.08,0.152,0.10,4.84,0.29,
11/24/2020 16:10:00,0.08,0.152,0.10,4.84,0.29,
11/24/2020 16:15:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 16:20:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 16:25:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 16:30:00,0.08,0.152,0.10,4.84,0.29,
11/24/2020 16:35:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 16:40:00,0.10,0.190,0.10,4.84,0.29,
11/24/2020 16:45:00,0.09,0.171,0.10,4.84,0.29,
11/24/2020 16:50:00,0.07,0.133,0.10,4.84,0.29,
11/24/2020 16:55:00,0.10,0.190,0.10,4.84,0.29,
