Date Time,SamplePacin,BottleNum,Incr_Flow,AliquotNum,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,gal,,gal,ali,in,fps,gpm,in,gpm
03/03/2021 01:25:00,40000,1,0.00,0,0.13,0.43,0.477,1.47,159.188
03/03/2021 01:26:00,40000,1,0.00,,,,,,
03/03/2021 01:27:00,40000,1,0.00,,,,,,
03/03/2021 01:28:00,40000,1,0.00,,,,,,
03/03/2021 01:29:00,40000,1,0.00,,,,,,
03/03/2021 01:30:00,40000,1,0.00,0,0.13,0.31,0.338,1.49,164.023
03/03/2021 01:31:00,40000,1,0.00,,,,,,
03/03/2021 01:32:00,40000,1,0.00,,,,,,
03/03/2021 01:33:00,40000,1,0.00,,,,,,
03/03/2021 01:34:00,40000,1,0.00,,,,,,
03/03/2021 01:35:00,40000,1,0.00,0,0.13,-99.00,-99.000,1.33,127.451
03/03/2021 01:36:00,40000,1,0.00,,,,,,
03/03/2021 01:37:00,40000,1,0.00,,,,,,
03/03/2021 01:38:00,40000,1,0.00,,,,,,
03/03/2021 01:39:00,40000,1,0.00,,,,,,
03/03/2021 01:40:00,40000,1,0.00,0,0.13,0.06,0.066,1.33,127.451
03/03/2021 01:41:00,40000,1,0.00,,,,,,
03/03/2021 01:42:00,40000,1,0.00,,,,,,
03/03/2021 01:43:00,40000,1,0.00,,,,,,
03/03/2021 01:44:00,40000,1,0.00,,,,,,
03/03/2021 01:45:00,40000,1,0.00,0,0.13,0.26,0.285,1.31,122.976
03/03/2021 01:46:00,40000,1,0.00,,,,,,
03/03/2021 01:47:00,40000,1,0.00,,,,,,
03/03/2021 01:48:00,40000,1,0.00,,,,,,
03/03/2021 01:49:00,40000,1,0.00,,,,,,
03/03/2021 01:50:00,40000,1,0.00,0,0.13,0.29,0.320,1.34,129.535
03/03/2021 01:51:00,40000,1,0.00,,,,,,
03/03/2021 01:52:00,40000,1,0.00,,,,,,
03/03/2021 01:53:00,40000,1,0.00,,,,,,
03/03/2021 01:54:00,40000,1,0.00,,,,,,
03/03/2021 01:55:00,40000,1,0.00,0,0.52,0.37,3.414,1.65,206.235
03/03/2021 01:56:00,40000,1,0.00,,,,,,
03/03/2021 01:57:00,40000,1,0.00,,,,,,
03/03/2021 01:58:00,40000,1,0.00,,,,,,
03/03/2021 01:59:00,40000,1,0.00,,,,,,
03/03/2021 02:00:00,40000,1,0.00,0,0.39,0.50,3.019,1.51,168.858
03/03/2021 02:01:00,40000,1,0.00,,,,,,
03/03/2021 02:02:00,40000,1,0.00,,,,,,
03/03/2021 02:03:00,40000,1,0.00,,,,,,
03/03/2021 02:04:00,40000,1,0.00,,,,,,
03/03/2021 02:05:00,40000,1,0.00,0,0.26,0.37,1.213,1.49,164.023
03/03/2021 02:06:00,40000,1,0.00,,,,,,
03/03/2021 02:07:00,40000,1,0.00,,,,,,
03/03/2021 02:08:00,40000,1,0.00,,,,,,
03/03/2021 02:09:00,40000,1,0.00,,,,,,
03/03/2021 02:10:00,40000,1,0.00,0,0.13,0.27,0.297,1.36,133.701
03/03/2021 02:11:00,40000,1,0.00,,,,,,
03/03/2021 02:12:00,40000,1,0.00,,,,,,
03/03/2021 02:13:00,40000,1,0.00,,,,,,
03/03/2021 02:14:00,40000,1,0.00,,,,,,
03/03/2021 02:15:00,40000,1,0.00,0,0.26,0.43,1.400,1.37,135.785
03/03/2021 02:16:00,40000,1,0.00,,,,,,
03/03/2021 02:17:00,40000,1,0.00,,,,,,
03/03/2021 02:18:00,40000,1,0.00,,,,,,
03/03/2021 02:19:00,40000,1,0.00,,,,,,
03/03/2021 02:20:00,40000,1,0.00,0,0.13,0.26,0.292,1.46,156.771
03/03/2021 02:21:00,40000,1,0.00,,,,,,
03/03/2021 02:22:00,40000,1,0.00,,,,,,
03/03/2021 02:23:00,40000,1,0.00,,,,,,
03/03/2021 02:24:00,40000,1,0.00,,,,,,
03/03/2021 02:25:00,40000,1,0.00,0,0.13,0.11,0.118,1.47,159.188
03/03/2021 02:26:00,40000,1,0.00,,,,,,
03/03/2021 02:27:00,40000,1,0.00,,,,,,
03/03/2021 02:28:00,40000,1,0.00,,,,,,
03/03/2021 02:29:00,40000,1,0.00,,,,,,
03/03/2021 02:30:00,40000,1,0.00,0,0.13,0.33,0.362,1.36,133.701
03/03/2021 02:31:00,40000,1,0.00,,,,,,
03/03/2021 02:32:00,40000,1,0.00,,,,,,
03/03/2021 02:33:00,40000,1,0.00,,,,,,
03/03/2021 02:34:00,40000,1,0.00,,,,,,
03/03/2021 02:35:00,40000,1,0.00,0,0.39,0.35,2.102,1.45,154.353
03/03/2021 02:36:00,40000,1,0.00,,,,,,
03/03/2021 02:37:00,40000,1,0.00,,,,,,
03/03/2021 02:38:00,40000,1,0.00,,,,,,
03/03/2021 02:39:00,40000,1,0.00,,,,,,
03/03/2021 02:40:00,40000,1,0.00,0,0.56,0.69,7.184,1.47,159.188
03/03/2021 02:41:00,40000,1,0.00,,,,,,
03/03/2021 02:42:00,40000,1,0.00,,,,,,
03/03/2021 02:43:00,40000,1,0.00,,,,,,
03/03/2021 02:44:00,40000,1,0.00,,,,,,
03/03/2021 02:45:00,40000,1,0.00,0,0.26,0.37,1.219,1.47,159.188
03/03/2021 02:46:00,40000,1,0.00,,,,,,
03/03/2021 02:47:00,40000,1,0.00,,,,,,
03/03/2021 02:48:00,40000,1,0.00,,,,,,
03/03/2021 02:49:00,40000,1,0.00,,,,,,
03/03/2021 02:50:00,40000,1,0.00,0,0.13,0.29,0.323,1.47,159.188
03/03/2021 02:51:00,40000,1,0.00,,,,,,
03/03/2021 02:52:00,40000,1,0.00,,,,,,
03/03/2021 02:53:00,40000,1,0.00,,,,,,
03/03/2021 02:54:00,40000,1,0.00,,,,,,
03/03/2021 02:55:00,40000,1,0.00,0,0.13,0.40,0.440,1.40,142.578
03/03/2021 02:56:00,40000,1,0.00,,,,,,
03/03/2021 02:57:00,40000,1,0.00,,,,,,
03/03/2021 02:58:00,40000,1,0.00,,,,,,
03/03/2021 02:59:00,40000,1,0.00,,,,,,
03/03/2021 03:00:00,40000,1,0.00,0,0.13,0.34,0.374,1.33,127.451
03/03/2021 03:01:00,40000,1,0.00,,,,,,
03/03/2021 03:02:00,40000,1,0.00,,,,,,
03/03/2021 03:03:00,40000,1,0.00,,,,,,
03/03/2021 03:04:00,40000,1,0.00,,,,,,
03/03/2021 03:05:00,40000,1,0.00,0,0.13,0.34,0.379,1.29,118.192
03/03/2021 03:06:00,40000,1,0.00,,,,,,
03/03/2021 03:07:00,40000,1,0.00,,,,,,
03/03/2021 03:08:00,40000,1,0.00,,,,,,
03/03/2021 03:09:00,40000,1,0.00,,,,,,
03/03/2021 03:10:00,40000,1,0.00,0,0.13,0.29,0.325,1.45,154.353
03/03/2021 03:11:00,40000,1,0.00,,,,,,
03/03/2021 03:12:00,40000,1,0.00,,,,,,
03/03/2021 03:13:00,40000,1,0.00,,,,,,
03/03/2021 03:14:00,40000,1,0.00,,,,,,
03/03/2021 03:15:00,40000,1,0.00,0,0.13,0.19,0.210,1.45,154.353
03/03/2021 03:16:00,40000,1,0.00,,,,,,
03/03/2021 03:17:00,40000,1,0.00,,,,,,
03/03/2021 03:18:00,40000,1,0.00,,,,,,
03/03/2021 03:19:00,40000,1,0.00,,,,,,
03/03/2021 03:20:00,40000,1,0.00,0,0.34,0.36,1.791,1.37,135.785
03/03/2021 03:21:00,40000,1,0.00,,,,,,
03/03/2021 03:22:00,40000,1,0.00,,,,,,
03/03/2021 03:23:00,40000,1,0.00,,,,,,
03/03/2021 03:24:00,40000,1,0.00,,,,,,
03/03/2021 03:25:00,40000,1,0.00,0,0.13,0.30,0.332,1.55,179.380
03/03/2021 03:26:00,40000,1,0.00,,,,,,
03/03/2021 03:27:00,40000,1,0.00,,,,,,
03/03/2021 03:28:00,40000,1,0.00,,,,,,
03/03/2021 03:29:00,40000,1,0.00,,,,,,
03/03/2021 03:30:00,40000,1,0.00,0,0.13,0.30,0.329,1.50,166.441
03/03/2021 03:31:00,40000,1,0.00,,,,,,
03/03/2021 03:32:00,40000,1,0.00,,,,,,
03/03/2021 03:33:00,40000,1,0.00,,,,,,
03/03/2021 03:34:00,40000,1,0.00,,,,,,
03/03/2021 03:35:00,40000,1,0.00,0,0.13,-99.00,-99.000,1.41,144.933
03/03/2021 03:36:00,40000,1,0.00,,,,,,
03/03/2021 03:37:00,40000,1,0.00,,,,,,
03/03/2021 03:38:00,40000,1,0.00,,,,,,
03/03/2021 03:39:00,40000,1,0.00,,,,,,
03/03/2021 03:40:00,40000,1,0.00,0,0.13,0.24,0.265,1.39,140.223
03/03/2021 03:41:00,40000,1,0.00,,,,,,
03/03/2021 03:42:00,40000,1,0.00,,,,,,
03/03/2021 03:43:00,40000,1,0.00,,,,,,
03/03/2021 03:44:00,40000,1,0.00,,,,,,
03/03/2021 03:45:00,40000,1,0.00,0,0.47,1.50,12.083,1.58,187.483
03/03/2021 03:46:00,40000,1,0.00,,,,,,
03/03/2021 03:47:00,40000,1,0.00,,,,,,
03/03/2021 03:48:00,40000,1,0.00,,,,,,
03/03/2021 03:49:00,40000,1,0.00,,,,,,
03/03/2021 03:50:00,40000,1,0.00,0,0.47,1.55,12.503,1.58,187.483
03/03/2021 03:51:00,40000,1,0.00,,,,,,
03/03/2021 03:52:00,40000,1,0.00,,,,,,
03/03/2021 03:53:00,40000,1,0.00,,,,,,
03/03/2021 03:54:00,40000,1,0.00,,,,,,
03/03/2021 03:55:00,40000,1,0.00,0,0.56,1.14,11.784,1.57,184.782
03/03/2021 03:56:00,40000,1,0.00,,,,,,
03/03/2021 03:57:00,40000,1,0.00,,,,,,
03/03/2021 03:58:00,40000,1,0.00,,,,,,
03/03/2021 03:59:00,40000,1,0.00,,,,,,
03/03/2021 04:00:00,40000,1,0.00,0,0.56,1.13,11.640,1.51,168.858
03/03/2021 04:01:00,40000,1,0.00,,,,,,
03/03/2021 04:02:00,40000,1,0.00,,,,,,
03/03/2021 04:03:00,40000,1,0.00,,,,,,
03/03/2021 04:04:00,40000,1,0.00,,,,,,
03/03/2021 04:05:00,40000,1,0.00,0,0.60,0.41,4.766,1.42,147.288
03/03/2021 04:06:00,40000,1,0.00,,,,,,
03/03/2021 04:07:00,40000,1,0.00,,,,,,
03/03/2021 04:08:00,40000,1,0.00,,,,,,
03/03/2021 04:09:00,40000,1,0.00,,,,,,
03/03/2021 04:10:00,40000,1,0.00,0,0.47,0.49,3.969,1.53,173.977
03/03/2021 04:11:00,40000,1,0.00,,,,,,
03/03/2021 04:12:00,40000,1,0.00,,,,,,
03/03/2021 04:13:00,40000,1,0.00,,,,,,
03/03/2021 04:14:00,40000,1,0.00,,,,,,
03/03/2021 04:15:00,40000,1,0.00,0,0.64,1.58,20.215,1.82,255.871
03/03/2021 04:16:00,40000,1,0.00,,,,,,
03/03/2021 04:17:00,40000,1,0.00,,,,,,
03/03/2021 04:18:00,40000,1,0.00,,,,,,
03/03/2021 04:19:00,40000,1,0.00,,,,,,
03/03/2021 04:20:00,40000,1,0.00,0,0.69,1.77,24.966,1.72,225.482
03/03/2021 04:21:00,40000,1,0.00,,,,,,
03/03/2021 04:22:00,40000,1,0.00,,,,,,
03/03/2021 04:23:00,40000,1,0.00,,,,,,
03/03/2021 04:24:00,40000,1,0.00,,,,,,
03/03/2021 04:25:00,40000,1,0.00,0,0.77,1.70,28.502,1.97,306.541
03/03/2021 04:26:00,40000,1,0.00,,,,,,
03/03/2021 04:27:00,40000,1,0.00,,,,,,
03/03/2021 04:28:00,40000,1,0.00,,,,,,
03/03/2021 04:29:00,40000,1,0.00,,,,,,
03/03/2021 04:30:00,40000,1,0.00,0,0.60,1.74,20.115,1.61,195.520
03/03/2021 04:31:00,40000,1,0.00,,,,,,
03/03/2021 04:32:00,40000,1,0.00,,,,,,
03/03/2021 04:33:00,40000,1,0.00,,,,,,
03/03/2021 04:34:00,40000,1,0.00,,,,,,
03/03/2021 04:35:00,40000,1,0.00,0,0.64,1.59,20.292,1.76,237.415
03/03/2021 04:36:00,40000,1,0.00,,,,,,
03/03/2021 04:37:00,40000,1,0.00,,,,,,
03/03/2021 04:38:00,40000,1,0.00,,,,,,
03/03/2021 04:39:00,40000,1,0.00,,,,,,
03/03/2021 04:40:00,40000,1,0.00,0,0.43,1.64,11.512,1.58,187.483
03/03/2021 04:41:00,40000,1,0.00,,,,,,
03/03/2021 04:42:00,40000,1,0.00,,,,,,
03/03/2021 04:43:00,40000,1,0.00,,,,,,
03/03/2021 04:44:00,40000,1,0.00,,,,,,
03/03/2021 04:45:00,40000,1,0.00,0,0.39,2.08,12.452,1.65,206.235
03/03/2021 04:46:00,40000,1,0.00,,,,,,
03/03/2021 04:47:00,40000,1,0.00,,,,,,
03/03/2021 04:48:00,40000,1,0.00,,,,,,
03/03/2021 04:49:00,40000,1,0.00,,,,,,
03/03/2021 04:50:00,40000,1,0.00,0,0.56,1.69,17.460,1.68,214.437
03/03/2021 04:51:00,40000,1,0.00,,,,,,
03/03/2021 04:52:00,40000,1,0.00,,,,,,
03/03/2021 04:53:00,40000,1,0.00,,,,,,
03/03/2021 04:54:00,40000,1,0.00,,,,,,
03/03/2021 04:55:00,40000,1,0.00,0,0.81,1.58,28.780,1.66,208.914
03/03/2021 04:56:00,40000,1,0.00,,,,,,
03/03/2021 04:57:00,40000,1,0.00,,,,,,
03/03/2021 04:58:00,40000,1,0.00,,,,,,
03/03/2021 04:59:00,40000,1,0.00,,,,,,
03/03/2021 05:00:00,40000,1,0.00,0,0.39,1.58,9.487,1.47,159.188
03/03/2021 05:01:00,40000,1,0.00,,,,,,
03/03/2021 05:02:00,40000,1,0.00,,,,,,
03/03/2021 05:03:00,40000,1,0.00,,,,,,
03/03/2021 05:04:00,40000,1,0.00,,,,,,
03/03/2021 05:05:00,40000,1,0.00,0,0.56,0.87,8.952,1.64,203.556
03/03/2021 05:06:00,40000,1,0.00,,,,,,
03/03/2021 05:07:00,40000,1,0.00,,,,,,
03/03/2021 05:08:00,40000,1,0.00,,,,,,
03/03/2021 05:09:00,40000,1,0.00,,,,,,
03/03/2021 05:10:00,40000,1,0.00,0,0.60,0.60,6.878,1.58,187.483
03/03/2021 05:11:00,40000,1,0.00,,,,,,
03/03/2021 05:12:00,40000,1,0.00,,,,,,
03/03/2021 05:13:00,40000,1,0.00,,,,,,
03/03/2021 05:14:00,40000,1,0.00,,,,,,
03/03/2021 05:15:00,40000,1,0.00,0,0.39,1.73,10.331,1.53,173.977
03/03/2021 05:16:00,40000,1,0.00,,,,,,
03/03/2021 05:17:00,40000,1,0.00,,,,,,
03/03/2021 05:18:00,40000,1,0.00,,,,,,
03/03/2021 05:19:00,40000,1,0.00,,,,,,
03/03/2021 05:20:00,40000,1,0.00,0,0.56,1.22,12.560,1.60,192.841
03/03/2021 05:21:00,40000,1,0.00,,,,,,
03/03/2021 05:22:00,40000,1,0.00,,,,,,
03/03/2021 05:23:00,40000,1,0.00,,,,,,
03/03/2021 05:24:00,40000,1,0.00,,,,,,
03/03/2021 05:25:00,40000,1,0.00,0,0.39,0.02,0.108,1.48,161.606
03/03/2021 05:26:00,40000,1,0.00,,,,,,
03/03/2021 05:27:00,40000,1,0.00,,,,,,
03/03/2021 05:28:00,40000,1,0.00,,,,,,
03/03/2021 05:29:00,40000,1,0.00,,,,,,
03/03/2021 05:30:00,40000,1,0.00,0,0.30,0.36,1.470,1.41,144.933
03/03/2021 05:31:00,40000,1,0.00,,,,,,
03/03/2021 05:32:00,40000,1,0.00,,,,,,
03/03/2021 05:33:00,40000,1,0.00,,,,,,
03/03/2021 05:34:00,40000,1,0.00,,,,,,
03/03/2021 05:35:00,40000,1,0.00,0,0.34,0.44,2.203,1.48,161.606
03/03/2021 05:36:00,40000,1,0.00,,,,,,
03/03/2021 05:37:00,40000,1,0.00,,,,,,
03/03/2021 05:38:00,40000,1,0.00,,,,,,
03/03/2021 05:39:00,40000,1,0.00,,,,,,
03/03/2021 05:40:00,40000,1,0.00,0,0.34,0.24,1.197,1.37,135.785
03/03/2021 05:41:00,40000,1,0.00,,,,,,
03/03/2021 05:42:00,40000,1,0.00,,,,,,
03/03/2021 05:43:00,40000,1,0.00,,,,,,
03/03/2021 05:44:00,40000,1,0.00,,,,,,
03/03/2021 05:45:00,40000,1,0.00,0,0.47,0.03,0.218,1.48,161.606
03/03/2021 05:46:00,40000,1,0.00,,,,,,
03/03/2021 05:47:00,40000,1,0.00,,,,,,
03/03/2021 05:48:00,40000,1,0.00,,,,,,
03/03/2021 05:49:00,40000,1,0.00,,,,,,
03/03/2021 05:50:00,40000,1,0.00,0,0.47,0.39,3.154,1.41,144.933
03/03/2021 05:51:00,40000,1,0.00,,,,,,
03/03/2021 05:52:00,40000,1,0.00,,,,,,
03/03/2021 05:53:00,40000,1,0.00,,,,,,
03/03/2021 05:54:00,40000,1,0.00,,,,,,
