Date Time,SamplePacin,BottleNum,Incr_Flow,AliquotNum,Level_950,Vel_950,Flow_950,Battery_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,gal,,gal,ali,in,fps,gpm,V,in,gpm
01/22/2021 01:36:00,15,1,0.00,,,,,,,
01/22/2021 01:37:00,15,1,0.00,,,,,,,
01/22/2021 01:38:00,15,1,0.00,,,,,,,
01/22/2021 01:39:00,15,1,0.00,,,,,,,
01/22/2021 01:40:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.00,0.000
01/22/2021 01:41:00,15,1,0.00,,,,,,,
01/22/2021 01:42:00,15,1,0.00,,,,,,,
01/22/2021 01:43:00,15,1,0.00,,,,,,,
01/22/2021 01:44:00,15,1,0.00,,,,,,,
01/22/2021 01:45:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.01,0.282
01/22/2021 01:46:00,15,1,0.00,,,,,,,
01/22/2021 01:47:00,15,1,0.00,,,,,,,
01/22/2021 01:48:00,15,1,0.00,,,,,,,
01/22/2021 01:49:00,15,1,0.00,,,,,,,
01/22/2021 01:50:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.01,0.282
01/22/2021 01:51:00,15,1,0.00,,,,,,,
01/22/2021 01:52:00,15,1,0.00,,,,,,,
01/22/2021 01:53:00,15,1,0.00,,,,,,,
01/22/2021 01:54:00,15,1,0.00,,,,,,,
01/22/2021 01:55:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.01,0.282
01/22/2021 01:56:00,15,1,0.00,,,,,,,
01/22/2021 01:57:00,15,1,0.00,,,,,,,
01/22/2021 01:58:00,15,1,0.00,,,,,,,
01/22/2021 01:59:00,15,1,0.00,,,,,,,
01/22/2021 02:00:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.01,0.282
01/22/2021 02:01:00,15,1,0.00,,,,,,,
01/22/2021 02:02:00,15,1,0.00,,,,,,,
01/22/2021 02:03:00,15,1,0.00,,,,,,,
01/22/2021 02:04:00,15,1,0.00,,,,,,,
01/22/2021 02:05:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.00,0.000
01/22/2021 02:06:00,15,1,0.00,,,,,,,
01/22/2021 02:07:00,15,1,0.00,,,,,,,
01/22/2021 02:08:00,15,1,0.00,,,,,,,
01/22/2021 02:09:00,15,1,0.00,,,,,,,
01/22/2021 02:10:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.00,0.000
01/22/2021 02:11:00,15,1,0.00,,,,,,,
01/22/2021 02:12:00,15,1,0.00,,,,,,,
01/22/2021 02:13:00,15,1,0.00,,,,,,,
01/22/2021 02:14:00,15,1,0.00,,,,,,,
01/22/2021 02:15:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.02,0.564
01/22/2021 02:16:00,15,1,0.00,,,,,,,
01/22/2021 02:17:00,15,1,0.00,,,,,,,
01/22/2021 02:18:00,15,1,0.00,,,,,,,
01/22/2021 02:19:00,15,1,0.00,,,,,,,
01/22/2021 02:20:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.01,0.282
01/22/2021 02:21:00,15,1,0.00,,,,,,,
01/22/2021 02:22:00,15,1,0.00,,,,,,,
01/22/2021 02:23:00,15,1,0.00,,,,,,,
01/22/2021 02:24:00,15,1,0.00,,,,,,,
01/22/2021 02:25:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.01,0.282
01/22/2021 02:26:00,15,1,0.00,,,,,,,
01/22/2021 02:27:00,15,1,0.00,,,,,,,
01/22/2021 02:28:00,15,1,0.00,,,,,,,
01/22/2021 02:29:00,15,1,0.00,,,,,,,
01/22/2021 02:30:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.00,0.000
01/22/2021 02:31:00,15,1,0.00,,,,,,,
01/22/2021 02:32:00,15,1,0.00,,,,,,,
01/22/2021 02:33:00,15,1,0.00,,,,,,,
01/22/2021 02:34:00,15,1,0.00,,,,,,,
01/22/2021 02:35:00,15,1,0.00,0,0.10,0.40,0.288,12.54,-0.01,0.000
01/22/2021 02:36:00,15,1,0.00,,,,,,,
01/22/2021 02:37:00,15,1,0.00,,,,,,,
01/22/2021 02:38:00,15,1,0.00,,,,,,,
01/22/2021 02:39:00,15,1,0.00,,,,,,,
01/22/2021 02:40:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.35,9.865
01/22/2021 02:41:00,15,1,0.00,,,,,,,
01/22/2021 02:42:00,15,1,0.00,,,,,,,
01/22/2021 02:43:00,15,1,0.00,,,,,,,
01/22/2021 02:44:00,15,1,0.00,,,,,,,
01/22/2021 02:45:00,15,1,0.00,0,0.66,0.40,4.856,12.53,0.37,10.429
01/22/2021 02:46:00,15,1,0.00,,,,,,,
01/22/2021 02:47:00,15,1,0.00,,,,,,,
01/22/2021 02:48:00,15,1,0.00,,,,,,,
01/22/2021 02:49:00,15,1,0.00,,,,,,,
01/22/2021 02:50:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.04,1.127
01/22/2021 02:51:00,15,1,0.00,,,,,,,
01/22/2021 02:52:00,15,1,0.00,,,,,,,
01/22/2021 02:53:00,15,1,0.00,,,,,,,
01/22/2021 02:54:00,15,1,0.00,,,,,,,
01/22/2021 02:55:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.01,0.282
01/22/2021 02:56:00,15,1,0.00,,,,,,,
01/22/2021 02:57:00,15,1,0.00,,,,,,,
01/22/2021 02:58:00,15,1,0.00,,,,,,,
01/22/2021 02:59:00,15,1,0.00,,,,,,,
01/22/2021 03:00:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.00,0.000
01/22/2021 03:01:00,15,1,0.00,,,,,,,
01/22/2021 03:02:00,15,1,0.00,,,,,,,
01/22/2021 03:03:00,15,1,0.00,,,,,,,
01/22/2021 03:04:00,15,1,0.00,,,,,,,
01/22/2021 03:05:00,15,1,0.00,0,0.10,0.40,0.288,12.54,-0.01,0.000
01/22/2021 03:06:00,15,1,0.00,,,,,,,
01/22/2021 03:07:00,15,1,0.00,,,,,,,
01/22/2021 03:08:00,15,1,0.00,,,,,,,
01/22/2021 03:09:00,15,1,0.00,,,,,,,
01/22/2021 03:10:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.00,0.000
01/22/2021 03:11:00,15,1,0.00,,,,,,,
01/22/2021 03:12:00,15,1,0.00,,,,,,,
01/22/2021 03:13:00,15,1,0.00,,,,,,,
01/22/2021 03:14:00,15,1,0.00,,,,,,,
01/22/2021 03:15:00,15,1,0.00,0,0.10,0.40,0.288,12.54,-0.01,0.000
01/22/2021 03:16:00,15,1,0.00,,,,,,,
01/22/2021 03:17:00,15,1,0.00,,,,,,,
01/22/2021 03:18:00,15,1,0.00,,,,,,,
01/22/2021 03:19:00,15,1,0.00,,,,,,,
01/22/2021 03:20:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.00,0.000
01/22/2021 03:21:00,15,1,0.00,,,,,,,
01/22/2021 03:22:00,15,1,0.00,,,,,,,
01/22/2021 03:23:00,15,1,0.00,,,,,,,
01/22/2021 03:24:00,15,1,0.00,,,,,,,
01/22/2021 03:25:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.00,0.000
01/22/2021 03:26:00,15,1,0.00,,,,,,,
01/22/2021 03:27:00,15,1,0.00,,,,,,,
01/22/2021 03:28:00,15,1,0.00,,,,,,,
01/22/2021 03:29:00,15,1,0.00,,,,,,,
01/22/2021 03:30:00,15,1,0.00,0,0.10,0.40,0.288,12.54,-0.01,0.000
01/22/2021 03:31:00,15,1,0.00,,,,,,,
01/22/2021 03:32:00,15,1,0.00,,,,,,,
01/22/2021 03:33:00,15,1,0.00,,,,,,,
01/22/2021 03:34:00,15,1,0.00,,,,,,,
01/22/2021 03:35:00,15,1,0.00,0,0.10,0.40,0.288,12.54,-0.01,0.000
01/22/2021 03:36:00,15,1,0.00,,,,,,,
01/22/2021 03:37:00,15,1,0.00,,,,,,,
01/22/2021 03:38:00,15,1,0.00,,,,,,,
