Station Name,model and version,XL2 S/N
Oceans11_DW0011,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911375
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,5.270000,Off
PT Flow cfs,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
Battery_950,Modbus,1.000000,0.000000,Off
10/26/2020,21:35:00,PT_Level,-4.92,in,G
10/26/2020,21:40:00,PT_Level,-4.93,in,G
10/26/2020,21:45:00,PT_Level,-4.93,in,G
10/26/2020,21:50:00,PT_Level,-4.93,in,G
10/26/2020,21:55:00,PT_Level,-4.93,in,G
10/26/2020,22:00:00,PT_Level,-4.92,in,G
10/26/2020,22:05:00,PT_Level,-4.93,in,G
10/26/2020,22:10:00,PT_Level,-4.92,in,G
10/26/2020,22:15:00,PT_Level,-4.93,in,G
10/26/2020,22:20:00,PT_Level,-4.93,in,G
10/26/2020,22:25:00,PT_Level,-4.92,in,G
10/26/2020,22:30:00,PT_Level,-4.92,in,G
10/26/2020,22:35:00,PT_Level,-4.92,in,G
10/26/2020,22:40:00,PT_Level,-4.92,in,G
10/26/2020,22:45:00,PT_Level,-4.93,in,G
10/26/2020,22:50:00,PT_Level,-4.92,in,G
10/26/2020,22:55:00,PT_Level,-4.93,in,G
10/26/2020,23:00:00,PT_Level,-4.93,in,G
10/26/2020,23:05:00,PT_Level,-4.92,in,G
10/26/2020,23:10:00,PT_Level,-4.93,in,G
10/26/2020,23:15:00,PT_Level,-4.93,in,G
10/26/2020,23:20:00,PT_Level,-4.93,in,G
10/26/2020,23:25:00,PT_Level,-4.93,in,G
10/26/2020,23:30:00,PT_Level,-4.92,in,G
10/26/2020,23:35:00,PT_Level,-4.91,in,G
10/26/2020,23:40:00,PT_Level,-4.94,in,G
10/26/2020,23:45:00,PT_Level,-4.93,in,G
10/26/2020,23:50:00,PT_Level,-4.93,in,G
10/26/2020,23:55:00,PT_Level,-4.92,in,G
10/27/2020,00:00:00,PT_Level,-4.92,in,G
10/27/2020,00:05:00,PT_Level,-4.93,in,G
10/27/2020,00:10:00,PT_Level,-4.92,in,G
10/27/2020,00:15:00,PT_Level,-4.92,in,G
10/27/2020,00:20:00,PT_Level,-4.93,in,G
10/27/2020,00:25:00,PT_Level,-4.92,in,G
10/27/2020,00:30:00,PT_Level,-4.92,in,G
10/27/2020,00:35:00,PT_Level,-4.92,in,G
10/27/2020,00:40:00,PT_Level,-4.92,in,G
10/27/2020,00:45:00,PT_Level,-4.92,in,G
10/27/2020,00:50:00,PT_Level,-4.92,in,G
10/27/2020,00:55:00,PT_Level,-4.92,in,G
10/27/2020,01:00:00,PT_Level,-4.92,in,G
10/27/2020,01:05:00,PT_Level,-4.93,in,G
10/27/2020,01:10:00,PT_Level,-4.92,in,G
10/27/2020,01:15:00,PT_Level,-4.92,in,G
10/27/2020,01:20:00,PT_Level,-4.92,in,G
10/27/2020,01:25:00,PT_Level,-4.91,in,G
10/27/2020,01:30:00,PT_Level,-4.91,in,G
10/27/2020,01:35:00,PT_Level,-4.92,in,G
10/27/2020,01:40:00,PT_Level,-4.92,in,G
10/27/2020,01:45:00,PT_Level,-4.92,in,G
10/27/2020,01:50:00,PT_Level,-4.91,in,G
10/27/2020,01:55:00,PT_Level,-4.92,in,G
10/27/2020,02:00:00,PT_Level,-4.92,in,G
