Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow_PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
01/29/2021 00:00:00,0.00,0.00,0.000,0.34,21.293
01/29/2021 00:05:00,0.00,0.92,0.000,0.95,115.987
01/29/2021 00:10:00,0.65,1.14,25.794,0.95,115.987
01/29/2021 00:15:00,0.52,1.68,70.746,1.70,315.647
01/29/2021 00:16:00,0.99,2.32,142.374,1.91,387.144
01/29/2021 00:17:00,1.63,2.32,183.097,2.32,546.203
01/29/2021 00:18:00,2.05,2.44,375.619,2.42,588.138
01/29/2021 00:19:00,2.41,3.71,375.619,2.88,807.391
01/29/2021 00:20:00,2.55,3.85,450.287,2.77,751.703
01/29/2021 00:21:00,2.55,4.23,567.629,2.88,807.391
01/29/2021 00:22:00,2.87,4.72,567.629,2.73,731.453
01/29/2021 00:23:00,3.30,4.72,884.089,2.84,787.141
01/29/2021 00:24:00,3.30,5.06,1024.228,3.07,907.054
01/29/2021 00:25:00,3.58,5.06,1161.921,3.04,890.377
01/29/2021 00:26:00,4.02,5.49,1161.921,3.30,1034.907
01/29/2021 00:27:00,4.24,5.49,1448.875,3.40,1095.560
01/29/2021 00:28:00,4.25,5.69,1377.961,3.58,1204.735
01/29/2021 00:29:00,3.99,5.40,1347.197,3.71,1289.274
01/29/2021 00:30:00,3.99,5.80,1575.536,3.80,1348.517
01/29/2021 00:31:00,4.42,6.21,1575.536,3.74,1309.021
01/29/2021 00:32:00,4.65,6.08,1675.820,3.97,1464.119
01/29/2021 00:33:00,4.46,6.09,1758.715,4.14,1585.004
01/29/2021 00:34:00,4.60,6.09,1687.063,4.49,1849.538
01/29/2021 00:35:00,4.61,6.32,1687.063,4.50,1857.189
01/29/2021 00:36:00,4.61,6.05,1822.938,4.51,1865.391
01/29/2021 00:37:00,4.58,6.05,1826.721,4.41,1788.333
01/29/2021 00:38:00,4.58,6.20,1826.721,4.59,1931.006
01/29/2021 00:39:00,4.56,6.38,1921.677,4.64,1972.015
01/29/2021 00:40:00,4.56,6.05,1930.243,4.64,1972.015
