Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
02/10/2021 09:15:00,0.43,0.01,0.058,0.43,0.053
02/10/2021 09:20:00,0.43,0.01,0.049,0.43,0.053
02/10/2021 09:25:00,0.39,0.01,0.049,0.44,0.096
02/10/2021 09:30:00,0.52,0.01,0.075,0.44,0.096
02/10/2021 09:35:00,0.52,0.01,0.075,0.44,0.096
02/10/2021 09:40:00,0.39,0.01,0.049,0.45,0.139
02/10/2021 09:45:00,0.39,0.01,0.049,0.44,0.096
02/10/2021 09:50:00,0.43,0.01,0.058,0.44,0.096
02/10/2021 09:55:00,0.43,0.01,0.058,0.44,0.096
02/10/2021 10:00:00,0.43,0.01,0.058,0.44,0.096
02/10/2021 10:05:00,0.39,0.01,0.049,0.45,0.139
02/10/2021 10:10:00,0.43,0.01,0.058,0.43,0.053
02/10/2021 10:15:00,0.43,0.01,0.058,0.45,0.139
02/10/2021 10:20:00,0.39,0.01,0.049,0.47,0.225
02/10/2021 10:25:00,0.39,0.01,0.049,0.47,0.225
02/10/2021 10:30:00,0.39,0.01,0.049,0.47,0.225
02/10/2021 10:35:00,0.43,0.01,0.058,0.47,0.225
02/10/2021 10:40:00,0.43,0.01,0.058,0.43,0.053
02/10/2021 10:45:00,0.39,0.01,0.049,0.44,0.096
02/10/2021 10:50:00,0.43,0.01,0.058,0.42,0.010
02/10/2021 10:55:00,0.43,0.01,0.058,0.44,0.096
02/10/2021 11:00:00,0.39,0.01,0.049,0.43,0.053
02/10/2021 11:05:00,0.39,0.01,0.049,0.45,0.139
02/10/2021 11:10:00,0.39,0.01,0.049,0.45,0.139
02/10/2021 11:15:00,0.43,0.01,0.058,0.47,0.225
02/10/2021 11:20:00,0.43,0.01,0.058,0.46,0.182
02/10/2021 11:25:00,0.43,0.01,0.058,0.46,0.182
02/10/2021 11:30:00,0.43,0.01,0.058,0.45,0.139
02/10/2021 11:35:00,0.52,0.01,0.075,0.44,0.096
02/10/2021 11:40:00,0.43,0.01,0.058,0.45,0.139
02/10/2021 11:45:00,0.39,0.01,0.049,0.45,0.139
02/10/2021 11:50:00,0.39,0.01,0.049,0.44,0.096
02/10/2021 11:55:00,0.43,0.01,0.058,0.44,0.096
02/10/2021 12:00:00,0.39,0.01,0.049,0.44,0.096
02/10/2021 12:05:00,0.39,0.01,0.049,0.45,0.139
02/10/2021 12:10:00,0.43,0.01,0.058,0.45,0.139
02/10/2021 12:15:00,0.43,0.01,0.058,0.46,0.182
02/10/2021 12:20:00,0.39,0.01,0.049,0.46,0.182
02/10/2021 12:25:00,0.43,0.01,0.058,0.47,0.225
02/10/2021 12:30:00,0.43,0.01,0.058,0.48,0.268
02/10/2021 12:35:00,0.39,0.01,0.049,0.48,0.268
02/10/2021 12:40:00,0.48,0.01,0.066,0.46,0.182
02/10/2021 12:45:00,0.39,0.01,0.049,0.47,0.225
02/10/2021 12:50:00,0.39,0.01,0.049,0.45,0.139
02/10/2021 12:55:00,0.52,0.01,0.075,0.46,0.182
02/10/2021 13:00:00,0.39,0.01,0.049,0.46,0.182
02/10/2021 13:05:00,0.39,0.01,0.049,0.49,0.311
02/10/2021 13:10:00,0.43,0.01,0.058,0.49,0.311
02/10/2021 13:15:00,0.39,0.01,0.049,0.50,0.354
02/10/2021 13:20:00,0.39,0.01,0.049,0.54,0.526
02/10/2021 13:25:00,0.43,0.01,0.058,0.51,0.397
02/10/2021 13:30:00,0.43,0.01,0.058,0.52,0.440
02/10/2021 13:35:00,0.39,0.01,0.049,0.53,0.483
02/10/2021 13:40:00,0.39,0.01,0.049,0.53,0.483
02/10/2021 13:45:00,0.39,0.01,0.049,0.51,0.397
02/10/2021 13:50:00,0.39,0.01,0.049,0.52,0.440
02/10/2021 13:55:00,0.39,0.01,0.049,0.49,0.311
02/10/2021 14:00:00,0.39,0.01,0.049,0.47,0.225
02/10/2021 14:05:00,0.43,0.01,0.058,0.49,0.311
02/10/2021 14:10:00,0.48,0.01,0.066,0.52,0.440
02/10/2021 14:15:00,0.39,0.01,0.049,0.54,0.526
02/10/2021 14:20:00,0.39,0.01,0.049,0.52,0.440
02/10/2021 14:25:00,0.39,0.01,0.049,0.54,0.526
02/10/2021 14:30:00,0.39,0.01,0.049,0.54,0.526
02/10/2021 14:35:00,0.39,0.01,0.049,0.57,0.654
02/10/2021 14:40:00,0.39,0.01,0.049,0.55,0.569
02/10/2021 14:45:00,0.39,0.01,0.049,0.53,0.483
02/10/2021 14:50:00,0.39,0.01,0.049,0.52,0.440
02/10/2021 14:55:00,0.39,0.01,0.049,0.50,0.354
02/10/2021 15:00:00,0.43,0.01,0.058,0.48,0.268
02/10/2021 15:05:00,0.43,0.01,0.058,0.47,0.225
02/10/2021 15:10:00,0.56,0.01,0.085,0.47,0.225
02/10/2021 15:15:00,0.39,0.01,0.049,0.49,0.311
02/10/2021 15:20:00,0.43,0.01,0.058,0.51,0.397
02/10/2021 15:25:00,0.39,0.01,0.049,0.49,0.311
02/10/2021 15:30:00,0.39,0.01,0.049,0.48,0.268
02/10/2021 15:35:00,0.39,0.01,0.049,0.48,0.268
02/10/2021 15:40:00,0.39,0.01,0.049,0.46,0.182
02/10/2021 15:45:00,0.39,0.01,0.049,0.45,0.139
02/10/2021 15:50:00,0.39,0.01,0.049,0.49,0.311
02/10/2021 15:55:00,0.39,0.01,0.049,0.53,0.483
02/10/2021 16:00:00,0.39,0.01,0.049,0.49,0.311
02/10/2021 16:05:00,0.39,0.01,0.049,0.50,0.354
02/10/2021 16:10:00,0.39,0.01,0.049,0.49,0.311
02/10/2021 16:15:00,0.43,0.01,0.058,0.51,0.397
02/10/2021 16:20:00,0.43,0.01,0.058,0.51,0.397
02/10/2021 16:25:00,0.43,0.01,0.058,0.55,0.569
02/10/2021 16:30:00,0.43,0.01,0.058,0.54,0.526
02/10/2021 16:35:00,0.39,0.01,0.049,0.57,0.654
02/10/2021 16:40:00,0.43,0.01,0.058,0.57,0.654
02/10/2021 16:45:00,0.39,0.01,0.049,0.58,0.697
02/10/2021 16:50:00,0.39,0.01,0.049,0.56,0.611
02/10/2021 16:55:00,0.39,0.01,0.049,0.57,0.654
02/10/2021 17:00:00,0.39,0.01,0.049,0.56,0.611
02/10/2021 17:05:00,0.39,0.01,0.049,0.57,0.654
02/10/2021 17:10:00,0.43,0.01,0.058,0.58,0.697
02/10/2021 17:15:00,0.43,0.01,0.058,0.56,0.611
02/10/2021 17:20:00,0.43,0.01,0.058,0.53,0.483
02/10/2021 17:25:00,0.39,0.01,0.049,0.51,0.397
02/10/2021 17:30:00,0.39,0.01,0.049,0.53,0.483
02/10/2021 17:35:00,0.39,0.01,0.049,0.50,0.354
02/10/2021 17:40:00,0.39,0.01,0.049,0.50,0.354
02/10/2021 17:45:00,0.39,0.01,0.049,0.49,0.311
02/10/2021 17:50:00,0.43,0.01,0.058,0.51,0.397
02/10/2021 17:55:00,0.43,0.01,0.058,0.52,0.440
02/10/2021 18:00:00,0.39,0.01,0.049,0.55,0.569
02/10/2021 18:05:00,0.43,0.01,0.058,0.55,0.569
02/10/2021 18:10:00,0.43,0.01,0.058,0.56,0.611
02/10/2021 18:15:00,0.39,0.01,0.049,0.53,0.483
02/10/2021 18:20:00,0.39,0.01,0.049,0.54,0.526
02/10/2021 18:25:00,0.39,0.01,0.049,0.56,0.611
02/10/2021 18:30:00,0.43,0.01,0.058,0.56,0.611
02/10/2021 18:35:00,0.39,0.01,0.049,0.52,0.440
02/10/2021 18:40:00,0.43,0.01,0.058,0.51,0.397
02/10/2021 18:45:00,0.39,0.01,0.049,0.51,0.397
02/10/2021 18:50:00,0.43,0.01,0.058,0.50,0.354
02/10/2021 18:55:00,0.43,0.01,0.058,0.49,0.311
02/10/2021 19:00:00,0.39,0.01,0.049,0.47,0.225
02/10/2021 19:05:00,0.39,0.01,0.049,0.48,0.268
02/10/2021 19:10:00,0.48,0.01,0.066,0.48,0.268
02/10/2021 19:15:00,0.39,0.01,0.049,0.48,0.268
02/10/2021 19:20:00,0.48,0.01,0.066,0.45,0.139
02/10/2021 19:25:00,0.39,0.01,0.049,0.45,0.139
02/10/2021 19:30:00,0.39,0.01,0.049,0.45,0.139
02/10/2021 19:35:00,0.43,0.01,0.058,0.46,0.182
02/10/2021 19:40:00,0.43,0.01,0.058,0.47,0.225
02/10/2021 19:45:00,0.43,0.01,0.058,0.50,0.354
02/10/2021 19:50:00,0.43,0.01,0.058,0.54,0.526
02/10/2021 19:55:00,0.43,0.01,0.058,0.52,0.440
02/10/2021 20:00:00,0.43,0.01,0.058,0.48,0.268
