Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
02/16/2021 21:45:00,0.13,0.28,0.312,1.24,107.174
02/16/2021 21:50:00,0.43,0.41,2.871,1.22,103.332
02/16/2021 21:55:00,0.13,0.33,0.361,1.31,122.976
02/16/2021 22:00:00,0.34,0.31,1.569,1.20,99.491
02/16/2021 22:05:00,0.39,0.42,2.533,1.32,125.368
02/16/2021 22:10:00,0.52,1.53,14.089,1.47,159.188
02/16/2021 22:15:00,0.34,0.57,2.877,1.47,159.188
02/16/2021 22:20:00,0.47,0.43,3.436,1.30,120.584
02/16/2021 22:25:00,0.47,0.31,2.484,1.19,97.772
02/16/2021 22:30:00,0.47,0.34,2.742,1.22,103.332
02/16/2021 22:35:00,0.34,0.46,2.309,1.40,142.578
02/16/2021 22:40:00,0.30,0.38,1.585,1.28,115.799
02/16/2021 22:45:00,0.34,0.34,1.730,1.31,122.976
02/16/2021 22:50:00,0.34,0.30,1.514,1.20,99.491
02/16/2021 22:55:00,0.34,0.32,1.600,1.25,109.094
02/16/2021 23:00:00,0.30,0.41,1.692,1.30,120.584
02/16/2021 23:05:00,0.30,0.40,1.635,1.33,127.451
02/16/2021 23:10:00,0.47,0.31,2.484,1.18,96.052
02/16/2021 23:15:00,0.43,0.42,2.941,1.36,133.701
02/16/2021 23:20:00,0.34,0.27,1.368,1.28,115.799
02/16/2021 23:25:00,0.26,0.25,0.838,1.30,120.584
02/16/2021 23:30:00,0.34,0.38,1.937,1.33,127.451
02/16/2021 23:35:00,0.30,0.28,1.164,1.30,120.584
02/16/2021 23:40:00,0.13,0.39,0.425,1.22,103.332
02/16/2021 23:45:00,0.13,0.36,0.399,1.27,113.407
02/16/2021 23:50:00,0.26,0.36,1.183,1.28,115.799
02/16/2021 23:55:00,0.34,0.28,1.434,1.30,120.584
02/17/2021 00:00:00,0.13,0.30,0.327,1.29,118.192
02/17/2021 00:05:00,0.22,0.40,1.012,1.24,107.174
02/17/2021 00:10:00,0.26,0.36,1.183,1.37,135.785
02/17/2021 00:15:00,0.30,0.38,1.589,1.30,120.584
02/17/2021 00:20:00,0.43,0.34,2.388,1.30,120.584
02/17/2021 00:25:00,0.30,0.30,1.238,1.29,118.192
02/17/2021 00:30:00,0.13,0.29,0.325,1.36,133.701
02/17/2021 00:35:00,0.43,0.41,2.843,1.31,122.976
02/17/2021 00:40:00,0.13,0.32,0.350,1.17,94.332
02/17/2021 00:45:00,0.13,0.27,0.302,1.32,125.368
02/17/2021 00:50:00,0.13,0.30,0.328,1.23,105.253
02/17/2021 00:55:00,0.13,0.29,0.324,1.30,120.584
02/17/2021 01:00:00,0.30,0.35,1.465,1.35,131.618
02/17/2021 01:05:00,0.30,0.49,2.002,1.34,129.535
02/17/2021 01:10:00,0.43,0.29,2.017,1.33,127.451
02/17/2021 01:15:00,0.43,0.29,2.031,1.31,122.976
02/17/2021 01:20:00,0.39,0.27,1.617,1.25,109.094
02/17/2021 01:25:00,0.30,0.44,1.800,1.26,111.015
02/17/2021 01:30:00,0.26,0.30,0.976,1.33,127.451
02/17/2021 01:35:00,0.43,0.27,1.905,1.30,120.584
02/17/2021 01:40:00,0.39,0.37,2.240,1.22,103.332
02/17/2021 01:45:00,0.43,0.33,2.325,1.33,127.451
02/17/2021 01:50:00,0.34,0.31,1.544,1.33,127.451
02/17/2021 01:55:00,0.43,0.25,1.751,1.33,127.451
02/17/2021 02:00:00,0.26,0.30,0.999,1.25,109.094
02/17/2021 02:05:00,0.26,0.27,0.901,1.27,113.407
02/17/2021 02:10:00,0.13,0.28,0.310,1.27,113.407
02/17/2021 02:15:00,0.22,0.29,0.736,1.34,129.535
02/17/2021 02:20:00,0.13,0.28,0.304,1.32,125.368
02/17/2021 02:25:00,0.43,0.25,1.786,1.33,127.451
02/17/2021 02:30:00,0.39,0.27,1.629,1.25,109.094
02/17/2021 02:35:00,0.26,0.34,1.111,1.28,115.799
02/17/2021 02:40:00,0.39,0.35,2.090,1.29,118.192
02/17/2021 02:45:00,0.39,0.31,1.875,1.30,120.584
02/17/2021 02:50:00,0.43,0.35,2.430,1.27,113.407
02/17/2021 02:55:00,0.26,0.28,0.927,1.31,122.976
02/17/2021 03:00:00,0.43,0.39,2.717,1.34,129.535
02/17/2021 03:05:00,0.43,0.33,2.311,1.37,135.785
02/17/2021 03:10:00,0.43,0.45,3.158,1.33,127.451
02/17/2021 03:15:00,0.47,0.46,3.735,1.43,149.643
02/17/2021 03:20:00,0.30,0.44,1.808,1.36,133.701
02/17/2021 03:25:00,0.39,0.33,1.953,1.31,122.976
02/17/2021 03:30:00,0.43,0.30,2.101,1.30,120.584
02/17/2021 03:35:00,0.43,0.33,2.283,1.30,120.584
02/17/2021 03:40:00,0.26,0.31,1.032,1.31,122.976
02/17/2021 03:45:00,0.30,0.30,1.222,1.31,122.976
02/17/2021 03:50:00,0.30,0.30,1.251,1.23,105.253
02/17/2021 03:55:00,0.39,0.27,1.623,1.28,115.799
02/17/2021 04:00:00,0.30,0.29,1.197,1.25,109.094
02/17/2021 04:05:00,0.47,0.34,2.734,1.17,94.332
02/17/2021 04:10:00,0.30,0.39,1.618,1.17,94.332
02/17/2021 04:15:00,0.26,0.30,0.976,1.25,109.094
02/17/2021 04:20:00,0.64,1.73,22.133,1.75,234.358
02/17/2021 04:25:00,0.60,1.26,14.495,1.85,265.212
02/17/2021 04:30:00,0.52,1.50,13.795,1.53,173.977
02/17/2021 04:35:00,0.60,1.70,19.584,1.41,144.933
02/17/2021 04:40:00,0.64,1.73,22.108,1.49,164.023
02/17/2021 04:45:00,0.52,1.53,14.034,1.54,176.678
02/17/2021 04:50:00,0.69,1.45,20.449,1.66,208.914
02/17/2021 04:55:00,0.60,1.59,18.303,1.81,252.758
02/17/2021 05:00:00,0.56,1.58,16.374,1.58,187.483
02/17/2021 05:05:00,0.60,0.84,9.659,1.56,182.081
02/17/2021 05:10:00,0.56,0.78,8.042,1.43,149.643
02/17/2021 05:15:00,0.73,1.33,20.498,1.56,182.081
02/17/2021 05:20:00,0.34,0.51,2.590,1.34,129.535
02/17/2021 05:25:00,0.47,0.46,3.670,1.45,154.353
02/17/2021 05:30:00,0.47,0.47,3.791,1.36,133.701
02/17/2021 05:35:00,0.34,0.41,2.067,1.41,144.933
02/17/2021 05:40:00,0.34,0.40,1.997,1.37,135.785
02/17/2021 05:45:00,0.47,0.42,3.412,1.30,120.584
02/17/2021 05:50:00,0.13,0.39,0.434,1.33,127.451
02/17/2021 05:55:00,0.34,0.41,2.072,1.33,127.451
02/17/2021 06:00:00,0.13,0.28,0.303,1.29,118.192
02/17/2021 06:05:00,0.13,0.41,0.456,1.29,118.192
02/17/2021 06:10:00,0.13,0.28,0.304,1.41,144.933
02/17/2021 06:15:00,0.52,0.39,3.570,1.32,125.368
02/17/2021 06:20:00,0.13,0.30,0.330,1.36,133.701
02/17/2021 06:25:00,0.52,0.32,2.955,1.39,140.223
02/17/2021 06:30:00,0.22,0.41,1.030,1.34,129.535
02/17/2021 06:35:00,0.39,0.42,2.521,1.35,131.618
02/17/2021 06:40:00,0.47,0.34,2.759,1.41,144.933
02/17/2021 06:45:00,0.34,0.45,2.258,1.39,140.223
02/17/2021 06:50:00,0.47,0.48,3.848,1.39,140.223
02/17/2021 06:55:00,0.34,0.89,4.457,1.37,135.785
02/17/2021 07:00:00,0.47,0.83,6.687,1.41,144.933
02/17/2021 07:05:00,0.39,0.48,2.899,1.47,159.188
02/17/2021 07:10:00,0.47,0.55,4.404,1.36,133.701
02/17/2021 07:15:00,0.52,0.62,5.682,1.39,140.223
02/17/2021 07:20:00,0.47,0.51,4.122,1.44,151.998
02/17/2021 07:25:00,0.52,0.49,4.516,1.37,135.785
02/17/2021 07:30:00,0.47,0.28,2.218,1.28,115.799
02/17/2021 07:35:00,0.47,0.30,2.436,1.41,144.933
02/17/2021 07:40:00,0.47,0.58,4.662,1.39,140.223
02/17/2021 07:45:00,0.47,0.96,7.768,1.39,140.223
02/17/2021 07:50:00,0.52,1.01,9.234,1.44,151.998
02/17/2021 07:55:00,0.47,0.34,2.710,1.37,135.785
02/17/2021 08:00:00,0.34,0.41,2.087,1.40,142.578
02/17/2021 08:05:00,0.30,0.43,1.787,1.30,120.584
02/17/2021 08:10:00,0.26,0.39,1.285,1.34,129.535
02/17/2021 08:15:00,0.13,0.38,0.423,1.30,120.584
02/17/2021 08:20:00,0.13,0.26,0.282,1.30,120.584
02/17/2021 08:25:00,0.43,0.40,2.780,1.41,144.933
02/17/2021 08:30:00,0.30,0.29,1.214,1.30,120.584
02/17/2021 08:35:00,0.34,0.42,2.092,1.32,125.368
02/17/2021 08:40:00,0.26,0.32,1.052,1.31,122.976
02/17/2021 08:45:00,0.26,0.44,1.436,1.24,107.174
02/17/2021 08:50:00,0.30,0.36,1.494,1.34,129.535
02/17/2021 08:55:00,0.26,0.30,0.973,1.23,105.253
02/17/2021 09:00:00,0.13,0.30,0.331,1.20,99.491
02/17/2021 09:05:00,0.30,0.29,1.205,1.25,109.094
02/17/2021 09:10:00,0.22,0.29,0.741,1.37,135.785
02/17/2021 09:15:00,0.13,0.28,0.313,1.26,111.015
02/17/2021 09:20:00,0.22,0.30,0.744,1.25,109.094
02/17/2021 09:25:00,0.34,0.30,1.489,1.28,115.799
02/17/2021 09:30:00,0.22,0.39,0.975,1.28,115.799
02/17/2021 09:35:00,0.26,0.32,1.055,1.32,125.368
02/17/2021 09:40:00,0.22,0.29,0.731,1.27,113.407
02/17/2021 09:45:00,0.26,0.44,1.430,1.35,131.618
02/17/2021 09:50:00,0.26,0.38,1.242,1.18,96.052
02/17/2021 09:55:00,0.26,0.32,1.055,1.28,115.799
02/17/2021 10:00:00,0.26,0.34,1.127,1.43,149.643
02/17/2021 10:05:00,0.13,0.32,0.358,1.28,115.799
02/17/2021 10:10:00,0.26,0.31,1.012,1.27,113.407
02/17/2021 10:15:00,0.30,0.28,1.172,1.33,127.451
02/17/2021 10:20:00,0.43,0.29,2.010,1.39,140.223
02/17/2021 10:25:00,0.26,0.31,1.032,1.42,147.288
02/17/2021 10:30:00,0.26,0.29,0.963,1.27,113.407
02/17/2021 10:35:00,0.13,0.29,0.320,1.37,135.785
02/17/2021 10:40:00,0.26,0.40,1.315,1.35,131.618
02/17/2021 10:45:00,0.43,0.29,2.045,1.20,99.491
02/17/2021 10:50:00,0.26,0.38,1.262,1.41,144.933
02/17/2021 10:55:00,0.26,0.30,0.983,1.23,105.253
02/17/2021 11:00:00,0.26,0.30,0.976,1.39,140.223
02/17/2021 11:05:00,0.13,0.35,0.384,1.31,122.976
02/17/2021 11:10:00,0.39,0.32,1.947,1.32,125.368
02/17/2021 11:15:00,0.30,0.32,1.317,1.34,129.535
02/17/2021 11:20:00,0.13,0.29,0.320,1.27,113.407
02/17/2021 11:25:00,0.30,0.31,1.263,1.17,94.332
02/17/2021 11:30:00,0.30,0.32,1.313,1.34,129.535
02/17/2021 11:35:00,0.39,0.30,1.791,1.28,115.799
02/17/2021 11:40:00,0.43,0.32,2.262,1.31,122.976
02/17/2021 11:45:00,0.47,0.27,2.202,1.30,120.584
02/17/2021 11:50:00,0.30,0.42,1.721,1.37,135.785
02/17/2021 11:55:00,0.47,0.37,2.984,1.46,156.771
02/17/2021 12:00:00,0.39,0.38,2.294,1.34,129.535
02/17/2021 12:05:00,0.30,0.32,1.337,1.46,156.771
02/17/2021 12:10:00,0.34,0.32,1.610,1.29,118.192
02/17/2021 12:15:00,0.52,0.69,6.315,1.65,206.235
02/17/2021 12:20:00,0.47,0.42,3.388,1.51,168.858
02/17/2021 12:25:00,0.47,0.34,2.742,1.31,122.976
02/17/2021 12:30:00,0.30,0.38,1.589,1.28,115.799
02/17/2021 12:35:00,0.47,0.38,3.049,1.37,135.785
02/17/2021 12:40:00,0.30,0.27,1.098,1.33,127.451
02/17/2021 12:45:00,0.47,0.31,2.525,1.36,133.701
02/17/2021 12:50:00,0.30,0.37,1.536,1.34,129.535
02/17/2021 12:55:00,0.30,0.31,1.271,1.30,120.584
02/17/2021 13:00:00,0.47,0.38,3.065,1.36,133.701
02/17/2021 13:05:00,0.30,0.33,1.354,1.32,125.368
02/17/2021 13:10:00,0.26,0.39,1.272,1.28,115.799
02/17/2021 13:15:00,0.26,0.33,1.078,1.38,137.868
02/17/2021 13:20:00,0.30,0.31,1.271,1.33,127.451
02/17/2021 13:25:00,0.39,0.30,1.797,1.35,131.618
02/17/2021 13:30:00,0.39,0.32,1.929,1.38,137.868
02/17/2021 13:35:00,0.22,0.38,0.967,1.36,133.701
